,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
0,2013,North East,A,   1,2,700,*
1,2013,North East,A,   2-4,3,715,*
2,2013,North East,A,   5-9,1,150,*
3,2013,North East,A,   10-19,1,55,*
4,2013,North East,A,   20-49,*,15,*
5,2013,North East,A,   50-99,*,0,*
6,2013,North East,A,   100-199,0,0,0
7,2013,North East,A,   200-249,*,0,*
8,2013,North East,A,   250-499,0,0,0
9,2013,North East,A,   500 or more,0,0,0
10,2013,North East,B,   1,*,5,*
11,2013,North East,B,   2-4,0,80,182
12,2013,North East,B,   5-9,0,55,*
13,2013,North East,B,   10-19,0,25,361
14,2013,North East,B,   20-49,*,25,*
15,2013,North East,B,   50-99,*,10,127
16,2013,North East,B,   100-199,*,5,*
17,2013,North East,B,   200-249,*,0,*
18,2013,North East,B,   250-499,*,0,*
19,2013,North East,B,   500 or more,*,5,*
20,2013,North East,C,   1,*,235,*
21,2013,North East,C,   2-4,3,950,242
22,2013,North East,C,   5-9,4,560,*
23,2013,North East,C,   10-19,6,435,506
24,2013,North East,C,   20-49,10,335,1185
25,2013,North East,C,   50-99,11,155,1727
26,2013,North East,C,   100-199,12,85,2104
27,2013,North East,C,   200-249,*,15,*
28,2013,North East,C,   250-499,13,40,2251
29,2013,North East,C,   500 or more,24,20,8457
30,2013,North East,F,   1,2,920,*
31,2013,North East,F,   2-4,6,2140,582
32,2013,North East,F,   5-9,5,690,467
33,2013,North East,F,   10-19,5,375,446
34,2013,North East,F,   20-49,6,185,606
35,2013,North East,F,   50-99,4,65,514
36,2013,North East,F,   100-199,3,20,364
37,2013,North East,F,   200-249,*,0,*
38,2013,North East,F,   250-499,*,10,*
39,2013,North East,F,   500 or more,*,5,*
40,2013,North East,G,   1,*,1140,*
41,2013,North East,G,   2-4,11,3300,1287
42,2013,North East,G,   5-9,11,1610,1443
43,2013,North East,G,   10-19,9,675,1654
44,2013,North East,G,   20-49,9,290,1799
45,2013,North East,G,   50-99,5,70,993
46,2013,North East,G,   100-199,*,30,2127
47,2013,North East,G,   200-249,*,5,*
48,2013,North East,G,   250-499,*,10,*
49,2013,North East,G,   500 or more,*,10,*
50,2013,North East,H,   1,*,215,*
51,2013,North East,H,   2-4,2,520,146
52,2013,North East,H,   5-9,*,250,134
53,2013,North East,H,   10-19,*,140,161
54,2013,North East,H,   20-49,3,90,359
55,2013,North East,H,   50-99,*,30,192
56,2013,North East,H,   100-199,*,15,772
57,2013,North East,H,   200-249,0,0,0
58,2013,North East,H,   250-499,*,10,*
59,2013,North East,H,   500 or more,*,5,*
60,2013,North East,I,   1,2,665,70
61,2013,North East,I,   2-4,6,1800,262
62,2013,North East,I,   5-9,7,985,232
63,2013,North East,I,   10-19,7,510,198
64,2013,North East,I,   20-49,7,225,196
65,2013,North East,I,   50-99,4,65,173
66,2013,North East,I,   100-199,3,20,104
67,2013,North East,I,   200-249,*,5,*
68,2013,North East,I,   250-499,*,10,*
69,2013,North East,I,   500 or more,*,5,*
70,2013,North East,J,   1,13,5880,905
71,2013,North East,J,   2-4,52,16285,4166
72,2013,North East,J,   5-9,46,6620,3875
73,2013,North East,J,   10-19,50,3595,4657
74,2013,North East,J,   20-49,62,2030,5753
75,2013,North East,J,   50-99,45,650,4698
76,2013,North East,J,   100-199,40,290,6602
77,2013,North East,J,   200-249,10,45,1381
78,2013,North East,J,   250-499,41,125,5382
79,2013,North East,J,   500 or more,185,85,20246
80,2013,North East,K,   1,0,35, -
81,2013,North East,K,   2-4,*,240, -
82,2013,North East,K,   5-9,1,95, -
83,2013,North East,K,   10-19,*,35, -
84,2013,North East,K,   20-49,*,20, -
85,2013,North East,K,   50-99,*,0, -
86,2013,North East,K,   100-199,*,5, -
87,2013,North East,K,   200-249,0,0, -
88,2013,North East,K,   250-499,*,0, -
89,2013,North East,K,   500 or more,*,5, -
90,2013,North East,L,   1,0,70,11
91,2013,North East,L,   2-4,1,460,112
92,2013,North East,L,   5-9,1,170,*
93,2013,North East,L,   10-19,1,65,63
94,2013,North East,L,   20-49,1,25,33
95,2013,North East,L,   50-99,*,5,*
96,2013,North East,L,   100-199,*,5,*
97,2013,North East,L,   200-249,*,0,*
98,2013,North East,L,   250-499,*,5,*
99,2013,North East,L,   500 or more,*,5,*
100,2013,North East,M,   1,*,440,*
101,2013,North East,M,   2-4,6,2275,411
