,Region,Year,"Table A.12  Identifiable expenditure on recreation, culture and religion"
0,North East,2017,263
1,North East,2018,261
2,North East,2019,311
3,North East,2020,331
4,North East,2021,325
5,North West,2017,761
6,North West,2018,729
7,North West,2019,772
8,North West,2020,896
9,North West,2021,918
10,Yorkshire and The Humber,2017,583
11,Yorkshire and The Humber,2018,545
12,Yorkshire and The Humber,2019,638
13,Yorkshire and The Humber,2020,699
14,Yorkshire and The Humber,2021,685
15,East Midlands,2017,417
16,East Midlands,2018,419
17,East Midlands,2019,446
18,East Midlands,2020,544
19,East Midlands,2021,520
20,West Midlands,2017,487
21,West Midlands,2018,512
22,West Midlands,2019,521
23,West Midlands,2020,685
24,West Midlands,2021,772
25,East,2017,504
26,East,2018,516
27,East,2019,524
28,East,2020,611
29,East,2021,603
30,London,2017,1299
31,London,2018,1105
32,London,2019,1256
33,London,2020,1712
34,London,2021,1431
35,South East,2017,826
36,South East,2018,794
37,South East,2019,757
38,South East,2020,973
39,South East,2021,949
40,South West,2017,491
41,South West,2018,480
42,South West,2019,461
43,South West,2020,635
44,South West,2021,605
45,England,2017,5632
46,England,2018,5359
47,England,2019,5684
48,England,2020,7085
49,England,2021,6810
50,Scotland,2017,1000
51,Scotland,2018,1071
52,Scotland,2019,995
53,Scotland,2020,1219
54,Scotland,2021,1206
55,Wales,2017,537
56,Wales,2018,522
57,Wales,2019,523
58,Wales,2020,655
59,Wales,2021,631
60,Northern Ireland,2017,441
61,Northern Ireland,2018,499
62,Northern Ireland,2019,497
63,Northern Ireland,2020,488
64,Northern Ireland,2021,478
65,UK identifiable expenditure,2017,7610
66,UK identifiable expenditure,2018,7451
67,UK identifiable expenditure,2019,7698
68,UK identifiable expenditure,2020,9447
69,UK identifiable expenditure,2021,9124
70,Outside the UK,2017,231
71,Outside the UK,2018,254
72,Outside the UK,2019,306
73,Outside the UK,2020,58
74,Outside the UK,2021,111
75,Total identifiable expenditure,2017,7841
76,Total identifiable expenditure,2018,7705
77,Total identifiable expenditure,2019,8004
78,Total identifiable expenditure,2020,9505
79,Total identifiable expenditure,2021,9235
80,Non-identifiable expenditure ,2017,3638
81,Non-identifiable expenditure ,2018,3683
82,Non-identifiable expenditure ,2019,3929
83,Non-identifiable expenditure ,2020,3406
84,Non-identifiable expenditure ,2021,3793
85,Total Expenditure on Services,2017,11479
86,Total Expenditure on Services,2018,11388
87,Total Expenditure on Services,2019,11933
88,Total Expenditure on Services,2020,12911
89,Total Expenditure on Services,2021,13028
