,Region,Year,Table A.20  UK identifiable expenditure excluding local government (1) per head (2)
0,North East,2017,7393
1,North East,2018,7688
2,North East,2019,7871
3,North East,2020,10811
4,North East,2021,9545
5,North West,2017,7260
6,North West,2018,7523
7,North West,2019,7812
8,North West,2020,10977
9,North West,2021,9576
10,Yorkshire and The Humber,2017,6803
11,Yorkshire and The Humber,2018,7044
12,Yorkshire and The Humber,2019,7274
13,Yorkshire and The Humber,2020,10292
14,Yorkshire and The Humber,2021,8869
15,East Midlands,2017,6474
16,East Midlands,2018,6768
17,East Midlands,2019,7068
18,East Midlands,2020,10078
19,East Midlands,2021,8578
20,West Midlands,2017,6889
21,West Midlands,2018,7265
22,West Midlands,2019,7557
23,West Midlands,2020,10604
24,West Midlands,2021,9290
25,East,2017,6411
26,East,2018,6798
27,East,2019,7115
28,East,2020,10403
29,East,2021,8710
30,London,2017,6985
31,London,2018,7245
32,London,2019,7744
33,London,2020,11798
34,London,2021,10143
35,South East,2017,6207
36,South East,2018,6520
37,South East,2019,6861
38,South East,2020,10164
39,South East,2021,8498
40,South West,2017,6678
41,South West,2018,6930
42,South West,2019,7231
43,South West,2020,10412
44,South West,2021,8741
45,Total England,2017,6747
46,Total England,2018,7044
47,Total England,2019,7370
48,Total England,2020,10664
49,Total England,2021,9119
50,Scotland,2017,8131
51,Scotland,2018,8447
52,Scotland,2019,8651
53,Scotland,2020,11944
54,Scotland,2021,10875
55,Wales,2017,7682
56,Wales,2018,7887
57,Wales,2019,8103
58,Wales,2020,11138
59,Wales,2021,10126
60,Northern Ireland (3),2017,10722
61,Northern Ireland (3),2018,11118
62,Northern Ireland (3),2019,11540
63,Northern Ireland (3),2020,14902
64,Northern Ireland (3),2021,13603
65,UK identifiable expenditure excluding local government,2017,7018
66,UK identifiable expenditure excluding local government,2018,7314
67,UK identifiable expenditure excluding local government,2019,7628
68,UK identifiable expenditure excluding local government,2020,10910
69,UK identifiable expenditure excluding local government,2021,9437
70,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2017,
71,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2018,
72,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2019,
73,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2020,
74,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2021,
75,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2017,
76,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2018,
77,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2019,
78,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2020,
79,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2021,
80,(3) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2017,
81,(3) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2018,
82,(3) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2019,
83,(3) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2020,
84,(3) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2021,
