,Region,Year,"Table A.21  Identifiable expenditure on services for Scotland, Wales and Northern Ireland in 2022-23"
0,All the data in this table are National Statistics ,0000,
1,All the data in this table are National Statistics ,0000,
2,All the data in this table are National Statistics ,0000,
3,All the data in this table are National Statistics ,0000,
4,All the data in this table are National Statistics ,0000,
5,"
                                   Function



Departmental 
grouping",0000,
6,"
                                   Function



Departmental 
grouping",0000,
7,"
                                   Function



Departmental 
grouping",0000,
8,"
                                   Function



Departmental 
grouping",0000,
9,"
                                   Function



Departmental 
grouping",0000,
10,Scotland,0000,
11,Scotland,0000,
12,Scotland,0000,
13,Scotland,0000,
14,Scotland,0000,
15,Scottish Government (1),0000,4563
16,Scottish Government (1),0000,4563
17,Scottish Government (1),0000,4563
18,Scottish Government (1),0000,4563
19,Scottish Government (1),0000,4563
20,Scotland Office,0000,-
21,Scotland Office,0000,-
22,Scotland Office,0000,-
23,Scotland Office,0000,-
24,Scotland Office,0000,-
25,Scottish local government,0000,1715
26,Scottish local government,0000,1715
27,Scottish local government,0000,1715
28,Scottish local government,0000,1715
29,Scottish local government,0000,1715
30,Local government public corporations,0000,4
31,Local government public corporations,0000,4
32,Local government public corporations,0000,4
33,Local government public corporations,0000,4
34,Local government public corporations,0000,4
35,UK government departments,0000,4250
36,UK government departments,0000,4250
37,UK government departments,0000,4250
38,UK government departments,0000,4250
39,UK government departments,0000,4250
40,Total identifiable expenditure in Scotland,0000,10531
41,Total identifiable expenditure in Scotland,0000,10531
42,Total identifiable expenditure in Scotland,0000,10531
43,Total identifiable expenditure in Scotland,0000,10531
44,Total identifiable expenditure in Scotland,0000,10531
45,Wales,0000,
46,Wales,0000,
47,Wales,0000,
48,Wales,0000,
49,Wales,0000,
50,Welsh Government (1),0000,1552
51,Welsh Government (1),0000,1552
52,Welsh Government (1),0000,1552
53,Welsh Government (1),0000,1552
54,Welsh Government (1),0000,1552
55,Wales Office,0000,-
56,Wales Office,0000,-
57,Wales Office,0000,-
58,Wales Office,0000,-
59,Wales Office,0000,-
60,Welsh local government,0000,580
61,Welsh local government,0000,580
62,Welsh local government,0000,580
63,Welsh local government,0000,580
64,Welsh local government,0000,580
65,Local government public corporations,0000,3
66,Local government public corporations,0000,3
67,Local government public corporations,0000,3
68,Local government public corporations,0000,3
69,Local government public corporations,0000,3
70,UK government departments,0000,1795
71,UK government departments,0000,1795
72,UK government departments,0000,1795
73,UK government departments,0000,1795
74,UK government departments,0000,1795
75,Total identifiable expenditure in Wales,0000,3930
76,Total identifiable expenditure in Wales,0000,3930
77,Total identifiable expenditure in Wales,0000,3930
78,Total identifiable expenditure in Wales,0000,3930
79,Total identifiable expenditure in Wales,0000,3930
80,Northern Ireland,0000,
81,Northern Ireland,0000,
82,Northern Ireland,0000,
83,Northern Ireland,0000,
84,Northern Ireland,0000,
85,Northern Ireland Executive,0000,2149
86,Northern Ireland Executive,0000,2149
87,Northern Ireland Executive,0000,2149
88,Northern Ireland Executive,0000,2149
89,Northern Ireland Executive,0000,2149
90,Northern Ireland Office,0000,-
91,Northern Ireland Office,0000,-
92,Northern Ireland Office,0000,-
93,Northern Ireland Office,0000,-
94,Northern Ireland Office,0000,-
95,Northern Irish local government (2),0000,52
96,Northern Irish local government (2),0000,52
97,Northern Irish local government (2),0000,52
98,Northern Irish local government (2),0000,52
99,Northern Irish local government (2),0000,52
100,UK government departments,0000,758
101,UK government departments,0000,758
102,UK government departments,0000,758
103,UK government departments,0000,758
104,UK government departments,0000,758
105,Total identifiable expenditure in Northern Ireland,0000,2959
106,Total identifiable expenditure in Northern Ireland,0000,2959
107,Total identifiable expenditure in Northern Ireland,0000,2959
108,Total identifiable expenditure in Northern Ireland,0000,2959
109,Total identifiable expenditure in Northern Ireland,0000,2959
110,(1) This includes public corporations sponsored by central government departments.,0000,
111,(1) This includes public corporations sponsored by central government departments.,0000,
112,(1) This includes public corporations sponsored by central government departments.,0000,
113,(1) This includes public corporations sponsored by central government departments.,0000,
114,(1) This includes public corporations sponsored by central government departments.,0000,
115,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,0000,
116,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,0000,
117,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,0000,
118,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,0000,
119,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,0000,
