,Region,Year,Table A.2a  Real terms (1): Total identifiable expenditure on services
0,North East,2017,28447
1,North East,2018,28863
2,North East,2019,29017
3,North East,2020,35386
4,North East,2021,31838
5,North West,2017,78521
6,North West,2018,78386
7,North West,2019,79343
8,North West,2020,98887
9,North West,2021,89762
10,Yorkshire and The Humber,2017,53636
11,Yorkshire and The Humber,2018,54156
12,Yorkshire and The Humber,2019,54527
13,Yorkshire and The Humber,2020,68756
14,Yorkshire and The Humber,2021,61006
15,East Midlands,2017,43981
16,East Midlands,2018,44754
17,East Midlands,2019,45583
18,East Midlands,2020,58192
19,East Midlands,2021,51378
20,West Midlands,2017,57833
21,West Midlands,2018,59698
22,West Midlands,2019,60580
23,West Midlands,2020,76107
24,West Midlands,2021,68734
25,East,2017,57000
26,East,2018,58816
27,East,2019,60075
28,East,2020,77930
29,East,2021,68339
30,London,2017,100572
31,London,2018,101277
32,London,2019,104150
33,London,2020,138058
34,London,2021,120724
35,South East,2017,83317
36,South East,2018,85990
37,South East,2019,86951
38,South East,2020,113054
39,South East,2021,98953
40,South West,2017,53006
41,South West,2018,53976
42,South West,2019,54893
43,South West,2020,70423
44,South West,2021,61689
45,England,2017,556312
46,England,2018,565916
47,England,2019,575119
48,England,2020,736793
49,England,2021,652424
50,Scotland,2017,64852
51,Scotland,2018,65898
52,Scotland,2019,66727
53,Scotland,2020,80489
54,Scotland,2021,76067
55,Wales,2017,35841
56,Wales,2018,36204
57,Wales,2019,36361
58,Wales,2020,44775
59,Wales,2021,41642
60,Northern Ireland,2017,23026
61,Northern Ireland,2018,23664
62,Northern Ireland,2019,24071
63,Northern Ireland,2020,28875
64,Northern Ireland,2021,26761
65,UK identifiable expenditure,2017,680032
66,UK identifiable expenditure,2018,691682
67,UK identifiable expenditure,2019,702277
68,UK identifiable expenditure,2020,890931
69,UK identifiable expenditure,2021,796894
70,Outside UK,2017,29208
71,Outside UK,2018,32591
72,Outside UK,2019,29937
73,Outside UK,2020,27105
74,Outside UK,2021,22125
75,Total identifiable expenditure,2017,709240
76,Total identifiable expenditure,2018,724273
77,Total identifiable expenditure,2019,732214
78,Total identifiable expenditure,2020,918036
79,Total identifiable expenditure,2021,819019
80,Non-identifiable expenditure,2017,120268
81,Non-identifiable expenditure,2018,115218
82,Non-identifiable expenditure,2019,113536
83,Non-identifiable expenditure,2020,100678
84,Non-identifiable expenditure,2021,138672
85,Total Expenditure on Services,2017,829508
86,Total Expenditure on Services,2018,839491
87,Total Expenditure on Services,2019,845750
88,Total Expenditure on Services,2020,1018714
89,Total Expenditure on Services,2021,957691
90,Accounting adjustments,2017,99029
91,Accounting adjustments,2018,92682
92,Accounting adjustments,2019,97862
93,Accounting adjustments,2020,82679
94,Accounting adjustments,2021,89585
95,Total Managed Expenditure,2017,928537
96,Total Managed Expenditure,2018,932173
97,Total Managed Expenditure,2019,943611
98,Total Managed Expenditure,2020,1101394
99,Total Managed Expenditure,2021,1047276
100,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022). ,2017,
101,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022). ,2018,
102,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022). ,2019,
103,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022). ,2020,
104,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022). ,2021,
