,Region,Year,Table A.2b  Real terms (1): Total UK identifiable expenditure on services per head (2)
0,North East,2017,10756
1,North East,2018,10859
2,North East,2019,10868
3,North East,2020,13200
4,North East,2021,12027
5,North West,2017,10818
6,North West,2018,10749
7,North West,2019,10808
8,North West,2020,13422
9,North West,2021,12102
10,Yorkshire and The Humber,2017,9841
11,Yorkshire and The Humber,2018,9883
12,Yorkshire and The Humber,2019,9909
13,Yorkshire and The Humber,2020,12441
14,Yorkshire and The Humber,2021,11131
15,East Midlands,2017,9217
16,East Midlands,2018,9316
17,East Midlands,2019,9426
18,East Midlands,2020,11960
19,East Midlands,2021,10528
20,West Midlands,2017,9868
21,West Midlands,2018,10117
22,West Midlands,2019,10209
23,West Midlands,2020,12765
24,West Midlands,2021,11550
25,East,2017,9241
26,East,2018,9485
27,East,2019,9633
28,East,2020,12431
29,East,2021,10788
30,London,2017,11396
31,London,2018,11369
32,London,2019,11621
33,London,2020,15336
34,London,2021,13719
35,South East,2017,9175
36,South East,2018,9415
37,South East,2019,9472
38,South East,2020,12265
39,South East,2021,10665
40,South West,2017,9535
41,South West,2018,9639
42,South West,2019,9759
43,South West,2020,12444
44,South West,2021,10820
45,England,2017,10002
46,England,2018,10110
47,England,2019,10218
48,England,2020,13029
49,England,2021,11549
50,Scotland,2017,11955
51,Scotland,2018,12118
52,Scotland,2019,12214
53,Scotland,2020,14725
54,Scotland,2021,13881
55,Wales,2017,11469
56,Wales,2018,11535
57,Wales,2019,11532
58,Wales,2020,14126
59,Wales,2021,13401
60,Northern Ireland,2017,12308
61,Northern Ireland,2018,12576
62,Northern Ireland,2019,12711
63,Northern Ireland,2020,15233
64,Northern Ireland,2021,14062
65,UK identifiable expenditure,2017,10297
66,UK identifiable expenditure,2018,10411
67,UK identifiable expenditure,2019,10514
68,UK identifiable expenditure,2020,13281
69,UK identifiable expenditure,2021,11897
70,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022).,2017,
71,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022).,2018,
72,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022).,2019,
73,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022).,2020,
74,(1) Real terms figures are the nominal figures adjusted to 2021-22 price levels using GDP deflators from the Office for National Statistics (released 30 September 2022).,2021,
75,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2017,
76,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2018,
77,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2019,
78,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2020,
79,"(2) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2021,
