,Region,Year,Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest)
0,North East,2017,-
1,North East,2018,-
2,North East,2019,-
3,North East,2020,-
4,North East,2021,-
5,North West,2017,-
6,North West,2018,-
7,North West,2019,-
8,North West,2020,-
9,North West,2021,-
10,Yorkshire and The Humber,2017,-
11,Yorkshire and The Humber,2018,-
12,Yorkshire and The Humber,2019,-
13,Yorkshire and The Humber,2020,-
14,Yorkshire and The Humber,2021,-
15,East Midlands,2017,-
16,East Midlands,2018,-
17,East Midlands,2019,-
18,East Midlands,2020,-
19,East Midlands,2021,-
20,West Midlands,2017,-
21,West Midlands,2018,-
22,West Midlands,2019,-
23,West Midlands,2020,-
24,West Midlands,2021,-
25,East,2017,-
26,East,2018,-
27,East,2019,-
28,East,2020,-
29,East,2021,-
30,London,2017,-
31,London,2018,-
32,London,2019,-
33,London,2020,-
34,London,2021,-
35,South East,2017,-
36,South East,2018,-
37,South East,2019,-
38,South East,2020,-
39,South East,2021,-
40,South West,2017,-
41,South West,2018,-
42,South West,2019,-
43,South West,2020,-
44,South West,2021,-
45,England,2017,-
46,England,2018,-
47,England,2019,-
48,England,2020,-
49,England,2021,-
50,Scotland,2017,-
51,Scotland,2018,-
52,Scotland,2019,-
53,Scotland,2020,-
54,Scotland,2021,-
55,Wales,2017,-
56,Wales,2018,-
57,Wales,2019,-
58,Wales,2020,-
59,Wales,2021,-
60,Northern Ireland,2017,-
61,Northern Ireland,2018,-
62,Northern Ireland,2019,-
63,Northern Ireland,2020,-
64,Northern Ireland,2021,-
65,UK identifiable expenditure,2017,-
66,UK identifiable expenditure,2018,-
67,UK identifiable expenditure,2019,-
68,UK identifiable expenditure,2020,-
69,UK identifiable expenditure,2021,-
70,Outside the UK,2017,-
71,Outside the UK,2018,-
72,Outside the UK,2019,-
73,Outside the UK,2020,-
74,Outside the UK,2021,-
75,Total identifiable expenditure,2017,-
76,Total identifiable expenditure,2018,-
77,Total identifiable expenditure,2019,-
78,Total identifiable expenditure,2020,-
79,Total identifiable expenditure,2021,-
80,Non-identifiable expenditure,2017,61631
81,Non-identifiable expenditure,2018,56341
82,Non-identifiable expenditure,2019,54790
83,Non-identifiable expenditure,2020,41995
84,Non-identifiable expenditure,2021,73186
85,Total Expenditure on Services,2017,61631
86,Total Expenditure on Services,2018,56341
87,Total Expenditure on Services,2019,54790
88,Total Expenditure on Services,2020,41995
89,Total Expenditure on Services,2021,73186
