,Region,Year,Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology)
0,North East,2017,193
1,North East,2018,265
2,North East,2019,241
3,North East,2020,254
4,North East,2021,219
5,North West,2017,416
6,North West,2018,469
7,North West,2019,489
8,North West,2020,513
9,North West,2021,586
10,Yorkshire and The Humber,2017,261
11,Yorkshire and The Humber,2018,358
12,Yorkshire and The Humber,2019,494
13,Yorkshire and The Humber,2020,453
14,Yorkshire and The Humber,2021,492
15,East Midlands,2017,204
16,East Midlands,2018,282
17,East Midlands,2019,318
18,East Midlands,2020,342
19,East Midlands,2021,342
20,West Midlands,2017,442
21,West Midlands,2018,615
22,West Midlands,2019,639
23,West Midlands,2020,651
24,West Midlands,2021,655
25,East,2017,457
26,East,2018,560
27,East,2019,607
28,East,2020,603
29,East,2021,455
30,London,2017,632
31,London,2018,1069
32,London,2019,1076
33,London,2020,1239
34,London,2021,1111
35,South East,2017,899
36,South East,2018,1012
37,South East,2019,1064
38,South East,2020,1107
39,South East,2021,1104
40,South West,2017,286
41,South West,2018,393
42,South West,2019,418
43,South West,2020,486
44,South West,2021,496
45,England,2017,3789
46,England,2018,5024
47,England,2019,5346
48,England,2020,5646
49,England,2021,5460
50,Scotland,2017,340
51,Scotland,2018,346
52,Scotland,2019,360
53,Scotland,2020,604
54,Scotland,2021,591
55,Wales,2017,161
56,Wales,2018,156
57,Wales,2019,148
58,Wales,2020,222
59,Wales,2021,243
60,Northern Ireland,2017,62
61,Northern Ireland,2018,68
62,Northern Ireland,2019,84
63,Northern Ireland,2020,99
64,Northern Ireland,2021,113
65,UK identifiable expenditure,2017,4352
66,UK identifiable expenditure,2018,5594
67,UK identifiable expenditure,2019,5938
68,UK identifiable expenditure,2020,6571
69,UK identifiable expenditure,2021,6408
70,Outside the UK,2017,7
71,Outside the UK,2018,20
72,Outside the UK,2019,21
73,Outside the UK,2020,26
74,Outside the UK,2021,15
75,Total identifiable expenditure,2017,4358
76,Total identifiable expenditure,2018,5614
77,Total identifiable expenditure,2019,5959
78,Total identifiable expenditure,2020,6597
79,Total identifiable expenditure,2021,6423
80,Non-identifiable expenditure ,2017,1
81,Non-identifiable expenditure ,2018,1
82,Non-identifiable expenditure ,2019,1
83,Non-identifiable expenditure ,2020,1
84,Non-identifiable expenditure ,2021,1
85,Total Expenditure on Services,2017,4359
86,Total Expenditure on Services,2018,5616
87,Total Expenditure on Services,2019,5961
88,Total Expenditure on Services,2020,6599
89,Total Expenditure on Services,2021,6424
