,Region,Year,Table A.10  Identifiable expenditure on housing and community amenities
0,North East,2018,442
1,North East,2019,532
2,North East,2020,456
3,North East,2021,542
4,North East,2022,623
5,North West,2018,840
6,North West,2019,999
7,North West,2020,969
8,North West,2021,1109
9,North West,2022,1276
10,Yorkshire and The Humber,2018,892
11,Yorkshire and The Humber,2019,840
12,Yorkshire and The Humber,2020,848
13,Yorkshire and The Humber,2021,826
14,Yorkshire and The Humber,2022,992
15,East Midlands,2018,514
16,East Midlands,2019,598
17,East Midlands,2020,643
18,East Midlands,2021,690
19,East Midlands,2022,634
20,West Midlands,2018,722
21,West Midlands,2019,1037
22,West Midlands,2020,955
23,West Midlands,2021,930
24,West Midlands,2022,867
25,East,2018,776
26,East,2019,991
27,East,2020,927
28,East,2021,951
29,East,2022,1122
30,London,2018,2418
31,London,2019,3096
32,London,2020,2867
33,London,2021,3744
34,London,2022,4692
35,South East,2018,1109
36,South East,2019,1249
37,South East,2020,1309
38,South East,2021,1186
39,South East,2022,1310
40,South West,2018,522
41,South West,2019,731
42,South West,2020,709
43,South West,2021,663
44,South West,2022,796
45,England,2018,8235
46,England,2019,10073
47,England,2020,9681
48,England,2021,10641
49,England,2022,12312
50,Scotland,2018,2240
51,Scotland,2019,2327
52,Scotland,2020,2118
53,Scotland,2021,2462
54,Scotland,2022,2772
55,Wales,2018,824
56,Wales,2019,969
57,Wales,2020,857
58,Wales,2021,1057
59,Wales,2022,1199
60,Northern Ireland,2018,852
61,Northern Ireland,2019,844
62,Northern Ireland,2020,1030
63,Northern Ireland,2021,1059
64,Northern Ireland,2022,1183
65,UK identifiable expenditure,2018,12149
66,UK identifiable expenditure,2019,14212
67,UK identifiable expenditure,2020,13687
68,UK identifiable expenditure,2021,15219
69,UK identifiable expenditure,2022,17466
70,Outside the UK,2018,-
71,Outside the UK,2019,-
72,Outside the UK,2020,-
73,Outside the UK,2021,-
74,Outside the UK,2022,-
75,Total identifiable expenditure,2018,12149
76,Total identifiable expenditure,2019,14212
77,Total identifiable expenditure,2020,13687
78,Total identifiable expenditure,2021,15219
79,Total identifiable expenditure,2022,17466
80,Non-identifiable expenditure ,2018,-
81,Non-identifiable expenditure ,2019,-
82,Non-identifiable expenditure ,2020,-
83,Non-identifiable expenditure ,2021,-
84,Non-identifiable expenditure ,2022,-
85,Total Expenditure on Services,2018,12149
86,Total Expenditure on Services,2019,14212
87,Total Expenditure on Services,2020,13687
88,Total Expenditure on Services,2021,15219
89,Total Expenditure on Services,2022,17466
