,Region,Year,Table A.5a  Identifiable expenditure on general public services (of which: public and common services)
0,North East,2018,270
1,North East,2019,297
2,North East,2020,314
3,North East,2021,425
4,North East,2022,306
5,North West,2018,620
6,North West,2019,640
7,North West,2020,893
8,North West,2021,897
9,North West,2022,831
10,Yorkshire and The Humber,2018,384
11,Yorkshire and The Humber,2019,475
12,Yorkshire and The Humber,2020,577
13,Yorkshire and The Humber,2021,590
14,Yorkshire and The Humber,2022,611
15,East Midlands,2018,364
16,East Midlands,2019,473
17,East Midlands,2020,561
18,East Midlands,2021,589
19,East Midlands,2022,595
20,West Midlands,2018,586
21,West Midlands,2019,730
22,West Midlands,2020,974
23,West Midlands,2021,828
24,West Midlands,2022,722
25,East,2018,628
26,East,2019,689
27,East,2020,1098
28,East,2021,859
29,East,2022,805
30,London,2018,670
31,London,2019,998
32,London,2020,1350
33,London,2021,1493
34,London,2022,1205
35,South East,2018,1085
36,South East,2019,1000
37,South East,2020,1359
38,South East,2021,1243
39,South East,2022,1238
40,South West,2018,536
41,South West,2019,524
42,South West,2020,785
43,South West,2021,762
44,South West,2022,763
45,England,2018,5144
46,England,2019,5826
47,England,2020,7911
48,England,2021,7687
49,England,2022,7077
50,Scotland,2018,1189
51,Scotland,2019,1656
52,Scotland,2020,1494
53,Scotland,2021,1728
54,Scotland,2022,1940
55,Wales,2018,537
56,Wales,2019,575
57,Wales,2020,628
58,Wales,2021,938
59,Wales,2022,630
60,Northern Ireland,2018,394
61,Northern Ireland,2019,430
62,Northern Ireland,2020,806
63,Northern Ireland,2021,601
64,Northern Ireland,2022,523
65,UK identifiable expenditure,2018,7264
66,UK identifiable expenditure,2019,8487
67,UK identifiable expenditure,2020,10840
68,UK identifiable expenditure,2021,10954
69,UK identifiable expenditure,2022,10170
70,Outside the UK,2018,353
71,Outside the UK,2019,367
72,Outside the UK,2020,637
73,Outside the UK,2021,8373
74,Outside the UK,2022,9700
75,Total identifiable expenditure,2018,7616
76,Total identifiable expenditure,2019,8854
77,Total identifiable expenditure,2020,11477
78,Total identifiable expenditure,2021,19327
79,Total identifiable expenditure,2022,19869
80,Non-identifiable expenditure,2018,5104
81,Non-identifiable expenditure,2019,5544
82,Non-identifiable expenditure,2020,6617
83,Non-identifiable expenditure,2021,8470
84,Non-identifiable expenditure,2022,7153
85,Total Expenditure on Services,2018,12720
86,Total Expenditure on Services,2019,14399
87,Total Expenditure on Services,2020,18093
88,Total Expenditure on Services,2021,27796
89,Total Expenditure on Services,2022,27023
