,Region,Year,Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest)
0,North East,2018,-
1,North East,2019,-
2,North East,2020,-
3,North East,2021,-
4,North East,2022,-
5,North West,2018,-
6,North West,2019,-
7,North West,2020,-
8,North West,2021,-
9,North West,2022,-
10,Yorkshire and The Humber,2018,-
11,Yorkshire and The Humber,2019,-
12,Yorkshire and The Humber,2020,-
13,Yorkshire and The Humber,2021,-
14,Yorkshire and The Humber,2022,-
15,East Midlands,2018,-
16,East Midlands,2019,-
17,East Midlands,2020,-
18,East Midlands,2021,-
19,East Midlands,2022,-
20,West Midlands,2018,-
21,West Midlands,2019,-
22,West Midlands,2020,-
23,West Midlands,2021,-
24,West Midlands,2022,-
25,East,2018,-
26,East,2019,-
27,East,2020,-
28,East,2021,-
29,East,2022,-
30,London,2018,-
31,London,2019,-
32,London,2020,-
33,London,2021,-
34,London,2022,-
35,South East,2018,-
36,South East,2019,-
37,South East,2020,-
38,South East,2021,-
39,South East,2022,-
40,South West,2018,-
41,South West,2019,-
42,South West,2020,-
43,South West,2021,-
44,South West,2022,-
45,England,2018,-
46,England,2019,-
47,England,2020,-
48,England,2021,-
49,England,2022,-
50,Scotland,2018,-
51,Scotland,2019,-
52,Scotland,2020,-
53,Scotland,2021,-
54,Scotland,2022,-
55,Wales,2018,-
56,Wales,2019,-
57,Wales,2020,-
58,Wales,2021,-
59,Wales,2022,-
60,Northern Ireland,2018,-
61,Northern Ireland,2019,-
62,Northern Ireland,2020,-
63,Northern Ireland,2021,-
64,Northern Ireland,2022,-
65,UK identifiable expenditure,2018,-
66,UK identifiable expenditure,2019,-
67,UK identifiable expenditure,2020,-
68,UK identifiable expenditure,2021,-
69,UK identifiable expenditure,2022,-
70,Outside the UK,2018,-
71,Outside the UK,2019,-
72,Outside the UK,2020,-
73,Outside the UK,2021,-
74,Outside the UK,2022,-
75,Total identifiable expenditure,2018,-
76,Total identifiable expenditure,2019,-
77,Total identifiable expenditure,2020,-
78,Total identifiable expenditure,2021,-
79,Total identifiable expenditure,2022,-
80,Non-identifiable expenditure,2018,56906
81,Non-identifiable expenditure,2019,54830
82,Non-identifiable expenditure,2020,42371
83,Non-identifiable expenditure,2021,74534
84,Non-identifiable expenditure,2022,130303
85,Total Expenditure on Services,2018,56906
86,Total Expenditure on Services,2019,54830
87,Total Expenditure on Services,2020,42371
88,Total Expenditure on Services,2021,74534
89,Total Expenditure on Services,2022,130303
