,Region,Year,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development)
0,North East,2018,320
1,North East,2019,411
2,North East,2020,4583
3,North East,2021,1111
4,North East,2022,2301
5,North West,2018,996
6,North West,2019,1140
7,North West,2020,14495
8,North West,2021,3649
9,North West,2022,6531
10,Yorkshire and The Humber,2018,577
11,Yorkshire and The Humber,2019,887
12,Yorkshire and The Humber,2020,10268
13,Yorkshire and The Humber,2021,2489
14,Yorkshire and The Humber,2022,4698
15,East Midlands,2018,601
16,East Midlands,2019,828
17,East Midlands,2020,9133
18,East Midlands,2021,2095
19,East Midlands,2022,4091
20,West Midlands,2018,875
21,West Midlands,2019,1062
22,West Midlands,2020,11313
23,West Midlands,2021,2919
24,West Midlands,2022,5321
25,East,2018,1072
26,East,2019,1831
27,East,2020,13768
28,East,2021,3794
29,East,2022,5912
30,London,2018,2256
31,London,2019,3531
32,London,2020,23928
33,London,2021,7763
34,London,2022,10213
35,South East,2018,2530
36,South East,2019,2788
37,South East,2020,19177
38,South East,2021,5490
39,South East,2022,8807
40,South West,2018,827
41,South West,2019,1197
42,South West,2020,11754
43,South West,2021,2688
44,South West,2022,4741
45,England,2018,10056
46,England,2019,13675
47,England,2020,118420
48,England,2021,31996
49,England,2022,52614
50,Scotland,2018,1531
51,Scotland,2019,1750
52,Scotland,2020,11186
53,Scotland,2021,3907
54,Scotland,2022,5684
55,Wales,2018,644
56,Wales,2019,678
57,Wales,2020,6340
58,Wales,2021,1436
59,Wales,2022,2840
60,Northern Ireland,2018,358
61,Northern Ireland,2019,704
62,Northern Ireland,2020,3442
63,Northern Ireland,2021,1177
64,Northern Ireland,2022,1692
65,UK identifiable expenditure,2018,12589
66,UK identifiable expenditure,2019,16807
67,UK identifiable expenditure,2020,139388
68,UK identifiable expenditure,2021,38516
69,UK identifiable expenditure,2022,62831
70,Outside the UK,2018,17
71,Outside the UK,2019,25
72,Outside the UK,2020,16
73,Outside the UK,2021,37
74,Outside the UK,2022,36
75,Total identifiable expenditure,2018,12606
76,Total identifiable expenditure,2019,16832
77,Total identifiable expenditure,2020,139404
78,Total identifiable expenditure,2021,38554
79,Total identifiable expenditure,2022,62867
80,Non-identifiable expenditure,2018,1460
81,Non-identifiable expenditure,2019,1316
82,Non-identifiable expenditure,2020,1771
83,Non-identifiable expenditure,2021,2918
84,Non-identifiable expenditure,2022,1800
85,Total Expenditure on Services,2018,14066
86,Total Expenditure on Services,2019,18148
87,Total Expenditure on Services,2020,141174
88,Total Expenditure on Services,2021,41472
89,Total Expenditure on Services,2022,64667
90,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2018,
91,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2019,
92,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2020,
93,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2021,
94,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2022,
95,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2018,
96,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2019,
97,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2020,
98,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2021,
99,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2022,
