,Region,Year,Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies)
0,North East,2018,176
1,North East,2019,112
2,North East,2020,115
3,North East,2021,192
4,North East,2022,170
5,North West,2018,355
6,North West,2019,346
7,North West,2020,372
8,North West,2021,578
9,North West,2022,530
10,Yorkshire and The Humber,2018,294
11,Yorkshire and The Humber,2019,189
12,Yorkshire and The Humber,2020,217
13,Yorkshire and The Humber,2021,353
14,Yorkshire and The Humber,2022,319
15,East Midlands,2018,206
16,East Midlands,2019,149
17,East Midlands,2020,177
18,East Midlands,2021,275
19,East Midlands,2022,252
20,West Midlands,2018,291
21,West Midlands,2019,188
22,West Midlands,2020,218
23,West Midlands,2021,367
24,West Midlands,2022,328
25,East,2018,159
26,East,2019,160
27,East,2020,197
28,East,2021,316
29,East,2022,287
30,London,2018,396
31,London,2019,369
32,London,2020,487
33,London,2021,797
34,London,2022,719
35,South East,2018,214
36,South East,2019,208
37,South East,2020,265
38,South East,2021,438
39,South East,2022,395
40,South West,2018,104
41,South West,2019,152
42,South West,2020,172
43,South West,2021,275
44,South West,2022,247
45,England,2018,2195
46,England,2019,1871
47,England,2020,2220
48,England,2021,3592
49,England,2022,3248
50,Scotland,2018,257
51,Scotland,2019,177
52,Scotland,2020,193
53,Scotland,2021,323
54,Scotland,2022,280
55,Wales,2018,128
56,Wales,2019,102
57,Wales,2020,114
58,Wales,2021,188
59,Wales,2022,170
60,Northern Ireland,2018,99
61,Northern Ireland,2019,87
62,Northern Ireland,2020,76
63,Northern Ireland,2021,103
64,Northern Ireland,2022,105
65,UK identifiable expenditure,2018,2679
66,UK identifiable expenditure,2019,2237
67,UK identifiable expenditure,2020,2603
68,UK identifiable expenditure,2021,4205
69,UK identifiable expenditure,2022,3802
70,Outside the UK,2018,-
71,Outside the UK,2019,-
72,Outside the UK,2020,-
73,Outside the UK,2021,-
74,Outside the UK,2022,-
75,Total identifiable expenditure,2018,2679
76,Total identifiable expenditure,2019,2237
77,Total identifiable expenditure,2020,2603
78,Total identifiable expenditure,2021,4205
79,Total identifiable expenditure,2022,3802
80,Non-identifiable expenditure ,2018,-
81,Non-identifiable expenditure ,2019,-
82,Non-identifiable expenditure ,2020,-
83,Non-identifiable expenditure ,2021,-
84,Non-identifiable expenditure ,2022,-
85,Total Expenditure on Services,2018,2679
86,Total Expenditure on Services,2019,2237
87,Total Expenditure on Services,2020,2603
88,Total Expenditure on Services,2021,4205
89,Total Expenditure on Services,2022,3802
90,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2018,
91,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2019,
92,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2020,
93,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2021,
94,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2022,
