,Region,Year,Table A.10  Identifiable expenditure on housing and community amenities
0,North East,2019,442
1,North East,2020,532
2,North East,2021,456
3,North East,2022,542
4,North East,2023,623
5,North West,2019,840
6,North West,2020,999
7,North West,2021,969
8,North West,2022,1109
9,North West,2023,1276
10,Yorkshire and The Humber,2019,892
11,Yorkshire and The Humber,2020,840
12,Yorkshire and The Humber,2021,848
13,Yorkshire and The Humber,2022,826
14,Yorkshire and The Humber,2023,992
15,East Midlands,2019,514
16,East Midlands,2020,598
17,East Midlands,2021,643
18,East Midlands,2022,690
19,East Midlands,2023,634
20,West Midlands,2019,722
21,West Midlands,2020,1037
22,West Midlands,2021,955
23,West Midlands,2022,930
24,West Midlands,2023,867
25,East,2019,776
26,East,2020,991
27,East,2021,927
28,East,2022,951
29,East,2023,1122
30,London,2019,2418
31,London,2020,3096
32,London,2021,2867
33,London,2022,3744
34,London,2023,4692
35,South East,2019,1109
36,South East,2020,1249
37,South East,2021,1309
38,South East,2022,1186
39,South East,2023,1310
40,South West,2019,522
41,South West,2020,731
42,South West,2021,709
43,South West,2022,663
44,South West,2023,796
45,England,2019,8235
46,England,2020,10073
47,England,2021,9681
48,England,2022,10641
49,England,2023,12312
50,Scotland,2019,2240
51,Scotland,2020,2327
52,Scotland,2021,2118
53,Scotland,2022,2462
54,Scotland,2023,2772
55,Wales,2019,824
56,Wales,2020,969
57,Wales,2021,857
58,Wales,2022,1057
59,Wales,2023,1199
60,Northern Ireland,2019,852
61,Northern Ireland,2020,844
62,Northern Ireland,2021,1030
63,Northern Ireland,2022,1059
64,Northern Ireland,2023,1183
65,UK identifiable expenditure,2019,12149
66,UK identifiable expenditure,2020,14212
67,UK identifiable expenditure,2021,13687
68,UK identifiable expenditure,2022,15219
69,UK identifiable expenditure,2023,17466
70,Outside the UK,2019,-
71,Outside the UK,2020,-
72,Outside the UK,2021,-
73,Outside the UK,2022,-
74,Outside the UK,2023,-
75,Total identifiable expenditure,2019,12149
76,Total identifiable expenditure,2020,14212
77,Total identifiable expenditure,2021,13687
78,Total identifiable expenditure,2022,15219
79,Total identifiable expenditure,2023,17466
80,Non-identifiable expenditure ,2019,-
81,Non-identifiable expenditure ,2020,-
82,Non-identifiable expenditure ,2021,-
83,Non-identifiable expenditure ,2022,-
84,Non-identifiable expenditure ,2023,-
85,Total Expenditure on Services,2019,12149
86,Total Expenditure on Services,2020,14212
87,Total Expenditure on Services,2021,13687
88,Total Expenditure on Services,2022,15219
89,Total Expenditure on Services,2023,17466
