,Region,Year,Table A.1a  Total identifiable expenditure on services
0,North East,2019,26531
1,North East,2020,27403
2,North East,2021,35459
3,North East,2022,32005
4,North East,2023,34712
5,North West,2019,72271
6,North West,2020,74946
7,North West,2021,99286
8,North West,2022,89887
9,North West,2023,96545
10,Yorkshire and The Humber,2019,49807
11,Yorkshire and The Humber,2020,51545
12,Yorkshire and The Humber,2021,68857
13,Yorkshire and The Humber,2022,60747
14,Yorkshire and The Humber,2023,65693
15,East Midlands,2019,41200
16,East Midlands,2020,43065
17,East Midlands,2021,58315
18,East Midlands,2022,51028
19,East Midlands,2023,55393
20,West Midlands,2019,54934
21,West Midlands,2020,56972
22,West Midlands,2021,75977
23,West Midlands,2022,68271
24,West Midlands,2023,73359
25,East,2019,54150
26,East,2020,56815
27,East,2021,78191
28,East,2022,67699
29,East,2023,72359
30,London,2019,93127
31,London,2020,98297
32,London,2021,138051
33,London,2022,120707
34,London,2023,128438
35,South East,2019,79136
36,South East,2020,82150
37,South East,2021,113203
38,South East,2022,98801
39,South East,2023,105467
40,South West,2019,49682
41,South West,2020,51939
42,South West,2021,70608
43,South West,2022,61796
44,South West,2023,66249
45,Total England,2019,520836
46,Total England,2020,543132
47,Total England,2021,737949
48,Total England,2022,650941
49,Total England,2023,698215
50,Scotland,2019,60694
51,Scotland,2020,63067
52,Scotland,2021,80773
53,Scotland,2022,75824
54,Scotland,2023,78589
55,Wales,2019,33339
56,Wales,2020,34328
57,Wales,2021,44897
58,Wales,2022,41403
59,Wales,2023,43739
60,Northern Ireland,2019,21787
61,Northern Ireland,2020,22748
62,Northern Ireland,2021,28990
63,Northern Ireland,2022,26732
64,Northern Ireland,2023,27612
65,UK identifiable expenditure,2019,636656
66,UK identifiable expenditure,2020,663276
67,UK identifiable expenditure,2021,892609
68,UK identifiable expenditure,2022,794900
69,UK identifiable expenditure,2023,848155
70,Outside UK,2019,29988
71,Outside UK,2020,28269
72,Outside UK,2021,27279
73,Outside UK,2022,22118
74,Outside UK,2023,25137
75,Total identifiable expenditure,2019,666644
76,Total identifiable expenditure,2020,691545
77,Total identifiable expenditure,2021,919888
78,Total identifiable expenditure,2022,817017
79,Total identifiable expenditure,2023,873293
80,Identifiable expenditure,2019,666644
81,Identifiable expenditure,2020,691545
82,Identifiable expenditure,2021,919888
83,Identifiable expenditure,2022,817017
84,Identifiable expenditure,2023,873293
85,Non-identifiable expenditure,2019,106521
86,Non-identifiable expenditure,2020,107667
87,Non-identifiable expenditure,2021,101153
88,Non-identifiable expenditure,2022,141383
89,Non-identifiable expenditure,2023,203850
90,Public sector expenditure on services,2019,773165
91,Public sector expenditure on services,2020,799212
92,Public sector expenditure on services,2021,1021041
93,Public sector expenditure on services,2022,958401
94,Public sector expenditure on services,2023,1077142
95,Accounting adjustments,2019,84693
96,Accounting adjustments,2020,88873
97,Accounting adjustments,2021,85863
98,Accounting adjustments,2022,86310
99,Accounting adjustments,2023,74283
100,Total Managed Expenditure,2019,857858
101,Total Managed Expenditure,2020,888085
102,Total Managed Expenditure,2021,1106904
103,Total Managed Expenditure,2022,1044711
104,Total Managed Expenditure,2023,1151425
