,Region,Year,"Table A.3b  Total current and capital UK identifiable expenditure, per head"
0,North East,2014,6
1,North East,2015,4
2,North East,2016,4
3,North East,2017,4
4,North East,2018,4
5,North West,2014,17
6,North West,2015,10
7,North West,2016,10
8,North West,2017,12
9,North West,2018,11
10,Yorkshire and The Humber,2014,13
11,Yorkshire and The Humber,2015,8
12,Yorkshire and The Humber,2016,8
13,Yorkshire and The Humber,2017,9
14,Yorkshire and The Humber,2018,8
15,East Midlands,2014,11
16,East Midlands,2015,7
17,East Midlands,2016,7
18,East Midlands,2017,8
19,East Midlands,2018,7
20,West Midlands,2014,14
21,West Midlands,2015,8
22,West Midlands,2016,8
23,West Midlands,2017,10
24,West Midlands,2018,9
25,East,2014,14
26,East,2015,9
27,East,2016,9
28,East,2017,10
29,East,2018,10
30,London,2014,20
31,London,2015,13
32,London,2016,12
33,London,2017,15
34,London,2018,14
35,South East,2014,21
36,South East,2015,13
37,South East,2016,13
38,South East,2017,15
39,South East,2018,14
40,South West,2014,13
41,South West,2015,8
42,South West,2016,8
43,South West,2017,9
44,South West,2018,9
45,England,2014,129
46,England,2015,80
47,England,2016,79
48,England,2017,91
49,England,2018,86
50,Scotland,2014,13
51,Scotland,2015,8
52,Scotland,2016,8
53,Scotland,2017,9
54,Scotland,2018,9
55,Wales,2014,7
56,Wales,2015,5
57,Wales,2016,4
58,Wales,2017,5
59,Wales,2018,5
60,Northern Ireland,2014,4
61,Northern Ireland,2015,3
62,Northern Ireland,2016,3
63,Northern Ireland,2017,3
64,Northern Ireland,2018,3
65,UK identifiable expenditure,2014,154
66,UK identifiable expenditure,2015,95
67,UK identifiable expenditure,2016,93
68,UK identifiable expenditure,2017,109
69,UK identifiable expenditure,2018,103
70,Outside the UK,2014,8191
71,Outside the UK,2015,9180
72,Outside the UK,2016,8917
73,Outside the UK,2017,9506
74,Outside the UK,2018,9439
75,Total identifiable expenditure,2014,8344
76,Total identifiable expenditure,2015,9275
77,Total identifiable expenditure,2016,9010
78,Total identifiable expenditure,2017,9614
79,Total identifiable expenditure,2018,9542
80,Non-identifiable expenditure,2014,1451
81,Non-identifiable expenditure,2015,1219
82,Non-identifiable expenditure,2016,1431
83,Non-identifiable expenditure,2017,1250
84,Non-identifiable expenditure,2018,1165
85,Total Expenditure on Services,2014,9795
86,Total Expenditure on Services,2015,10495
87,Total Expenditure on Services,2016,10441
88,Total Expenditure on Services,2017,10865
89,Total Expenditure on Services,2018,10707
