,Region,Year,Table A.8  Identifiable expenditure on economic affairs
0,North East,2019,1833
1,North East,2020,1941
2,North East,2021,6673
3,North East,2022,2979
4,North East,2023,4291
5,North West,2019,5475
6,North West,2020,5676
7,North West,2021,20120
8,North West,2022,9744
9,North West,2023,12873
10,Yorkshire and The Humber,2019,3400
11,Yorkshire and The Humber,2020,3881
12,Yorkshire and The Humber,2021,14337
13,Yorkshire and The Humber,2022,6126
14,Yorkshire and The Humber,2023,8251
15,East Midlands,2019,2859
16,East Midlands,2020,3224
17,East Midlands,2021,12391
18,East Midlands,2022,5005
19,East Midlands,2023,7007
20,West Midlands,2019,4966
21,West Midlands,2020,5250
22,West Midlands,2021,16320
23,West Midlands,2022,8428
24,West Midlands,2023,10760
25,East,2019,5234
26,East,2020,6054
27,East,2021,19474
28,East,2022,8880
29,East,2023,10907
30,London,2019,11798
31,London,2020,12615
32,London,2021,38368
33,London,2022,20808
34,London,2023,23809
35,South East,2019,8403
36,South East,2020,9505
37,South East,2021,28510
38,South East,2022,13665
39,South East,2023,16754
40,South West,2019,3695
41,South West,2020,4359
42,South West,2021,15894
43,South West,2022,6518
44,South West,2023,8408
45,England,2019,47663
46,England,2020,52505
47,England,2021,172088
48,England,2022,82153
49,England,2023,103061
50,Scotland,2019,6550
51,Scotland,2020,6892
52,Scotland,2021,17544
53,Scotland,2022,10356
54,Scotland,2023,12114
55,Wales,2019,2690
56,Wales,2020,2714
57,Wales,2021,8874
58,Wales,2022,3881
59,Wales,2023,5360
60,Northern Ireland,2019,1739
61,Northern Ireland,2020,2088
62,Northern Ireland,2021,5162
63,Northern Ireland,2022,2977
64,Northern Ireland,2023,3427
65,UK identifiable expenditure,2019,58642
66,UK identifiable expenditure,2020,64199
67,UK identifiable expenditure,2021,203666
68,UK identifiable expenditure,2022,99367
69,UK identifiable expenditure,2023,123963
70,Outside the UK,2019,250
71,Outside the UK,2020,246
72,Outside the UK,2021,230
73,Outside the UK,2022,251
74,Outside the UK,2023,562
75,Total identifiable expenditure,2019,58891
76,Total identifiable expenditure,2020,64445
77,Total identifiable expenditure,2021,203896
78,Total identifiable expenditure,2022,99618
79,Total identifiable expenditure,2023,124525
80,Non-identifiable expenditure,2019,1904
81,Non-identifiable expenditure,2020,2123
82,Non-identifiable expenditure,2021,2183
83,Non-identifiable expenditure,2022,3340
84,Non-identifiable expenditure,2023,2269
85,Total Expenditure on Services,2019,60795
86,Total Expenditure on Services,2020,66568
87,Total Expenditure on Services,2021,206079
88,Total Expenditure on Services,2022,102959
89,Total Expenditure on Services,2023,126794
90,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2019,
91,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2020,
92,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2021,
93,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2022,
94,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2023,
