,Region,Year,Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies)
0,North East,2019,176
1,North East,2020,112
2,North East,2021,115
3,North East,2022,192
4,North East,2023,170
5,North West,2019,355
6,North West,2020,346
7,North West,2021,372
8,North West,2022,578
9,North West,2023,530
10,Yorkshire and The Humber,2019,294
11,Yorkshire and The Humber,2020,189
12,Yorkshire and The Humber,2021,217
13,Yorkshire and The Humber,2022,353
14,Yorkshire and The Humber,2023,319
15,East Midlands,2019,206
16,East Midlands,2020,149
17,East Midlands,2021,177
18,East Midlands,2022,275
19,East Midlands,2023,252
20,West Midlands,2019,291
21,West Midlands,2020,188
22,West Midlands,2021,218
23,West Midlands,2022,367
24,West Midlands,2023,328
25,East,2019,159
26,East,2020,160
27,East,2021,197
28,East,2022,316
29,East,2023,287
30,London,2019,396
31,London,2020,369
32,London,2021,487
33,London,2022,797
34,London,2023,719
35,South East,2019,214
36,South East,2020,208
37,South East,2021,265
38,South East,2022,438
39,South East,2023,395
40,South West,2019,104
41,South West,2020,152
42,South West,2021,172
43,South West,2022,275
44,South West,2023,247
45,England,2019,2195
46,England,2020,1871
47,England,2021,2220
48,England,2022,3592
49,England,2023,3248
50,Scotland,2019,257
51,Scotland,2020,177
52,Scotland,2021,193
53,Scotland,2022,323
54,Scotland,2023,280
55,Wales,2019,128
56,Wales,2020,102
57,Wales,2021,114
58,Wales,2022,188
59,Wales,2023,170
60,Northern Ireland,2019,99
61,Northern Ireland,2020,87
62,Northern Ireland,2021,76
63,Northern Ireland,2022,103
64,Northern Ireland,2023,105
65,UK identifiable expenditure,2019,2679
66,UK identifiable expenditure,2020,2237
67,UK identifiable expenditure,2021,2603
68,UK identifiable expenditure,2022,4205
69,UK identifiable expenditure,2023,3802
70,Outside the UK,2019,-
71,Outside the UK,2020,-
72,Outside the UK,2021,-
73,Outside the UK,2022,-
74,Outside the UK,2023,-
75,Total identifiable expenditure,2019,2679
76,Total identifiable expenditure,2020,2237
77,Total identifiable expenditure,2021,2603
78,Total identifiable expenditure,2022,4205
79,Total identifiable expenditure,2023,3802
80,Non-identifiable expenditure ,2019,-
81,Non-identifiable expenditure ,2020,-
82,Non-identifiable expenditure ,2021,-
83,Non-identifiable expenditure ,2022,-
84,Non-identifiable expenditure ,2023,-
85,Total Expenditure on Services,2019,2679
86,Total Expenditure on Services,2020,2237
87,Total Expenditure on Services,2021,2603
88,Total Expenditure on Services,2022,4205
89,Total Expenditure on Services,2023,3802
90,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2019,
91,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2020,
92,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2021,
93,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2022,
94,(1) The increase in current expenditure in 2021-22 is mainly due to the DWP Kickstart programme.,2023,
