,Region,Year,"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)"
0,North East,2019,224
1,North East,2020,222
2,North East,2021,229
3,North East,2022,221
4,North East,2023,240
5,North West,2019,370
6,North West,2020,382
7,North West,2021,433
8,North West,2022,394
9,North West,2023,496
10,Yorkshire and The Humber,2019,477
11,Yorkshire and The Humber,2020,461
12,Yorkshire and The Humber,2021,505
13,Yorkshire and The Humber,2022,453
14,Yorkshire and The Humber,2023,539
15,East Midlands,2019,433
16,East Midlands,2020,431
17,East Midlands,2021,467
18,East Midlands,2022,421
19,East Midlands,2023,487
20,West Midlands,2019,306
21,West Midlands,2020,364
22,West Midlands,2021,376
23,West Midlands,2022,365
24,West Midlands,2023,421
25,East,2019,489
26,East,2020,556
27,East,2021,603
28,East,2022,518
29,East,2023,596
30,London,2019,116
31,London,2020,151
32,London,2021,205
33,London,2022,192
34,London,2023,285
35,South East,2019,559
36,South East,2020,580
37,South East,2021,624
38,South East,2022,635
39,South East,2023,777
40,South West,2019,683
41,South West,2020,663
42,South West,2021,744
43,South West,2022,702
44,South West,2023,767
45,England,2019,3657
46,England,2020,3810
47,England,2021,4186
48,England,2022,3902
49,England,2023,4607
50,Scotland,2019,925
51,Scotland,2020,875
52,Scotland,2021,915
53,Scotland,2022,832
54,Scotland,2023,849
55,Wales,2019,519
56,Wales,2020,480
57,Wales,2021,520
58,Wales,2022,526
59,Wales,2023,551
60,Northern Ireland,2019,548
61,Northern Ireland,2020,553
62,Northern Ireland,2021,602
63,Northern Ireland,2022,666
64,Northern Ireland,2023,638
65,UK identifiable expenditure,2019,5650
66,UK identifiable expenditure,2020,5719
67,UK identifiable expenditure,2021,6223
68,UK identifiable expenditure,2022,5926
69,UK identifiable expenditure,2023,6646
70,Outside the UK,2019,84
71,Outside the UK,2020,84
72,Outside the UK,2021,93
73,Outside the UK,2022,95
74,Outside the UK,2023,119
75,Total identifiable expenditure,2019,5733
76,Total identifiable expenditure,2020,5803
77,Total identifiable expenditure,2021,6317
78,Total identifiable expenditure,2022,6021
79,Total identifiable expenditure,2023,6765
80,Non-identifiable expenditure ,2019,-
81,Non-identifiable expenditure ,2020,-
82,Non-identifiable expenditure ,2021,-
83,Non-identifiable expenditure ,2022,-
84,Non-identifiable expenditure ,2023,-
85,Total Expenditure on Services,2019,5733
86,Total Expenditure on Services,2020,5803
87,Total Expenditure on Services,2021,6317
88,Total Expenditure on Services,2022,6021
89,Total Expenditure on Services,2023,6765
