Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover,Total Exp.,UK Exp/Head,Real terms Exp.,UK Real terms Exp/Head,General. Public. Exp.,General. Public. Exp.(common services),General. Public. Exp.(international services),Defence Exp.,Safety Exp.,Economic Total. Exp.,Economic. Exp.(Enterprise),Economic. Exp.(Sci. & Tech),Economic. Exp.(Employment),"Economic. Exp.(Agri., Fish., For.)",Economic. Exp.(Transport),Environment. Exp.,Housing & Community Exp.,Health Exp.,Culture & Religion Exp.,Education Exp.,Social Protection Exp.,Local Govt. Exp.,Local Govt. Exp/Head,Total Exp. (excl. Local Govt.),GVA (Balanced),VAT on Products,Other Taxes,Subsidies,GDP (Current),Population,GDP per Head,GVA Deflators,"GDP CVM Index, 2019 equals 100",GDP CVM (in 2019 money value),GDP CVM (Per Head in 2019 money value),GDP CVM Growth,GDP CVM Per Head Growth
2013,north east,A,   100-199,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,A,   250-499,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,A,   500 or more,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,B,   2-4,0,80,182,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,B,   10-19,0,25,361,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,B,   50-99,7.017319127,10,127,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,C,   2-4,3,950,242,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,C,   10-19,6,435,506,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,C,   20-49,10,335,1185,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,C,   50-99,11,155,1727,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,C,   100-199,12,85,2104,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,C,   250-499,13,40,2251,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,C,   500 or more,24,20,8457,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,F,   2-4,6,2140,582,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,F,   5-9,5,690,467,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,F,   10-19,5,375,446,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,F,   20-49,6,185,606,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,F,   50-99,4,65,514,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,F,   100-199,3,20,364,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,G,   2-4,11,3300,1287,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,G,   5-9,11,1610,1443,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,G,   10-19,9,675,1654,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,G,   20-49,9,290,1799,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
