,Region,Year,Table A.11  Identifiable expenditure on health
0,North East,2017,6299
1,North East,2018,6494
2,North East,2019,6985
3,North East,2020,9249
4,North East,2021,9002
5,North West,2017,17145
6,North West,2018,17905
7,North West,2019,19208
8,North West,2020,25606
9,North West,2021,25373
10,Yorkshire and The Humber,2017,11614
11,Yorkshire and The Humber,2018,12077
12,Yorkshire and The Humber,2019,12953
13,Yorkshire and The Humber,2020,17338
14,Yorkshire and The Humber,2021,16980
15,East Midlands,2017,9286
16,East Midlands,2018,9740
17,East Midlands,2019,10678
18,East Midlands,2020,14452
19,East Midlands,2021,14140
20,West Midlands,2017,12826
21,West Midlands,2018,13230
22,West Midlands,2019,14144
23,West Midlands,2020,19069
24,West Midlands,2021,18812
25,East,2017,12166
26,East,2018,12647
27,East,2019,13499
28,East,2020,18417
29,East,2021,18304
30,London,2017,23650
31,London,2018,24625
32,London,2019,26577
33,London,2020,34330
34,London,2021,33533
35,South East,2017,17844
36,South East,2018,18495
37,South East,2019,19848
38,South East,2020,27229
39,South East,2021,26992
40,South West,2017,11308
41,South West,2018,11837
42,South West,2019,12790
43,South West,2020,17240
44,South West,2021,17164
45,England,2017,122138
46,England,2018,127051
47,England,2019,136682
48,England,2020,182929
49,England,2021,180300
50,Scotland,2017,12725
51,Scotland,2018,13022
52,Scotland,2019,13702
53,Scotland,2020,18110
54,Scotland,2021,19127
55,Wales,2017,7217
56,Wales,2018,7537
57,Wales,2019,8025
58,Wales,2020,10226
59,Wales,2021,10749
60,Northern Ireland,2017,4311
61,Northern Ireland,2018,4582
62,Northern Ireland,2019,4941
63,Northern Ireland,2020,6602
64,Northern Ireland,2021,6544
65,UK identifiable expenditure,2017,146391
66,UK identifiable expenditure,2018,152193
67,UK identifiable expenditure,2019,163350
68,UK identifiable expenditure,2020,217867
69,UK identifiable expenditure,2021,216720
70,Outside the UK,2017,946
71,Outside the UK,2018,724
72,Outside the UK,2019,789
73,Outside the UK,2020,700
74,Outside the UK,2021,764
75,Total identifiable expenditure,2017,147338
76,Total identifiable expenditure,2018,152917
77,Total identifiable expenditure,2019,164140
78,Total identifiable expenditure,2020,218567
79,Total identifiable expenditure,2021,217484
80,Non-identifiable expenditure ,2017,-
81,Non-identifiable expenditure ,2018,-
82,Non-identifiable expenditure ,2019,-
83,Non-identifiable expenditure ,2020,-
84,Non-identifiable expenditure ,2021,-
85,Total Expenditure on Services,2017,147338
86,Total Expenditure on Services,2018,152917
87,Total Expenditure on Services,2019,164140
88,Total Expenditure on Services,2020,218567
89,Total Expenditure on Services,2021,217484
90,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2017,
91,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2018,
92,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2019,
93,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2020,
94,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2021,
