,Region,Year,Table A.13  Identifiable expenditure on education
0,North East,2017,3430
1,North East,2018,3485
2,North East,2019,3513
3,North East,2020,3677
4,North East,2021,3913
5,North West,2017,8961
6,North West,2018,9085
7,North West,2019,9445
8,North West,2020,9845
9,North West,2021,10343
10,Yorkshire and The Humber,2017,7103
11,Yorkshire and The Humber,2018,7134
12,Yorkshire and The Humber,2019,7272
13,Yorkshire and The Humber,2020,7512
14,Yorkshire and The Humber,2021,7924
15,East Midlands,2017,5867
16,East Midlands,2018,5953
17,East Midlands,2019,6192
18,East Midlands,2020,6468
19,East Midlands,2021,6817
20,West Midlands,2017,7592
21,West Midlands,2018,7805
22,West Midlands,2019,8058
23,West Midlands,2020,8382
24,West Midlands,2021,8878
25,East,2017,7544
26,East,2018,7741
27,East,2019,8058
28,East,2020,8356
29,East,2021,8807
30,London,2017,12893
31,London,2018,13228
32,London,2019,13250
33,London,2020,13778
34,London,2021,14403
35,South East,2017,10918
36,South East,2018,11292
37,South East,2019,11518
38,South East,2020,12056
39,South East,2021,12770
40,South West,2017,6276
41,South West,2018,6617
42,South West,2019,6780
43,South West,2020,7065
44,South West,2021,7416
45,England,2017,70584
46,England,2018,72341
47,England,2019,74088
48,England,2020,77139
49,England,2021,81271
50,Scotland,2017,8493
51,Scotland,2018,8648
52,Scotland,2019,9258
53,Scotland,2020,10066
54,Scotland,2021,9631
55,Wales,2017,4280
56,Wales,2018,4285
57,Wales,2019,4386
58,Wales,2020,4986
59,Wales,2021,5219
60,Northern Ireland,2017,2700
61,Northern Ireland,2018,2777
62,Northern Ireland,2019,2889
63,Northern Ireland,2020,3335
64,Northern Ireland,2021,3351
65,UK identifiable expenditure,2017,86057
66,UK identifiable expenditure,2018,88051
67,UK identifiable expenditure,2019,90622
68,UK identifiable expenditure,2020,95526
69,UK identifiable expenditure,2021,99472
70,Outside the UK,2017,-
71,Outside the UK,2018,-
72,Outside the UK,2019,-
73,Outside the UK,2020,-
74,Outside the UK,2021,-
75,Total identifiable expenditure,2017,86057
76,Total identifiable expenditure,2018,88051
77,Total identifiable expenditure,2019,90622
78,Total identifiable expenditure,2020,95526
79,Total identifiable expenditure,2021,99472
80,Non-identifiable expenditure ,2017,-
81,Non-identifiable expenditure ,2018,-
82,Non-identifiable expenditure ,2019,-
83,Non-identifiable expenditure ,2020,-
84,Non-identifiable expenditure ,2021,-
85,Total Expenditure on Services,2017,86057
86,Total Expenditure on Services,2018,88051
87,Total Expenditure on Services,2019,90622
88,Total Expenditure on Services,2020,95526
89,Total Expenditure on Services,2021,99472
