,Region,Year,Table A.15  UK identifiable expenditure on services by function per head (1)
0,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
1,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
2,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
3,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
4,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
5,2017-18,0000,
6,2017-18,0000,
7,2017-18,0000,
8,2017-18,0000,
9,2017-18,0000,
10,North East,0000,588
11,North East,0000,588
12,North East,0000,588
13,North East,0000,588
14,North East,0000,588
15,North West,0000,721
16,North West,0000,721
17,North West,0000,721
18,North West,0000,721
19,North West,0000,721
20,Yorkshire and The Humber,0000,552
21,Yorkshire and The Humber,0000,552
22,Yorkshire and The Humber,0000,552
23,Yorkshire and The Humber,0000,552
24,Yorkshire and The Humber,0000,552
25,East Midlands,0000,513
26,East Midlands,0000,513
27,East Midlands,0000,513
28,East Midlands,0000,513
29,East Midlands,0000,513
30,West Midlands,0000,606
31,West Midlands,0000,606
32,West Midlands,0000,606
33,West Midlands,0000,606
34,West Midlands,0000,606
35,East,0000,672
36,East,0000,672
37,East,0000,672
38,East,0000,672
39,East,0000,672
40,London,0000,1230
41,London,0000,1230
42,London,0000,1230
43,London,0000,1230
44,London,0000,1230
45,South East,0000,722
46,South East,0000,722
47,South East,0000,722
48,South East,0000,722
49,South East,0000,722
50,South West,0000,613
51,South West,0000,613
52,South West,0000,613
53,South West,0000,613
54,South West,0000,613
55,England,0000,733
56,England,0000,733
57,England,0000,733
58,England,0000,733
59,England,0000,733
60,Scotland,0000,1188
61,Scotland,0000,1188
62,Scotland,0000,1188
63,Scotland,0000,1188
64,Scotland,0000,1188
65,Wales,0000,828
66,Wales,0000,828
67,Wales,0000,828
68,Wales,0000,828
69,Wales,0000,828
70,Northern Ireland,0000,823
71,Northern Ireland,0000,823
72,Northern Ireland,0000,823
73,Northern Ireland,0000,823
74,Northern Ireland,0000,823
75,UK identifiable expenditure,0000,777
76,UK identifiable expenditure,0000,777
77,UK identifiable expenditure,0000,777
78,UK identifiable expenditure,0000,777
79,UK identifiable expenditure,0000,777
80,2018-19,0000,
81,2018-19,0000,
82,2018-19,0000,
83,2018-19,0000,
84,2018-19,0000,
85,North East,0000,692
86,North East,0000,692
87,North East,0000,692
88,North East,0000,692
89,North East,0000,692
90,North West,0000,738
91,North West,0000,738
92,North West,0000,738
93,North West,0000,738
94,North West,0000,738
95,Yorkshire and The Humber,0000,621
96,Yorkshire and The Humber,0000,621
97,Yorkshire and The Humber,0000,621
98,Yorkshire and The Humber,0000,621
99,Yorkshire and The Humber,0000,621
100,East Midlands,0000,595
101,East Midlands,0000,595
102,East Midlands,0000,595
103,East Midlands,0000,595
104,East Midlands,0000,595
105,West Midlands,0000,841
106,West Midlands,0000,841
107,West Midlands,0000,841
108,West Midlands,0000,841
109,West Midlands,0000,841
110,East,0000,845
111,East,0000,845
112,East,0000,845
113,East,0000,845
114,East,0000,845
115,London,0000,1327
116,London,0000,1327
117,London,0000,1327
118,London,0000,1327
119,London,0000,1327
120,South East,0000,922
121,South East,0000,922
122,South East,0000,922
123,South East,0000,922
124,South East,0000,922
125,South West,0000,659
126,South West,0000,659
127,South West,0000,659
128,South West,0000,659
129,South West,0000,659
130,England,0000,851
131,England,0000,851
132,England,0000,851
133,England,0000,851
134,England,0000,851
135,Scotland,0000,1199
136,Scotland,0000,1199
137,Scotland,0000,1199
138,Scotland,0000,1199
139,Scotland,0000,1199
140,Wales,0000,853
141,Wales,0000,853
142,Wales,0000,853
143,Wales,0000,853
144,Wales,0000,853
145,Northern Ireland,0000,923
146,Northern Ireland,0000,923
147,Northern Ireland,0000,923
148,Northern Ireland,0000,923
149,Northern Ireland,0000,923
150,UK identifiable expenditure,0000,881
151,UK identifiable expenditure,0000,881
152,UK identifiable expenditure,0000,881
153,UK identifiable expenditure,0000,881
154,UK identifiable expenditure,0000,881
