,Region,Year,"Table A.16  UK identifiable expenditure on services by function, per head indexed"
0,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
1,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
2,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
3,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
4,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
5,2017-18,0000,
6,2017-18,0000,
7,2017-18,0000,
8,2017-18,0000,
9,2017-18,0000,
10,North East,0000,76
11,North East,0000,76
12,North East,0000,76
13,North East,0000,76
14,North East,0000,76
15,North West,0000,93
16,North West,0000,93
17,North West,0000,93
18,North West,0000,93
19,North West,0000,93
20,Yorkshire and The Humber,0000,71
21,Yorkshire and The Humber,0000,71
22,Yorkshire and The Humber,0000,71
23,Yorkshire and The Humber,0000,71
24,Yorkshire and The Humber,0000,71
25,East Midlands,0000,66
26,East Midlands,0000,66
27,East Midlands,0000,66
28,East Midlands,0000,66
29,East Midlands,0000,66
30,West Midlands,0000,78
31,West Midlands,0000,78
32,West Midlands,0000,78
33,West Midlands,0000,78
34,West Midlands,0000,78
35,East,0000,87
36,East,0000,87
37,East,0000,87
38,East,0000,87
39,East,0000,87
40,London,0000,158
41,London,0000,158
42,London,0000,158
43,London,0000,158
44,London,0000,158
45,South East,0000,93
46,South East,0000,93
47,South East,0000,93
48,South East,0000,93
49,South East,0000,93
50,South West,0000,79
51,South West,0000,79
52,South West,0000,79
53,South West,0000,79
54,South West,0000,79
55,England,0000,94
56,England,0000,94
57,England,0000,94
58,England,0000,94
59,England,0000,94
60,Scotland,0000,153
61,Scotland,0000,153
62,Scotland,0000,153
63,Scotland,0000,153
64,Scotland,0000,153
65,Wales,0000,106
66,Wales,0000,106
67,Wales,0000,106
68,Wales,0000,106
69,Wales,0000,106
70,Northern Ireland,0000,106
71,Northern Ireland,0000,106
72,Northern Ireland,0000,106
73,Northern Ireland,0000,106
74,Northern Ireland,0000,106
75,UK identifiable expenditure,0000,100
76,UK identifiable expenditure,0000,100
77,UK identifiable expenditure,0000,100
78,UK identifiable expenditure,0000,100
79,UK identifiable expenditure,0000,100
80,2018-19,0000,
81,2018-19,0000,
82,2018-19,0000,
83,2018-19,0000,
84,2018-19,0000,
85,North East,0000,79
86,North East,0000,79
87,North East,0000,79
88,North East,0000,79
89,North East,0000,79
90,North West,0000,84
91,North West,0000,84
92,North West,0000,84
93,North West,0000,84
94,North West,0000,84
95,Yorkshire and The Humber,0000,71
96,Yorkshire and The Humber,0000,71
97,Yorkshire and The Humber,0000,71
98,Yorkshire and The Humber,0000,71
99,Yorkshire and The Humber,0000,71
100,East Midlands,0000,68
101,East Midlands,0000,68
102,East Midlands,0000,68
103,East Midlands,0000,68
104,East Midlands,0000,68
105,West Midlands,0000,95
106,West Midlands,0000,95
107,West Midlands,0000,95
108,West Midlands,0000,95
109,West Midlands,0000,95
110,East,0000,96
111,East,0000,96
112,East,0000,96
113,East,0000,96
114,East,0000,96
115,London,0000,151
116,London,0000,151
117,London,0000,151
118,London,0000,151
119,London,0000,151
120,South East,0000,105
121,South East,0000,105
122,South East,0000,105
123,South East,0000,105
124,South East,0000,105
125,South West,0000,75
126,South West,0000,75
127,South West,0000,75
128,South West,0000,75
129,South West,0000,75
130,England,0000,97
131,England,0000,97
132,England,0000,97
133,England,0000,97
134,England,0000,97
135,Scotland,0000,136
136,Scotland,0000,136
137,Scotland,0000,136
138,Scotland,0000,136
139,Scotland,0000,136
140,Wales,0000,97
141,Wales,0000,97
142,Wales,0000,97
143,Wales,0000,97
144,Wales,0000,97
145,Northern Ireland,0000,105
146,Northern Ireland,0000,105
147,Northern Ireland,0000,105
148,Northern Ireland,0000,105
149,Northern Ireland,0000,105
150,UK identifiable expenditure,0000,100
151,UK identifiable expenditure,0000,100
152,UK identifiable expenditure,0000,100
153,UK identifiable expenditure,0000,100
154,UK identifiable expenditure,0000,100
