,Region,Year,Table A.17  Total local government identifiable expenditure on services
0,North East,2017,6168
1,North East,2018,6130
2,North East,2019,6385
3,North East,2020,6573
4,North East,2021,6572
5,North West,2017,18295
6,North West,2018,17284
7,North West,2019,17573
8,North West,2020,18487
9,North West,2021,18731
10,Yorkshire and The Humber,2017,11421
11,Yorkshire and The Humber,2018,11243
12,Yorkshire and The Humber,2019,11459
13,Yorkshire and The Humber,2020,12208
14,Yorkshire and The Humber,2021,12397
15,East Midlands,2017,8873
16,East Midlands,2018,8672
17,East Midlands,2019,8861
18,East Midlands,2020,9432
19,East Midlands,2021,9517
20,West Midlands,2017,11919
21,West Midlands,2018,12073
22,West Midlands,2019,12360
23,West Midlands,2020,13246
24,West Midlands,2021,13451
25,East,2017,11993
26,East,2018,11976
27,East,2019,12358
28,East,2020,13083
29,East,2021,13168
30,London,2017,29293
31,London,2018,28665
32,London,2019,28945
33,London,2020,32501
34,London,2021,31469
35,South East,2017,18967
36,South East,2018,19589
37,South East,2019,19122
38,South East,2020,19904
39,South East,2021,20111
40,South West,2017,10801
41,South West,2018,10868
42,South West,2019,11159
43,South West,2020,11833
44,South West,2021,11857
45,Total England,2017,127731
46,Total England,2018,126501
47,Total England,2019,128221
48,Total England,2020,137266
49,Total England,2021,137273
50,Scotland,2017,14527
51,Scotland,2018,14714
52,Scotland,2019,15741
53,Scotland,2020,15583
54,Scotland,2021,16474
55,Wales,2017,8398
56,Wales,2018,8564
57,Wales,2019,8786
58,Wales,2020,9685
59,Wales,2021,10177
60,Northern Ireland (1),2017,760
61,Northern Ireland (1),2018,858
62,Northern Ireland (1),2019,877
63,Northern Ireland (1),2020,766
64,Northern Ireland (1),2021,874
65,UK local government identifiable expenditure,2017,151416
66,UK local government identifiable expenditure,2018,150637
67,UK local government identifiable expenditure,2019,153625
68,UK local government identifiable expenditure,2020,163301
69,UK local government identifiable expenditure,2021,164798
70,Non-identifiable expenditure,2017,832
71,Non-identifiable expenditure,2018,850
72,Non-identifiable expenditure,2019,648
73,Non-identifiable expenditure,2020,763
74,Non-identifiable expenditure,2021,786
75,Total local government expenditure on services,2017,152248
76,Total local government expenditure on services,2018,151487
77,Total local government expenditure on services,2019,154273
78,Total local government expenditure on services,2020,164064
79,Total local government expenditure on services,2021,165584
80,Accounting adjustments,2017,25189
81,Accounting adjustments,2018,26711
82,Accounting adjustments,2019,30648
83,Accounting adjustments,2020,48883
84,Accounting adjustments,2021,31082
85,Total local government expenditure,2017,177437
86,Total local government expenditure,2018,178198
87,Total local government expenditure,2019,184921
88,Total local government expenditure,2020,212947
89,Total local government expenditure,2021,196666
90,(1) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2017,
91,(1) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2018,
92,(1) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2019,
93,(1) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2020,
94,(1) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2021,
