,Region,Year,"Table A.18  Total local government identifiable expenditure on services, per head (1)"
0,North East,2017,2332
1,North East,2018,2306
2,North East,2019,2391
3,North East,2020,2452
4,North East,2021,2483
5,North West,2017,2521
6,North West,2018,2370
7,North West,2019,2394
8,North West,2020,2509
9,North West,2021,2525
10,Yorkshire and The Humber,2017,2096
11,Yorkshire and The Humber,2018,2052
12,Yorkshire and The Humber,2019,2082
13,Yorkshire and The Humber,2020,2209
14,Yorkshire and The Humber,2021,2262
15,East Midlands,2017,1860
16,East Midlands,2018,1805
17,East Midlands,2019,1832
18,East Midlands,2020,1938
19,East Midlands,2021,1950
20,West Midlands,2017,2034
21,West Midlands,2018,2046
22,West Midlands,2019,2083
23,West Midlands,2020,2222
24,West Midlands,2021,2260
25,East,2017,1944
26,East,2018,1931
27,East,2019,1982
28,East,2020,2087
29,East,2021,2079
30,London,2017,3319
31,London,2018,3218
32,London,2019,3230
33,London,2020,3610
34,London,2021,3576
35,South East,2017,2089
36,South East,2018,2145
37,South East,2019,2083
38,South East,2020,2159
39,South East,2021,2168
40,South West,2017,1943
41,South West,2018,1941
42,South West,2019,1984
43,South West,2020,2091
44,South West,2021,2080
45,Total England,2017,2297
46,Total England,2018,2260
47,Total England,2019,2278
48,Total England,2020,2427
49,Total England,2021,2430
50,Scotland,2017,2678
51,Scotland,2018,2706
52,Scotland,2019,2881
53,Scotland,2020,2851
54,Scotland,2021,3006
55,Wales,2017,2687
56,Wales,2018,2729
57,Wales,2019,2787
58,Wales,2020,3056
59,Wales,2021,3275
60,Northern Ireland (2),2017,406
61,Northern Ireland (2),2018,456
62,Northern Ireland (2),2019,463
63,Northern Ireland (2),2020,404
64,Northern Ireland (2),2021,459
65,UK local government identifiable expenditure,2017,2293
66,UK local government identifiable expenditure,2018,2267
67,UK local government identifiable expenditure,2019,2300
68,UK local government identifiable expenditure,2020,2434
69,UK local government identifiable expenditure,2021,2460
70,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2017,
71,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2018,
72,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2019,
73,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2020,
74,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",2021,
75,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2017,
76,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2018,
77,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2019,
78,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2020,
79,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2021,
