,Region,Year,Table A.5  Identifiable expenditure on general public services
0,North East,2017,237
1,North East,2018,273
2,North East,2019,300
3,North East,2020,317
4,North East,2021,327
5,North West,2017,616
6,North West,2018,626
7,North West,2019,647
8,North West,2020,898
9,North West,2021,932
10,Yorkshire and The Humber,2017,329
11,Yorkshire and The Humber,2018,390
12,Yorkshire and The Humber,2019,480
13,Yorkshire and The Humber,2020,582
14,Yorkshire and The Humber,2021,592
15,East Midlands,2017,433
16,East Midlands,2018,369
17,East Midlands,2019,478
18,East Midlands,2020,564
19,East Midlands,2021,535
20,West Midlands,2017,568
21,West Midlands,2018,592
22,West Midlands,2019,736
23,West Midlands,2020,979
24,West Midlands,2021,985
25,East,2017,563
26,East,2018,633
27,East,2019,694
28,East,2020,1102
29,East,2021,1101
30,London,2017,828
31,London,2018,680
32,London,2019,1007
33,London,2020,1359
34,London,2021,1477
35,South East,2017,904
36,South East,2018,1093
37,South East,2019,1008
38,South East,2020,1365
39,South East,2021,1326
40,South West,2017,484
41,South West,2018,541
42,South West,2019,529
43,South West,2020,789
44,South West,2021,701
45,England,2017,4963
46,England,2018,5196
47,England,2019,5878
48,England,2020,7956
49,England,2021,7976
50,Scotland,2017,1207
51,Scotland,2018,1195
52,Scotland,2019,1662
53,Scotland,2020,1500
54,Scotland,2021,1911
55,Wales,2017,536
56,Wales,2018,540
57,Wales,2019,579
58,Wales,2020,632
59,Wales,2021,944
60,Northern Ireland,2017,374
61,Northern Ireland,2018,396
62,Northern Ireland,2019,431
63,Northern Ireland,2020,807
64,Northern Ireland,2021,604
65,UK identifiable expenditure,2017,7079
66,UK identifiable expenditure,2018,7327
67,UK identifiable expenditure,2019,8551
68,UK identifiable expenditure,2020,10894
69,UK identifiable expenditure,2021,11436
70,Outside the UK,2017,9832
71,Outside the UK,2018,10809
72,Outside the UK,2019,10563
73,Outside the UK,2020,10302
74,Outside the UK,2021,14949
75,Total identifiable expenditure,2017,16911
76,Total identifiable expenditure,2018,18136
77,Total identifiable expenditure,2019,19113
78,Total identifiable expenditure,2020,21197
79,Total identifiable expenditure,2021,26385
80,Non-identifiable expenditure,2017,67641
81,Non-identifiable expenditure,2018,62877
82,Non-identifiable expenditure,2019,61873
83,Non-identifiable expenditure,2020,50265
84,Non-identifiable expenditure,2021,82692
85,Total Expenditure on Services,2017,84552
86,Total Expenditure on Services,2018,81013
87,Total Expenditure on Services,2019,80986
88,Total Expenditure on Services,2020,71462
89,Total Expenditure on Services,2021,109077
