,Region,Year,Table A.5a  Identifiable expenditure on general public services (of which: public and common services)
0,North East,2017,235
1,North East,2018,270
2,North East,2019,297
3,North East,2020,315
4,North East,2021,325
5,North West,2017,610
6,North West,2018,619
7,North West,2019,640
8,North West,2020,892
9,North West,2021,925
10,Yorkshire and The Humber,2017,324
11,Yorkshire and The Humber,2018,385
12,Yorkshire and The Humber,2019,475
13,Yorkshire and The Humber,2020,577
14,Yorkshire and The Humber,2021,587
15,East Midlands,2017,429
16,East Midlands,2018,364
17,East Midlands,2019,473
18,East Midlands,2020,560
19,East Midlands,2021,530
20,West Midlands,2017,563
21,West Midlands,2018,586
22,West Midlands,2019,730
23,West Midlands,2020,974
24,West Midlands,2021,979
25,East,2017,557
26,East,2018,628
27,East,2019,688
28,East,2020,1097
29,East,2021,1095
30,London,2017,820
31,London,2018,671
32,London,2019,999
33,London,2020,1352
34,London,2021,1469
35,South East,2017,896
36,South East,2018,1085
37,South East,2019,1000
38,South East,2020,1358
39,South East,2021,1317
40,South West,2017,479
41,South West,2018,535
42,South West,2019,523
43,South West,2020,784
44,South West,2021,695
45,England,2017,4915
46,England,2018,5143
47,England,2019,5825
48,England,2020,7911
49,England,2021,7924
50,Scotland,2017,1201
51,Scotland,2018,1189
52,Scotland,2019,1656
53,Scotland,2020,1494
54,Scotland,2021,1901
55,Wales,2017,533
56,Wales,2018,537
57,Wales,2019,576
58,Wales,2020,629
59,Wales,2021,941
60,Northern Ireland,2017,372
61,Northern Ireland,2018,394
62,Northern Ireland,2019,430
63,Northern Ireland,2020,806
64,Northern Ireland,2021,603
65,UK identifiable expenditure,2017,7022
66,UK identifiable expenditure,2018,7264
67,UK identifiable expenditure,2019,8487
68,UK identifiable expenditure,2020,10840
69,UK identifiable expenditure,2021,11368
70,Outside the UK,2017,347
71,Outside the UK,2018,353
72,Outside the UK,2019,367
73,Outside the UK,2020,637
74,Outside the UK,2021,8636
75,Total identifiable expenditure,2017,7369
76,Total identifiable expenditure,2018,7616
77,Total identifiable expenditure,2019,8854
78,Total identifiable expenditure,2020,11477
79,Total identifiable expenditure,2021,20004
80,Non-identifiable expenditure,2017,5130
81,Non-identifiable expenditure,2018,5189
82,Non-identifiable expenditure,2019,5638
83,Non-identifiable expenditure,2020,6773
84,Non-identifiable expenditure,2021,7790
85,Total Expenditure on Services,2017,12499
86,Total Expenditure on Services,2018,12805
87,Total Expenditure on Services,2019,14493
88,Total Expenditure on Services,2020,18250
89,Total Expenditure on Services,2021,27794
