,Region,Year,Table A.6  Identifiable expenditure on defence
0,North East,2017,2
1,North East,2018,1
2,North East,2019,2
3,North East,2020,35
4,North East,2021,29
5,North West,2017,5
6,North West,2018,4
7,North West,2019,4
8,North West,2020,8
9,North West,2021,6
10,Yorkshire and The Humber,2017,2
11,Yorkshire and The Humber,2018,3
12,Yorkshire and The Humber,2019,3
13,Yorkshire and The Humber,2020,7
14,Yorkshire and The Humber,2021,6
15,East Midlands,2017,3
16,East Midlands,2018,3
17,East Midlands,2019,4
18,East Midlands,2020,8
19,East Midlands,2021,7
20,West Midlands,2017,3
21,West Midlands,2018,3
22,West Midlands,2019,3
23,West Midlands,2020,11
24,West Midlands,2021,9
25,East,2017,5
26,East,2018,4
27,East,2019,5
28,East,2020,19
29,East,2021,16
30,London,2017,6
31,London,2018,6
32,London,2019,12
33,London,2020,17
34,London,2021,14
35,South East,2017,7
36,South East,2018,7
37,South East,2019,8
38,South East,2020,22
39,South East,2021,18
40,South West,2017,3
41,South West,2018,3
42,South West,2019,5
43,South West,2020,9
44,South West,2021,7
45,England,2017,36
46,England,2018,35
47,England,2019,48
48,England,2020,134
49,England,2021,113
50,Scotland,2017,3
51,Scotland,2018,3
52,Scotland,2019,3
53,Scotland,2020,6
54,Scotland,2021,3
55,Wales,2017,3
56,Wales,2018,2
57,Wales,2019,3
58,Wales,2020,3
59,Wales,2021,3
60,Northern Ireland,2017,-
61,Northern Ireland,2018,-
62,Northern Ireland,2019,-
63,Northern Ireland,2020,-
64,Northern Ireland,2021,-
65,UK identifiable expenditure,2017,42
66,UK identifiable expenditure,2018,41
67,UK identifiable expenditure,2019,54
68,UK identifiable expenditure,2020,143
69,UK identifiable expenditure,2021,118
70,Outside the UK,2017,801
71,Outside the UK,2018,696
72,Outside the UK,2019,476
73,Outside the UK,2020,478
74,Outside the UK,2021,509
75,Total identifiable expenditure,2017,843
76,Total identifiable expenditure,2018,736
77,Total identifiable expenditure,2019,529
78,Total identifiable expenditure,2020,621
79,Total identifiable expenditure,2021,627
80,Non-identifiable expenditure,2017,37827
81,Non-identifiable expenditure,2018,39502
82,Non-identifiable expenditure,2019,41717
83,Non-identifiable expenditure,2020,43961
84,Non-identifiable expenditure,2021,48033
85,Total Expenditure on Services,2017,38670
86,Total Expenditure on Services,2018,40238
87,Total Expenditure on Services,2019,42246
88,Total Expenditure on Services,2020,44582
89,Total Expenditure on Services,2021,48660
