,Region,Year,Table A.8  Identifiable expenditure on economic affairs
0,North East,2017,1556
1,North East,2018,1839
2,North East,2019,1904
3,North East,2020,6736
4,North East,2021,2946
5,North West,2017,5233
6,North West,2018,5384
7,North West,2019,5665
8,North West,2020,20291
9,North West,2021,9572
10,Yorkshire and The Humber,2017,3010
11,Yorkshire and The Humber,2018,3405
12,Yorkshire and The Humber,2019,3801
13,Yorkshire and The Humber,2020,14529
14,Yorkshire and The Humber,2021,6324
15,East Midlands,2017,2449
16,East Midlands,2018,2859
17,East Midlands,2019,3214
18,East Midlands,2020,12565
19,East Midlands,2021,5259
20,West Midlands,2017,3552
21,West Midlands,2018,4964
22,West Midlands,2019,5463
23,West Midlands,2020,16821
24,West Midlands,2021,8633
25,East,2017,4148
26,East,2018,5237
27,East,2019,5996
28,East,2020,19656
29,East,2021,9017
30,London,2017,10852
31,London,2018,11821
32,London,2019,12667
33,London,2020,38921
34,London,2021,20623
35,South East,2017,6558
36,South East,2018,8420
37,South East,2019,9472
38,South East,2020,28962
39,South East,2021,13377
40,South West,2017,3410
41,South West,2018,3692
42,South West,2019,4289
43,South West,2020,16081
44,South West,2021,6521
45,England,2017,40769
46,England,2018,47623
47,England,2019,52470
48,England,2020,174563
49,England,2021,82273
50,Scotland,2017,6444
51,Scotland,2018,6519
52,Scotland,2019,6841
53,Scotland,2020,17694
54,Scotland,2021,10531
55,Wales,2017,2587
56,Wales,2018,2677
57,Wales,2019,2725
58,Wales,2020,8980
59,Wales,2021,3930
60,Northern Ireland,2017,1540
61,Northern Ireland,2018,1736
62,Northern Ireland,2019,2074
63,Northern Ireland,2020,5207
64,Northern Ireland,2021,2959
65,UK identifiable expenditure,2017,51340
66,UK identifiable expenditure,2018,58555
67,UK identifiable expenditure,2019,64109
68,UK identifiable expenditure,2020,206444
69,UK identifiable expenditure,2021,99692
70,Outside the UK,2017,245
71,Outside the UK,2018,252
72,Outside the UK,2019,240
73,Outside the UK,2020,230
74,Outside the UK,2021,242
75,Total identifiable expenditure,2017,51585
76,Total identifiable expenditure,2018,58807
77,Total identifiable expenditure,2019,64350
78,Total identifiable expenditure,2020,206674
79,Total identifiable expenditure,2021,99934
80,Non-identifiable expenditure,2017,1565
81,Non-identifiable expenditure,2018,1900
82,Non-identifiable expenditure,2019,2122
83,Non-identifiable expenditure,2020,2184
84,Non-identifiable expenditure,2021,2448
85,Total Expenditure on Services,2017,53150
86,Total Expenditure on Services,2018,60706
87,Total Expenditure on Services,2019,66472
88,Total Expenditure on Services,2020,208857
89,Total Expenditure on Services,2021,102382
90,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2017,
91,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2018,
92,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2019,
93,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2020,
94,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2021,
