,Region,Year,"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)"
0,North East,2017,192
1,North East,2018,223
2,North East,2019,221
3,North East,2020,229
4,North East,2021,245
5,North West,2017,343
6,North West,2018,370
7,North West,2019,382
8,North West,2020,433
9,North West,2021,435
10,Yorkshire and The Humber,2017,425
11,Yorkshire and The Humber,2018,477
12,Yorkshire and The Humber,2019,462
13,Yorkshire and The Humber,2020,507
14,Yorkshire and The Humber,2021,542
15,East Midlands,2017,367
16,East Midlands,2018,433
17,East Midlands,2019,432
18,East Midlands,2020,468
19,East Midlands,2021,503
20,West Midlands,2017,264
21,West Midlands,2018,307
22,West Midlands,2019,365
23,West Midlands,2020,377
24,West Midlands,2021,391
25,East,2017,458
26,East,2018,485
27,East,2019,551
28,East,2020,598
29,East,2021,587
30,London,2017,91
31,London,2018,116
32,London,2019,151
33,London,2020,206
34,London,2021,219
35,South East,2017,431
36,South East,2018,559
37,South East,2019,581
38,South East,2020,624
39,South East,2021,633
40,South West,2017,587
41,South West,2018,683
42,South West,2019,663
43,South West,2020,744
44,South West,2021,671
45,England,2017,3158
46,England,2018,3652
47,England,2019,3808
48,England,2020,4185
49,England,2021,4225
50,Scotland,2017,909
51,Scotland,2018,926
52,Scotland,2019,876
53,Scotland,2020,915
54,Scotland,2021,906
55,Wales,2017,499
56,Wales,2018,520
57,Wales,2019,481
58,Wales,2020,521
59,Wales,2021,561
60,Northern Ireland,2017,499
61,Northern Ireland,2018,549
62,Northern Ireland,2019,553
63,Northern Ireland,2020,603
64,Northern Ireland,2021,670
65,UK identifiable expenditure,2017,5064
66,UK identifiable expenditure,2018,5646
67,UK identifiable expenditure,2019,5718
68,UK identifiable expenditure,2020,6223
69,UK identifiable expenditure,2021,6361
70,Outside the UK,2017,113
71,Outside the UK,2018,87
72,Outside the UK,2019,85
73,Outside the UK,2020,93
74,Outside the UK,2021,92
75,Total identifiable expenditure,2017,5177
76,Total identifiable expenditure,2018,5733
77,Total identifiable expenditure,2019,5803
78,Total identifiable expenditure,2020,6317
79,Total identifiable expenditure,2021,6454
80,Non-identifiable expenditure ,2017,-
81,Non-identifiable expenditure ,2018,-
82,Non-identifiable expenditure ,2019,-
83,Non-identifiable expenditure ,2020,-
84,Non-identifiable expenditure ,2021,-
85,Total Expenditure on Services,2017,5177
86,Total Expenditure on Services,2018,5733
87,Total Expenditure on Services,2019,5803
88,Total Expenditure on Services,2020,6317
89,Total Expenditure on Services,2021,6454
