,Region,Year,"Table A.12  Identifiable expenditure on recreation, culture and religion"
0,North East,2018,252
1,North East,2019,306
2,North East,2020,332
3,North East,2021,343
4,North East,2022,367
5,North West,2018,730
6,North West,2019,779
7,North West,2020,898
8,North West,2021,994
9,North West,2022,1015
10,Yorkshire and The Humber,2018,546
11,Yorkshire and The Humber,2019,645
12,Yorkshire and The Humber,2020,700
13,Yorkshire and The Humber,2021,706
14,Yorkshire and The Humber,2022,739
15,East Midlands,2018,419
16,East Midlands,2019,442
17,East Midlands,2020,546
18,East Midlands,2021,507
19,East Midlands,2022,476
20,West Midlands,2018,512
21,West Midlands,2019,523
22,West Midlands,2020,687
23,West Midlands,2021,803
24,West Midlands,2022,989
25,East,2018,517
26,East,2019,534
27,East,2020,613
28,East,2021,584
29,East,2022,585
30,London,2018,1106
31,London,2019,1271
32,London,2020,1714
33,London,2021,1328
34,London,2022,1344
35,South East,2018,796
36,South East,2019,773
37,South East,2020,975
38,South East,2021,924
39,South East,2022,898
40,South West,2018,481
41,South West,2019,472
42,South West,2020,638
43,South West,2021,617
44,South West,2022,564
45,England,2018,5360
46,England,2019,5746
47,England,2020,7104
48,England,2021,6805
49,England,2022,6976
50,Scotland,2018,1071
51,Scotland,2019,999
52,Scotland,2020,1221
53,Scotland,2021,1239
54,Scotland,2022,1169
55,Wales,2018,522
56,Wales,2019,529
57,Wales,2020,656
58,Wales,2021,630
59,Wales,2022,609
60,Northern Ireland,2018,499
61,Northern Ireland,2019,499
62,Northern Ireland,2020,488
63,Northern Ireland,2021,466
64,Northern Ireland,2022,476
65,UK identifiable expenditure,2018,7452
66,UK identifiable expenditure,2019,7773
67,UK identifiable expenditure,2020,9470
68,UK identifiable expenditure,2021,9140
69,UK identifiable expenditure,2022,9230
70,Outside the UK,2018,253
71,Outside the UK,2019,303
72,Outside the UK,2020,57
73,Outside the UK,2021,103
74,Outside the UK,2022,265
75,Total identifiable expenditure,2018,7705
76,Total identifiable expenditure,2019,8076
77,Total identifiable expenditure,2020,9527
78,Total identifiable expenditure,2021,9243
79,Total identifiable expenditure,2022,9495
80,Non-identifiable expenditure ,2018,3683
81,Non-identifiable expenditure ,2019,4443
82,Non-identifiable expenditure ,2020,3242
83,Non-identifiable expenditure ,2021,3683
84,Non-identifiable expenditure ,2022,4956
85,Total Expenditure on Services,2018,11388
86,Total Expenditure on Services,2019,12518
87,Total Expenditure on Services,2020,12769
88,Total Expenditure on Services,2021,12927
89,Total Expenditure on Services,2022,14451
