,Region,Year,Table A.14  Identifiable expenditure on social protection
0,North East,2018,12223
1,North East,2019,12237
2,North East,2020,12961
3,North East,2021,12964
4,North East,2022,14087
5,North West,2018,31624
6,North West,2019,31797
7,North West,2020,34018
8,North West,2021,34153
9,North West,2022,37017
10,Yorkshire and The Humber,2018,22355
11,Yorkshire and The Humber,2019,22315
12,Yorkshire and The Humber,2020,24025
13,Yorkshire and The Humber,2021,24010
14,Yorkshire and The Humber,2022,26086
15,East Midlands,2018,18922
16,East Midlands,2019,18868
17,East Midlands,2020,20334
18,East Midlands,2021,20394
19,East Midlands,2022,22206
20,West Midlands,2018,24145
21,West Midlands,2019,24183
22,West Midlands,2020,26125
23,West Midlands,2021,26185
24,West Midlands,2022,28424
25,East,2018,23312
26,East,2019,23454
27,East,2020,25439
28,East,2021,25459
29,East,2022,27625
30,London,2018,32019
31,London,2019,32760
32,London,2020,37344
33,London,2021,36759
34,London,2022,39718
35,South East,2018,33561
36,South East,2019,33596
37,South East,2020,36685
38,South East,2021,36793
39,South East,2022,39878
40,South West,2018,23088
41,South West,2019,23096
42,South West,2020,24892
43,South West,2021,25118
44,South West,2022,27160
45,England,2018,221250
46,England,2019,222306
47,England,2020,241822
48,England,2021,241834
49,England,2022,262201
50,Scotland,2018,23844
51,Scotland,2019,23755
52,Scotland,2020,25662
53,Scotland,2021,25902
54,Scotland,2022,28583
55,Wales,2018,14901
56,Wales,2019,14942
57,Wales,2020,16293
58,Wales,2021,16474
59,Wales,2022,17601
60,Northern Ireland,2018,9441
61,Northern Ireland,2019,9463
62,Northern Ireland,2020,9909
63,Northern Ireland,2021,10033
64,Northern Ireland,2022,10658
65,UK identifiable expenditure,2018,269437
66,UK identifiable expenditure,2019,270466
67,UK identifiable expenditure,2020,293687
68,UK identifiable expenditure,2021,294243
69,UK identifiable expenditure,2022,319044
70,Outside the UK,2018,5025
71,Outside the UK,2019,5001
72,Outside the UK,2020,5113
73,Outside the UK,2021,5231
74,Outside the UK,2022,5452
75,Total identifiable expenditure,2018,274461
76,Total identifiable expenditure,2019,275467
77,Total identifiable expenditure,2020,298800
78,Total identifiable expenditure,2021,299473
79,Total identifiable expenditure,2022,324495
80,Non-identifiable expenditure,2018,350
81,Non-identifiable expenditure,2019,335
82,Non-identifiable expenditure,2020,516
83,Non-identifiable expenditure,2021,589
84,Non-identifiable expenditure,2022,656
85,Total Expenditure on Services,2018,274811
86,Total Expenditure on Services,2019,275801
87,Total Expenditure on Services,2020,299316
88,Total Expenditure on Services,2021,300062
89,Total Expenditure on Services,2022,325152
