,Region,Year,Table A.15  UK identifiable expenditure on services by function per head (1)
0,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
1,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
2,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
3,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
4,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
5,2018-19,0000,
6,2018-19,0000,
7,2018-19,0000,
8,2018-19,0000,
9,2018-19,0000,
10,North East,0000,697
11,North East,0000,697
12,North East,0000,697
13,North East,0000,697
14,North East,0000,697
15,North West,0000,748
16,North West,0000,748
17,North West,0000,748
18,North West,0000,748
19,North West,0000,748
20,Yorkshire and The Humber,0000,625
21,Yorkshire and The Humber,0000,625
22,Yorkshire and The Humber,0000,625
23,Yorkshire and The Humber,0000,625
24,Yorkshire and The Humber,0000,625
25,East Midlands,0000,594
26,East Midlands,0000,594
27,East Midlands,0000,594
28,East Midlands,0000,594
29,East Midlands,0000,594
30,West Midlands,0000,843
31,West Midlands,0000,843
32,West Midlands,0000,843
33,West Midlands,0000,843
34,West Midlands,0000,843
35,East,0000,839
36,East,0000,839
37,East,0000,839
38,East,0000,839
39,East,0000,839
40,London,0000,1336
41,London,0000,1336
42,London,0000,1336
43,London,0000,1336
44,London,0000,1336
45,South East,0000,918
46,South East,0000,918
47,South East,0000,918
48,South East,0000,918
49,South East,0000,918
50,South West,0000,659
51,South West,0000,659
52,South West,0000,659
53,South West,0000,659
54,South West,0000,659
55,England,0000,852
56,England,0000,852
57,England,0000,852
58,England,0000,852
59,England,0000,852
60,Scotland,0000,1205
61,Scotland,0000,1205
62,Scotland,0000,1205
63,Scotland,0000,1205
64,Scotland,0000,1205
65,Wales,0000,872
66,Wales,0000,872
67,Wales,0000,872
68,Wales,0000,872
69,Wales,0000,872
70,Northern Ireland,0000,922
71,Northern Ireland,0000,922
72,Northern Ireland,0000,922
73,Northern Ireland,0000,922
74,Northern Ireland,0000,922
75,UK identifiable expenditure,0000,884
76,UK identifiable expenditure,0000,884
77,UK identifiable expenditure,0000,884
78,UK identifiable expenditure,0000,884
79,UK identifiable expenditure,0000,884
80,2019-20,0000,
81,2019-20,0000,
82,2019-20,0000,
83,2019-20,0000,
84,2019-20,0000,
85,North East,0000,736
86,North East,0000,736
87,North East,0000,736
88,North East,0000,736
89,North East,0000,736
90,North West,0000,771
91,North West,0000,771
92,North West,0000,771
93,North West,0000,771
94,North West,0000,771
95,Yorkshire and The Humber,0000,710
96,Yorkshire and The Humber,0000,710
97,Yorkshire and The Humber,0000,710
98,Yorkshire and The Humber,0000,710
99,Yorkshire and The Humber,0000,710
100,East Midlands,0000,666
101,East Midlands,0000,666
102,East Midlands,0000,666
103,East Midlands,0000,666
104,East Midlands,0000,666
105,West Midlands,0000,887
106,West Midlands,0000,887
107,West Midlands,0000,887
108,West Midlands,0000,887
109,West Midlands,0000,887
110,East,0000,965
111,East,0000,965
112,East,0000,965
113,East,0000,965
114,East,0000,965
115,London,0000,1419
116,London,0000,1419
117,London,0000,1419
118,London,0000,1419
119,London,0000,1419
120,South East,0000,1034
121,South East,0000,1034
122,South East,0000,1034
123,South East,0000,1034
124,South East,0000,1034
125,South West,0000,772
126,South West,0000,772
127,South West,0000,772
128,South West,0000,772
129,South West,0000,772
130,England,0000,934
131,England,0000,934
132,England,0000,934
133,England,0000,934
134,England,0000,934
135,Scotland,0000,1262
136,Scotland,0000,1262
137,Scotland,0000,1262
138,Scotland,0000,1262
139,Scotland,0000,1262
140,Wales,0000,879
141,Wales,0000,879
142,Wales,0000,879
143,Wales,0000,879
144,Wales,0000,879
145,Northern Ireland,0000,1100
146,Northern Ireland,0000,1100
147,Northern Ireland,0000,1100
148,Northern Ireland,0000,1100
149,Northern Ireland,0000,1100
150,UK identifiable expenditure,0000,963
151,UK identifiable expenditure,0000,963
152,UK identifiable expenditure,0000,963
153,UK identifiable expenditure,0000,963
154,UK identifiable expenditure,0000,963
155,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
156,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
157,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
158,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
159,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
160,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
161,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
162,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
163,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
164,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
165,2020-21,0000,
166,2020-21,0000,
167,2020-21,0000,
168,2020-21,0000,
169,2020-21,0000,
170,North East,0000,2530
171,North East,0000,2530
172,North East,0000,2530
173,North East,0000,2530
174,North East,0000,2530
175,North West,0000,2726
176,North West,0000,2726
177,North West,0000,2726
178,North West,0000,2726
179,North West,0000,2726
180,Yorkshire and The Humber,0000,2622
181,Yorkshire and The Humber,0000,2622
182,Yorkshire and The Humber,0000,2622
183,Yorkshire and The Humber,0000,2622
184,Yorkshire and The Humber,0000,2622
185,East Midlands,0000,2552
186,East Midlands,0000,2552
187,East Midlands,0000,2552
188,East Midlands,0000,2552
189,East Midlands,0000,2552
190,West Midlands,0000,2751
191,West Midlands,0000,2751
192,West Midlands,0000,2751
193,West Midlands,0000,2751
194,West Midlands,0000,2751
195,East,0000,3092
196,East,0000,3092
197,East,0000,3092
198,East,0000,3092
199,East,0000,3092
200,London,0000,4327
201,London,0000,4327
202,London,0000,4327
203,London,0000,4327
204,London,0000,4327
205,South East,0000,3090
206,South East,0000,3090
207,South East,0000,3090
208,South East,0000,3090
209,South East,0000,3090
210,South West,0000,2807
211,South West,0000,2807
212,South West,0000,2807
213,South West,0000,2807
214,South West,0000,2807
215,England,0000,3055
216,England,0000,3055
217,England,0000,3055
218,England,0000,3055
219,England,0000,3055
220,Scotland,0000,3210
221,Scotland,0000,3210
222,Scotland,0000,3210
223,Scotland,0000,3210
224,Scotland,0000,3210
225,Wales,0000,2858
226,Wales,0000,2858
227,Wales,0000,2858
228,Wales,0000,2858
229,Wales,0000,2858
230,Northern Ireland,0000,2716
231,Northern Ireland,0000,2716
232,Northern Ireland,0000,2716
233,Northern Ireland,0000,2716
234,Northern Ireland,0000,2716
235,UK identifiable expenditure,0000,3049
236,UK identifiable expenditure,0000,3049
237,UK identifiable expenditure,0000,3049
238,UK identifiable expenditure,0000,3049
239,UK identifiable expenditure,0000,3049
240,2021-22,0000,
241,2021-22,0000,
242,2021-22,0000,
243,2021-22,0000,
244,2021-22,0000,
245,North East,0000,1125
246,North East,0000,1125
247,North East,0000,1125
248,North East,0000,1125
249,North East,0000,1125
250,North West,0000,1312
251,North West,0000,1312
252,North West,0000,1312
253,North West,0000,1312
254,North West,0000,1312
255,Yorkshire and The Humber,0000,1117
256,Yorkshire and The Humber,0000,1117
257,Yorkshire and The Humber,0000,1117
258,Yorkshire and The Humber,0000,1117
259,Yorkshire and The Humber,0000,1117
260,East Midlands,0000,1025
261,East Midlands,0000,1025
262,East Midlands,0000,1025
263,East Midlands,0000,1025
264,East Midlands,0000,1025
265,West Midlands,0000,1415
266,West Midlands,0000,1415
267,West Midlands,0000,1415
268,West Midlands,0000,1415
269,West Midlands,0000,1415
270,East,0000,1399
271,East,0000,1399
272,East,0000,1399
273,East,0000,1399
274,East,0000,1399
275,London,0000,2363
276,London,0000,2363
277,London,0000,2363
278,London,0000,2363
279,London,0000,2363
280,South East,0000,1470
281,South East,0000,1470
282,South East,0000,1470
283,South East,0000,1470
284,South East,0000,1470
285,South West,0000,1141
286,South West,0000,1141
287,South West,0000,1141
288,South West,0000,1141
289,South West,0000,1141
290,England,0000,1453
291,England,0000,1453
292,England,0000,1453
293,England,0000,1453
294,England,0000,1453
295,Scotland,0000,1890
296,Scotland,0000,1890
297,Scotland,0000,1890
298,Scotland,0000,1890
299,Scotland,0000,1890
300,Wales,0000,1250
301,Wales,0000,1250
302,Wales,0000,1250
303,Wales,0000,1250
304,Wales,0000,1250
305,Northern Ireland,0000,1563
306,Northern Ireland,0000,1563
307,Northern Ireland,0000,1563
308,Northern Ireland,0000,1563
309,Northern Ireland,0000,1563
310,UK identifiable expenditure,0000,1482
311,UK identifiable expenditure,0000,1482
312,UK identifiable expenditure,0000,1482
313,UK identifiable expenditure,0000,1482
314,UK identifiable expenditure,0000,1482
315,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
316,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
317,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
318,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
319,"Table A.15  UK identifiable expenditure on services by function per head (1), 2018-19 to 2022-23 (continued)",0000,
320,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
321,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
322,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
323,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
324,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
325,2022-23,0000,
326,2022-23,0000,
327,2022-23,0000,
328,2022-23,0000,
329,2022-23,0000,
330,North East,0000,1599
331,North East,0000,1599
332,North East,0000,1599
333,North East,0000,1599
334,North East,0000,1599
335,North West,0000,1713
336,North West,0000,1713
337,North West,0000,1713
338,North West,0000,1713
339,North West,0000,1713
340,Yorkshire and The Humber,0000,1489
341,Yorkshire and The Humber,0000,1489
342,Yorkshire and The Humber,0000,1489
343,Yorkshire and The Humber,0000,1489
344,Yorkshire and The Humber,0000,1489
345,East Midlands,0000,1420
346,East Midlands,0000,1420
347,East Midlands,0000,1420
348,East Midlands,0000,1420
349,East Midlands,0000,1420
350,West Midlands,0000,1787
351,West Midlands,0000,1787
352,West Midlands,0000,1787
353,West Midlands,0000,1787
354,West Midlands,0000,1787
355,East,0000,1705
356,East,0000,1705
357,East,0000,1705
358,East,0000,1705
359,East,0000,1705
360,London,0000,2685
361,London,0000,2685
362,London,0000,2685
363,London,0000,2685
364,London,0000,2685
365,South East,0000,1786
366,South East,0000,1786
367,South East,0000,1786
368,South East,0000,1786
369,South East,0000,1786
370,South West,0000,1459
371,South West,0000,1459
372,South West,0000,1459
373,South West,0000,1459
374,South West,0000,1459
375,England,0000,1805
376,England,0000,1805
377,England,0000,1805
378,England,0000,1805
379,England,0000,1805
380,Scotland,0000,2228
381,Scotland,0000,2228
382,Scotland,0000,2228
383,Scotland,0000,2228
384,Scotland,0000,2228
385,Wales,0000,1712
386,Wales,0000,1712
387,Wales,0000,1712
388,Wales,0000,1712
389,Wales,0000,1712
390,Northern Ireland,0000,1794
391,Northern Ireland,0000,1794
392,Northern Ireland,0000,1794
393,Northern Ireland,0000,1794
394,Northern Ireland,0000,1794
395,UK identifiable expenditure,0000,1834
396,UK identifiable expenditure,0000,1834
397,UK identifiable expenditure,0000,1834
398,UK identifiable expenditure,0000,1834
399,UK identifiable expenditure,0000,1834
