,Region,Year,"Table A.16  UK identifiable expenditure on services by function, per head indexed"
0,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
1,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
2,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
3,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
4,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
5,2018-19,0000,
6,2018-19,0000,
7,2018-19,0000,
8,2018-19,0000,
9,2018-19,0000,
10,North East,0000,79
11,North East,0000,79
12,North East,0000,79
13,North East,0000,79
14,North East,0000,79
15,North West,0000,85
16,North West,0000,85
17,North West,0000,85
18,North West,0000,85
19,North West,0000,85
20,Yorkshire and The Humber,0000,71
21,Yorkshire and The Humber,0000,71
22,Yorkshire and The Humber,0000,71
23,Yorkshire and The Humber,0000,71
24,Yorkshire and The Humber,0000,71
25,East Midlands,0000,67
26,East Midlands,0000,67
27,East Midlands,0000,67
28,East Midlands,0000,67
29,East Midlands,0000,67
30,West Midlands,0000,95
31,West Midlands,0000,95
32,West Midlands,0000,95
33,West Midlands,0000,95
34,West Midlands,0000,95
35,East,0000,95
36,East,0000,95
37,East,0000,95
38,East,0000,95
39,East,0000,95
40,London,0000,151
41,London,0000,151
42,London,0000,151
43,London,0000,151
44,London,0000,151
45,South East,0000,104
46,South East,0000,104
47,South East,0000,104
48,South East,0000,104
49,South East,0000,104
50,South West,0000,74
51,South West,0000,74
52,South West,0000,74
53,South West,0000,74
54,South West,0000,74
55,England,0000,96
56,England,0000,96
57,England,0000,96
58,England,0000,96
59,England,0000,96
60,Scotland,0000,136
61,Scotland,0000,136
62,Scotland,0000,136
63,Scotland,0000,136
64,Scotland,0000,136
65,Wales,0000,99
66,Wales,0000,99
67,Wales,0000,99
68,Wales,0000,99
69,Wales,0000,99
70,Northern Ireland,0000,104
71,Northern Ireland,0000,104
72,Northern Ireland,0000,104
73,Northern Ireland,0000,104
74,Northern Ireland,0000,104
75,UK identifiable expenditure,0000,100
76,UK identifiable expenditure,0000,100
77,UK identifiable expenditure,0000,100
78,UK identifiable expenditure,0000,100
79,UK identifiable expenditure,0000,100
80,2019-20,0000,
81,2019-20,0000,
82,2019-20,0000,
83,2019-20,0000,
84,2019-20,0000,
85,North East,0000,76
86,North East,0000,76
87,North East,0000,76
88,North East,0000,76
89,North East,0000,76
90,North West,0000,80
91,North West,0000,80
92,North West,0000,80
93,North West,0000,80
94,North West,0000,80
95,Yorkshire and The Humber,0000,74
96,Yorkshire and The Humber,0000,74
97,Yorkshire and The Humber,0000,74
98,Yorkshire and The Humber,0000,74
99,Yorkshire and The Humber,0000,74
100,East Midlands,0000,69
101,East Midlands,0000,69
102,East Midlands,0000,69
103,East Midlands,0000,69
104,East Midlands,0000,69
105,West Midlands,0000,92
106,West Midlands,0000,92
107,West Midlands,0000,92
108,West Midlands,0000,92
109,West Midlands,0000,92
110,East,0000,100
111,East,0000,100
112,East,0000,100
113,East,0000,100
114,East,0000,100
115,London,0000,147
116,London,0000,147
117,London,0000,147
118,London,0000,147
119,London,0000,147
120,South East,0000,107
121,South East,0000,107
122,South East,0000,107
123,South East,0000,107
124,South East,0000,107
125,South West,0000,80
126,South West,0000,80
127,South West,0000,80
128,South West,0000,80
129,South West,0000,80
130,England,0000,97
131,England,0000,97
132,England,0000,97
133,England,0000,97
134,England,0000,97
135,Scotland,0000,131
136,Scotland,0000,131
137,Scotland,0000,131
138,Scotland,0000,131
139,Scotland,0000,131
140,Wales,0000,91
141,Wales,0000,91
142,Wales,0000,91
143,Wales,0000,91
144,Wales,0000,91
145,Northern Ireland,0000,114
146,Northern Ireland,0000,114
147,Northern Ireland,0000,114
148,Northern Ireland,0000,114
149,Northern Ireland,0000,114
150,UK identifiable expenditure,0000,100
151,UK identifiable expenditure,0000,100
152,UK identifiable expenditure,0000,100
153,UK identifiable expenditure,0000,100
154,UK identifiable expenditure,0000,100
155,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
156,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
157,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
158,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
159,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
160,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
161,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
162,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
163,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
164,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
165,2020-21,0000,
166,2020-21,0000,
167,2020-21,0000,
168,2020-21,0000,
169,2020-21,0000,
170,North East,0000,83
171,North East,0000,83
172,North East,0000,83
173,North East,0000,83
174,North East,0000,83
175,North West,0000,89
176,North West,0000,89
177,North West,0000,89
178,North West,0000,89
179,North West,0000,89
180,Yorkshire and The Humber,0000,86
181,Yorkshire and The Humber,0000,86
182,Yorkshire and The Humber,0000,86
183,Yorkshire and The Humber,0000,86
184,Yorkshire and The Humber,0000,86
185,East Midlands,0000,84
186,East Midlands,0000,84
187,East Midlands,0000,84
188,East Midlands,0000,84
189,East Midlands,0000,84
190,West Midlands,0000,90
191,West Midlands,0000,90
192,West Midlands,0000,90
193,West Midlands,0000,90
194,West Midlands,0000,90
195,East,0000,101
196,East,0000,101
197,East,0000,101
198,East,0000,101
199,East,0000,101
200,London,0000,142
201,London,0000,142
202,London,0000,142
203,London,0000,142
204,London,0000,142
205,South East,0000,101
206,South East,0000,101
207,South East,0000,101
208,South East,0000,101
209,South East,0000,101
210,South West,0000,92
211,South West,0000,92
212,South West,0000,92
213,South West,0000,92
214,South West,0000,92
215,England,0000,100
216,England,0000,100
217,England,0000,100
218,England,0000,100
219,England,0000,100
220,Scotland,0000,105
221,Scotland,0000,105
222,Scotland,0000,105
223,Scotland,0000,105
224,Scotland,0000,105
225,Wales,0000,94
226,Wales,0000,94
227,Wales,0000,94
228,Wales,0000,94
229,Wales,0000,94
230,Northern Ireland,0000,89
231,Northern Ireland,0000,89
232,Northern Ireland,0000,89
233,Northern Ireland,0000,89
234,Northern Ireland,0000,89
235,UK identifiable expenditure,0000,100
236,UK identifiable expenditure,0000,100
237,UK identifiable expenditure,0000,100
238,UK identifiable expenditure,0000,100
239,UK identifiable expenditure,0000,100
240,2021-22,0000,
241,2021-22,0000,
242,2021-22,0000,
243,2021-22,0000,
244,2021-22,0000,
245,North East,0000,76
246,North East,0000,76
247,North East,0000,76
248,North East,0000,76
249,North East,0000,76
250,North West,0000,89
251,North West,0000,89
252,North West,0000,89
253,North West,0000,89
254,North West,0000,89
255,Yorkshire and The Humber,0000,75
256,Yorkshire and The Humber,0000,75
257,Yorkshire and The Humber,0000,75
258,Yorkshire and The Humber,0000,75
259,Yorkshire and The Humber,0000,75
260,East Midlands,0000,69
261,East Midlands,0000,69
262,East Midlands,0000,69
263,East Midlands,0000,69
264,East Midlands,0000,69
265,West Midlands,0000,95
266,West Midlands,0000,95
267,West Midlands,0000,95
268,West Midlands,0000,95
269,West Midlands,0000,95
270,East,0000,94
271,East,0000,94
272,East,0000,94
273,East,0000,94
274,East,0000,94
275,London,0000,159
276,London,0000,159
277,London,0000,159
278,London,0000,159
279,London,0000,159
280,South East,0000,99
281,South East,0000,99
282,South East,0000,99
283,South East,0000,99
284,South East,0000,99
285,South West,0000,77
286,South West,0000,77
287,South West,0000,77
288,South West,0000,77
289,South West,0000,77
290,England,0000,98
291,England,0000,98
292,England,0000,98
293,England,0000,98
294,England,0000,98
295,Scotland,0000,128
296,Scotland,0000,128
297,Scotland,0000,128
298,Scotland,0000,128
299,Scotland,0000,128
300,Wales,0000,84
301,Wales,0000,84
302,Wales,0000,84
303,Wales,0000,84
304,Wales,0000,84
305,Northern Ireland,0000,105
306,Northern Ireland,0000,105
307,Northern Ireland,0000,105
308,Northern Ireland,0000,105
309,Northern Ireland,0000,105
310,UK identifiable expenditure,0000,100
311,UK identifiable expenditure,0000,100
312,UK identifiable expenditure,0000,100
313,UK identifiable expenditure,0000,100
314,UK identifiable expenditure,0000,100
315,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
316,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
317,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
318,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
319,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2018-19 to 2022-23 (continued)",0000,
320,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
321,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
322,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
323,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
324,Data in this table from 2018-19 to 2022-23 are National Statistics,0000,
325,2022-23,0000,
326,2022-23,0000,
327,2022-23,0000,
328,2022-23,0000,
329,2022-23,0000,
330,North East,0000,87
331,North East,0000,87
332,North East,0000,87
333,North East,0000,87
334,North East,0000,87
335,North West,0000,93
336,North West,0000,93
337,North West,0000,93
338,North West,0000,93
339,North West,0000,93
340,Yorkshire and The Humber,0000,81
341,Yorkshire and The Humber,0000,81
342,Yorkshire and The Humber,0000,81
343,Yorkshire and The Humber,0000,81
344,Yorkshire and The Humber,0000,81
345,East Midlands,0000,77
346,East Midlands,0000,77
347,East Midlands,0000,77
348,East Midlands,0000,77
349,East Midlands,0000,77
350,West Midlands,0000,97
351,West Midlands,0000,97
352,West Midlands,0000,97
353,West Midlands,0000,97
354,West Midlands,0000,97
355,East,0000,93
356,East,0000,93
357,East,0000,93
358,East,0000,93
359,East,0000,93
360,London,0000,146
361,London,0000,146
362,London,0000,146
363,London,0000,146
364,London,0000,146
365,South East,0000,97
366,South East,0000,97
367,South East,0000,97
368,South East,0000,97
369,South East,0000,97
370,South West,0000,80
371,South West,0000,80
372,South West,0000,80
373,South West,0000,80
374,South West,0000,80
375,England,0000,98
376,England,0000,98
377,England,0000,98
378,England,0000,98
379,England,0000,98
380,Scotland,0000,121
381,Scotland,0000,121
382,Scotland,0000,121
383,Scotland,0000,121
384,Scotland,0000,121
385,Wales,0000,93
386,Wales,0000,93
387,Wales,0000,93
388,Wales,0000,93
389,Wales,0000,93
390,Northern Ireland,0000,98
391,Northern Ireland,0000,98
392,Northern Ireland,0000,98
393,Northern Ireland,0000,98
394,Northern Ireland,0000,98
395,UK identifiable expenditure,0000,100
396,UK identifiable expenditure,0000,100
397,UK identifiable expenditure,0000,100
398,UK identifiable expenditure,0000,100
399,UK identifiable expenditure,0000,100
