,Region,Year,"Table A.18  Total local government identifiable expenditure on services, per head (1)"
0,North East,2018,2332
1,North East,2019,2421
2,North East,2020,2492
3,North East,2021,2575
4,North East,2022,2693
5,North West,2018,2362
6,North West,2019,2387
7,North West,2020,2505
8,North West,2021,2580
9,North West,2022,2680
10,Yorkshire and The Humber,2018,2065
11,Yorkshire and The Humber,2019,2097
12,Yorkshire and The Humber,2020,2232
13,Yorkshire and The Humber,2021,2260
14,Yorkshire and The Humber,2022,2371
15,East Midlands,2018,1801
16,East Midlands,2019,1829
17,East Midlands,2020,1943
18,East Midlands,2021,1950
19,East Midlands,2022,2014
20,West Midlands,2018,2050
21,West Midlands,2019,2088
22,West Midlands,2020,2233
23,West Midlands,2021,2253
24,West Midlands,2022,2276
25,East,2018,1920
26,East,2019,1970
27,East,2020,2077
28,East,2021,2025
29,East,2022,2086
30,London,2018,3245
31,London,2019,3256
32,London,2020,3665
33,London,2021,3561
34,London,2022,3718
35,South East,2018,2141
36,South East,2019,2080
37,South East,2020,2158
38,South East,2021,2164
39,South East,2022,2222
40,South West,2018,1937
41,South West,2019,1978
42,South West,2020,2090
43,South West,2021,2123
44,South West,2022,2205
45,Total England,2018,2262
46,Total England,2019,2280
47,Total England,2020,2437
48,Total England,2021,2436
49,Total England,2022,2522
50,Scotland,2018,2706
51,Scotland,2019,2881
52,Scotland,2020,2851
53,Scotland,2021,3017
54,Scotland,2022,3195
55,Wales,2018,2777
56,Wales,2019,2846
57,Wales,2020,3120
58,Wales,2021,3277
59,Wales,2022,3437
60,Northern Ireland (2),2018,455
61,Northern Ireland (2),2019,462
62,Northern Ireland (2),2020,403
63,Northern Ireland (2),2021,435
64,Northern Ireland (2),2022,494
65,UK local government identifiable expenditure,2018,2271
66,UK local government identifiable expenditure,2019,2304
67,UK local government identifiable expenditure,2020,2445
68,UK local government identifiable expenditure,2021,2466
69,UK local government identifiable expenditure,2022,2561
70,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2018,
71,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2019,
72,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2020,
73,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2021,
74,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2022,
75,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2018,
76,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2019,
77,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2020,
78,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2021,
79,(2) The relative weighting of Northern Ireland is lower in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2022,
