,Region,Year,Table A.19  Total identifiable expenditure on services excluding local government (1)
0,North East,2018,20400
1,North East,2019,21018
2,North East,2020,28886
3,North East,2021,25188
4,North East,2022,27488
5,North West,2018,54987
6,North West,2019,57374
7,North West,2020,80800
8,North West,2021,70730
9,North West,2022,76404
10,Yorkshire and The Humber,2018,38563
11,Yorkshire and The Humber,2019,40086
12,Yorkshire and The Humber,2020,56649
13,Yorkshire and The Humber,2021,48357
14,Yorkshire and The Humber,2022,52556
15,East Midlands,2018,32528
16,East Midlands,2019,34204
17,East Midlands,2020,48883
18,East Midlands,2021,41507
19,East Midlands,2022,45455
20,West Midlands,2018,42861
21,West Midlands,2019,44612
22,West Midlands,2020,62731
23,West Midlands,2021,54851
24,West Midlands,2022,59652
25,East,2018,42173
26,East,2019,44457
27,East,2020,65108
28,East,2021,54839
29,East,2022,59009
30,London,2018,64463
31,London,2019,69352
32,London,2020,105550
33,London,2021,89358
34,London,2022,95473
35,South East,2018,59547
36,South East,2019,63027
37,South East,2020,93299
38,South East,2021,78682
39,South East,2022,84627
40,South West,2018,38814
41,South West,2019,40780
42,South West,2020,58775
43,South West,2021,49668
44,South West,2022,53540
45,Total England,2018,394335
46,Total England,2019,414911
47,Total England,2020,600683
48,Total England,2021,513180
49,Total England,2022,554203
50,Scotland,2018,45980
51,Scotland,2019,47326
52,Scotland,2020,65190
53,Scotland,2021,59290
54,Scotland,2022,61218
55,Wales,2018,24775
56,Wales,2019,25542
57,Wales,2020,35211
58,Wales,2021,31225
59,Wales,2022,32977
60,Northern Ireland (1),2018,20929
61,Northern Ireland (1),2019,21872
62,Northern Ireland (1),2020,28224
63,Northern Ireland (1),2021,25903
64,Northern Ireland (1),2022,26669
65,UK identifiable expenditure excluding local government,2018,486019
66,UK identifiable expenditure excluding local government,2019,509650
67,UK identifiable expenditure excluding local government,2020,729308
68,UK identifiable expenditure excluding local government,2021,629599
69,UK identifiable expenditure excluding local government,2022,675068
70,Outside UK,2018,29988
71,Outside UK,2019,28269
72,Outside UK,2020,27279
73,Outside UK,2021,22118
74,Outside UK,2022,25137
75,Total identifiable expenditure on services excluding local government,2018,516007
76,Total identifiable expenditure on services excluding local government,2019,537919
77,Total identifiable expenditure on services excluding local government,2020,756588
78,Total identifiable expenditure on services excluding local government,2021,651717
79,Total identifiable expenditure on services excluding local government,2022,700205
80,Non-identifiable expenditure,2018,105671
81,Non-identifiable expenditure,2019,107000
82,Non-identifiable expenditure,2020,100381
83,Non-identifiable expenditure,2021,140506
84,Non-identifiable expenditure,2022,203105
85,Total expenditure on services excluding local government,2018,621678
86,Total expenditure on services excluding local government,2019,644919
87,Total expenditure on services excluding local government,2020,856968
88,Total expenditure on services excluding local government,2021,792223
89,Total expenditure on services excluding local government,2022,903310
90,Accounting adjustments,2018,58022
91,Accounting adjustments,2019,57708
92,Accounting adjustments,2020,36882
93,Accounting adjustments,2021,50304
94,Accounting adjustments,2022,40195
95,"Total Managed Expenditure excluding local
government",2018,679700
96,"Total Managed Expenditure excluding local
government",2019,702627
97,"Total Managed Expenditure excluding local
government",2020,893850
98,"Total Managed Expenditure excluding local
government",2021,842527
99,"Total Managed Expenditure excluding local
government",2022,943505
100,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2018,
101,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2019,
102,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2020,
103,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2021,
104,"(1) Expenditure in this table covers central government, public corporations, Bank of England and public sector pensions.",2022,
105,(2) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2018,
106,(2) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2019,
107,(2) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2020,
108,(2) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2021,
109,(2) The relative weighting of Northern Ireland is higher in these tables because spending that is undertaken by local government in Great Britain is mostly undertaken by Northern Ireland departments.,2022,
