,Region,Year,Table A.3a  Total current and capital identifiable expenditure
0,North East,2018,26531
1,North East,2019,27403
2,North East,2020,35459
3,North East,2021,32005
4,North East,2022,34712
5,North West,2018,72271
6,North West,2019,74946
7,North West,2020,99286
8,North West,2021,89887
9,North West,2022,96545
10,Yorkshire and The Humber,2018,49807
11,Yorkshire and The Humber,2019,51545
12,Yorkshire and The Humber,2020,68857
13,Yorkshire and The Humber,2021,60747
14,Yorkshire and The Humber,2022,65693
15,East Midlands,2018,41200
16,East Midlands,2019,43065
17,East Midlands,2020,58315
18,East Midlands,2021,51028
19,East Midlands,2022,55393
20,West Midlands,2018,54934
21,West Midlands,2019,56972
22,West Midlands,2020,75977
23,West Midlands,2021,68271
24,West Midlands,2022,73359
25,East,2018,54150
26,East,2019,56815
27,East,2020,78191
28,East,2021,67699
29,East,2022,72359
30,London,2018,93127
31,London,2019,98297
32,London,2020,138051
33,London,2021,120707
34,London,2022,128438
35,South East,2018,79136
36,South East,2019,82150
37,South East,2020,113203
38,South East,2021,98801
39,South East,2022,105467
40,South West,2018,49682
41,South West,2019,51939
42,South West,2020,70608
43,South West,2021,61796
44,South West,2022,66249
45,England,2018,520836
46,England,2019,543132
47,England,2020,737949
48,England,2021,650941
49,England,2022,698215
50,Scotland,2018,60694
51,Scotland,2019,63067
52,Scotland,2020,80773
53,Scotland,2021,75824
54,Scotland,2022,78589
55,Wales,2018,33339
56,Wales,2019,34328
57,Wales,2020,44897
58,Wales,2021,41403
59,Wales,2022,43739
60,Northern Ireland,2018,21787
61,Northern Ireland,2019,22748
62,Northern Ireland,2020,28990
63,Northern Ireland,2021,26732
64,Northern Ireland,2022,27612
65,UK identifiable expenditure,2018,636656
66,UK identifiable expenditure,2019,663276
67,UK identifiable expenditure,2020,892609
68,UK identifiable expenditure,2021,794900
69,UK identifiable expenditure,2022,848155
70,Outside the UK,2018,29988
71,Outside the UK,2019,28269
72,Outside the UK,2020,27279
73,Outside the UK,2021,22118
74,Outside the UK,2022,25137
75,Total identifiable expenditure,2018,666644
76,Total identifiable expenditure,2019,691545
77,Total identifiable expenditure,2020,919888
78,Total identifiable expenditure,2021,817017
79,Total identifiable expenditure,2022,873293
80,Non-identifiable expenditure,2018,106521
81,Non-identifiable expenditure,2019,107667
82,Non-identifiable expenditure,2020,101153
83,Non-identifiable expenditure,2021,141383
84,Non-identifiable expenditure,2022,203850
85,Total Expenditure on Services,2018,773165
86,Total Expenditure on Services,2019,799212
87,Total Expenditure on Services,2020,1021041
88,Total Expenditure on Services,2021,958401
89,Total Expenditure on Services,2022,1077142
90,Accounting adjustments,2018,84693
91,Accounting adjustments,2019,88873
92,Accounting adjustments,2020,85863
93,Accounting adjustments,2021,86310
94,Accounting adjustments,2022,74283
95,Total Managed Expenditure,2018,857858
96,Total Managed Expenditure,2019,888085
97,Total Managed Expenditure,2020,1106904
98,Total Managed Expenditure,2021,1044711
99,Total Managed Expenditure,2022,1151425
