,Region,Year,"Table A.3b  Total current and capital UK identifiable expenditure, per head"
0,North East,2018,10090
1,North East,2019,10393
2,North East,2020,13445
3,North East,2021,12089
4,North East,2022,12938
5,North West,2018,9878
6,North West,2019,10178
7,North West,2020,13452
8,North West,2021,12107
9,North West,2022,12845
10,Yorkshire and The Humber,2018,9149
11,Yorkshire and The Humber,2019,9432
12,Yorkshire and The Humber,2020,12592
13,Yorkshire and The Humber,2021,11080
14,Yorkshire and The Humber,2022,11855
15,East Midlands,2018,8556
16,East Midlands,2019,8890
17,East Midlands,2020,12010
18,East Midlands,2021,10453
19,East Midlands,2022,11225
20,West Midlands,2018,9328
21,West Midlands,2019,9622
22,West Midlands,2020,12808
23,West Midlands,2021,11462
24,West Midlands,2022,12182
25,East,2018,8681
26,East,2019,9055
27,East,2020,12416
28,East,2021,10662
29,East,2022,11309
30,London,2018,10543
31,London,2019,11057
32,London,2020,15569
33,London,2021,13709
34,London,2022,14486
35,South East,2018,8649
36,South East,2019,8935
37,South East,2020,12271
38,South East,2021,10629
39,South East,2022,11244
40,South West,2018,8856
41,South West,2019,9204
42,South West,2020,12471
43,South West,2021,10817
44,South West,2022,11492
45,England,2018,9313
46,England,2019,9659
47,England,2020,13101
48,England,2021,11510
49,England,2022,12227
50,Scotland,2018,11161
51,Scotland,2019,11544
52,Scotland,2020,14777
53,Scotland,2021,13837
54,Scotland,2022,14456
55,Wales,2018,10811
56,Wales,2019,11118
57,Wales,2020,14462
58,Wales,2021,13331
59,Wales,2022,13967
60,Northern Ireland,2018,11550
61,Northern Ireland,2019,11982
62,Northern Ireland,2020,15254
63,Northern Ireland,2021,14036
64,Northern Ireland,2022,14453
65,UK identifiable expenditure,2018,9598
66,UK identifiable expenditure,2019,9947
67,UK identifiable expenditure,2020,13363
68,UK identifiable expenditure,2021,11856
69,UK identifiable expenditure,2022,12549
70,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2018,
71,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2019,
72,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2020,
73,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2021,
74,"(1) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2022,
