,Region,Year,Table A.7  Identifiable expenditure on public order and safety
0,North East,2018,1243
1,North East,2019,1314
2,North East,2020,1454
3,North East,2021,1511
4,North East,2022,1630
5,North West,2018,3345
6,North West,2019,3547
7,North West,2020,3847
8,North West,2021,4048
9,North West,2022,4357
10,Yorkshire and The Humber,2018,2414
11,Yorkshire and The Humber,2019,2508
12,Yorkshire and The Humber,2020,2787
13,Yorkshire and The Humber,2021,2891
14,Yorkshire and The Humber,2022,3150
15,East Midlands,2018,1916
16,East Midlands,2019,2054
17,East Midlands,2020,2304
18,East Midlands,2021,2376
19,East Midlands,2022,2634
20,West Midlands,2018,2391
21,West Midlands,2019,2463
22,West Midlands,2020,2781
23,West Midlands,2021,2861
24,West Midlands,2022,3090
25,East,2018,2313
26,East,2019,2499
27,East,2020,2712
28,East,2021,2813
29,East,2022,3038
30,London,2018,6175
31,London,2019,6606
32,London,2020,7086
33,London,2021,7393
34,London,2022,7666
35,South East,2018,3278
36,South East,2019,3521
37,South East,2020,3771
38,South East,2021,3926
39,South East,2022,4260
40,South West,2018,2013
41,South West,2019,2216
42,South West,2020,2381
43,South West,2021,2491
44,South West,2022,2647
45,England,2018,25087
46,England,2019,26727
47,England,2020,29122
48,England,2021,30311
49,England,2022,32471
50,Scotland,2018,2837
51,Scotland,2019,3010
52,Scotland,2020,3101
53,Scotland,2021,3330
54,Scotland,2022,3566
55,Wales,2018,1423
56,Wales,2019,1532
57,Wales,2020,1695
58,Wales,2021,1750
59,Wales,2022,1892
60,Northern Ireland,2018,1246
61,Northern Ireland,2019,1295
62,Northern Ireland,2020,1335
63,Northern Ireland,2021,1397
64,Northern Ireland,2022,1419
65,UK identifiable expenditure,2018,30593
66,UK identifiable expenditure,2019,32564
67,UK identifiable expenditure,2020,35253
68,UK identifiable expenditure,2021,36789
69,UK identifiable expenditure,2022,39348
70,Outside the UK,2018,-
71,Outside the UK,2019,-
72,Outside the UK,2020,-
73,Outside the UK,2021,-
74,Outside the UK,2022,-
75,Total identifiable expenditure,2018,30593
76,Total identifiable expenditure,2019,32564
77,Total identifiable expenditure,2020,35253
78,Total identifiable expenditure,2021,36789
79,Total identifiable expenditure,2022,39348
80,Non-identifiable expenditure,2018,1820
81,Non-identifiable expenditure,2019,1961
82,Non-identifiable expenditure,2020,3637
83,Non-identifiable expenditure,2021,2980
84,Non-identifiable expenditure,2022,4847
85,Total Expenditure on Services,2018,32412
86,Total Expenditure on Services,2019,34526
87,Total Expenditure on Services,2020,38890
88,Total Expenditure on Services,2021,39769
89,Total Expenditure on Services,2022,44195
