,Region,Year,Table A.8  Identifiable expenditure on economic affairs
0,North East,2018,1833
1,North East,2019,1941
2,North East,2020,6673
3,North East,2021,2979
4,North East,2022,4291
5,North West,2018,5475
6,North West,2019,5676
7,North West,2020,20120
8,North West,2021,9744
9,North West,2022,12873
10,Yorkshire and The Humber,2018,3400
11,Yorkshire and The Humber,2019,3881
12,Yorkshire and The Humber,2020,14337
13,Yorkshire and The Humber,2021,6126
14,Yorkshire and The Humber,2022,8251
15,East Midlands,2018,2859
16,East Midlands,2019,3224
17,East Midlands,2020,12391
18,East Midlands,2021,5005
19,East Midlands,2022,7007
20,West Midlands,2018,4966
21,West Midlands,2019,5250
22,West Midlands,2020,16320
23,West Midlands,2021,8428
24,West Midlands,2022,10760
25,East,2018,5234
26,East,2019,6054
27,East,2020,19474
28,East,2021,8880
29,East,2022,10907
30,London,2018,11798
31,London,2019,12615
32,London,2020,38368
33,London,2021,20808
34,London,2022,23809
35,South East,2018,8403
36,South East,2019,9505
37,South East,2020,28510
38,South East,2021,13665
39,South East,2022,16754
40,South West,2018,3695
41,South West,2019,4359
42,South West,2020,15894
43,South West,2021,6518
44,South West,2022,8408
45,England,2018,47663
46,England,2019,52505
47,England,2020,172088
48,England,2021,82153
49,England,2022,103061
50,Scotland,2018,6550
51,Scotland,2019,6892
52,Scotland,2020,17544
53,Scotland,2021,10356
54,Scotland,2022,12114
55,Wales,2018,2690
56,Wales,2019,2714
57,Wales,2020,8874
58,Wales,2021,3881
59,Wales,2022,5360
60,Northern Ireland,2018,1739
61,Northern Ireland,2019,2088
62,Northern Ireland,2020,5162
63,Northern Ireland,2021,2977
64,Northern Ireland,2022,3427
65,UK identifiable expenditure,2018,58642
66,UK identifiable expenditure,2019,64199
67,UK identifiable expenditure,2020,203666
68,UK identifiable expenditure,2021,99367
69,UK identifiable expenditure,2022,123963
70,Outside the UK,2018,250
71,Outside the UK,2019,246
72,Outside the UK,2020,230
73,Outside the UK,2021,251
74,Outside the UK,2022,562
75,Total identifiable expenditure,2018,58891
76,Total identifiable expenditure,2019,64445
77,Total identifiable expenditure,2020,203896
78,Total identifiable expenditure,2021,99618
79,Total identifiable expenditure,2022,124525
80,Non-identifiable expenditure,2018,1904
81,Non-identifiable expenditure,2019,2123
82,Non-identifiable expenditure,2020,2183
83,Non-identifiable expenditure,2021,3340
84,Non-identifiable expenditure,2022,2269
85,Total Expenditure on Services,2018,60795
86,Total Expenditure on Services,2019,66568
87,Total Expenditure on Services,2020,206079
88,Total Expenditure on Services,2021,102959
89,Total Expenditure on Services,2022,126794
90,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2018,
91,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2019,
92,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2020,
93,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2021,
94,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2022,
