,Region,Year,Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology)
0,North East,2018,265
1,North East,2019,241
2,North East,2020,253
3,North East,2021,225
4,North East,2022,233
5,North West,2018,469
6,North West,2019,489
7,North West,2020,513
8,North West,2021,605
9,North West,2022,530
10,Yorkshire and The Humber,2018,358
11,Yorkshire and The Humber,2019,494
12,Yorkshire and The Humber,2020,452
13,Yorkshire and The Humber,2021,504
14,Yorkshire and The Humber,2022,377
15,East Midlands,2018,282
16,East Midlands,2019,319
17,East Midlands,2020,342
18,East Midlands,2021,351
19,East Midlands,2022,394
20,West Midlands,2018,615
21,West Midlands,2019,639
22,West Midlands,2020,651
23,West Midlands,2021,670
24,West Midlands,2022,511
25,East,2018,560
26,East,2019,607
27,East,2020,603
28,East,2021,467
29,East,2022,725
30,London,2018,1069
31,London,2019,1075
32,London,2020,1239
33,London,2021,1136
34,London,2022,1316
35,South East,2018,1012
36,South East,2019,1064
37,South East,2020,1108
38,South East,2021,1126
39,South East,2022,1417
40,South West,2018,393
41,South West,2019,418
42,South West,2020,486
43,South West,2021,507
44,South West,2022,417
45,England,2018,5024
46,England,2019,5347
47,England,2020,5646
48,England,2021,5591
49,England,2022,5920
50,Scotland,2018,346
51,Scotland,2019,360
52,Scotland,2020,604
53,Scotland,2021,603
54,Scotland,2022,537
55,Wales,2018,156
56,Wales,2019,148
57,Wales,2020,222
58,Wales,2021,249
59,Wales,2022,226
60,Northern Ireland,2018,68
61,Northern Ireland,2019,84
62,Northern Ireland,2020,99
63,Northern Ireland,2021,118
64,Northern Ireland,2022,187
65,UK identifiable expenditure,2018,5594
66,UK identifiable expenditure,2019,5938
67,UK identifiable expenditure,2020,6571
68,UK identifiable expenditure,2021,6561
69,UK identifiable expenditure,2022,6870
70,Outside the UK,2018,20
71,Outside the UK,2019,21
72,Outside the UK,2020,26
73,Outside the UK,2021,15
74,Outside the UK,2022,291
75,Total identifiable expenditure,2018,5614
76,Total identifiable expenditure,2019,5959
77,Total identifiable expenditure,2020,6597
78,Total identifiable expenditure,2021,6576
79,Total identifiable expenditure,2022,7161
80,Non-identifiable expenditure ,2018,1
81,Non-identifiable expenditure ,2019,1
82,Non-identifiable expenditure ,2020,1
83,Non-identifiable expenditure ,2021,1
84,Non-identifiable expenditure ,2022,1
85,Total Expenditure on Services,2018,5616
86,Total Expenditure on Services,2019,5961
87,Total Expenditure on Services,2020,6599
88,Total Expenditure on Services,2021,6578
89,Total Expenditure on Services,2022,7162
