,Region,Year,Table A.9  Identifiable expenditure on environment protection
0,North East,2018,300
1,North East,2019,293
2,North East,2020,344
3,North East,2021,393
4,North East,2022,386
5,North West,2018,2594
6,North West,2019,2809
7,North West,2020,3001
8,North West,2021,3225
9,North West,2022,3098
10,Yorkshire and The Humber,2018,622
11,Yorkshire and The Humber,2019,673
12,Yorkshire and The Humber,2020,770
13,Yorkshire and The Humber,2021,852
14,Yorkshire and The Humber,2022,788
15,East Midlands,2018,491
16,East Midlands,2019,515
17,East Midlands,2020,595
18,East Midlands,2021,677
19,East Midlands,2022,667
20,West Midlands,2018,571
21,West Midlands,2019,580
22,West Midlands,2020,678
23,West Midlands,2021,722
24,West Midlands,2022,684
25,East,2018,944
26,East,2019,1002
27,East,2020,1072
28,East,2021,1160
29,East,2022,1114
30,London,2018,1128
31,London,2019,1152
32,London,2020,1319
33,London,2021,1397
34,London,2022,1585
35,South East,2018,1090
36,South East,2019,1113
37,South East,2020,1228
38,South East,2021,1372
39,South East,2022,1499
40,South West,2018,877
41,South West,2019,943
42,South West,2020,963
43,South West,2021,1057
44,South West,2022,1047
45,England,2018,8618
46,England,2019,9079
47,England,2020,9971
48,England,2021,10855
49,England,2022,10868
50,Scotland,2018,1283
51,Scotland,2019,1459
52,Scotland,2020,1441
53,Scotland,2021,1464
54,Scotland,2022,1501
55,Wales,2018,616
56,Wales,2019,650
57,Wales,2020,686
58,Wales,2021,749
59,Wales,2022,753
60,Northern Ireland,2018,255
61,Northern Ireland,2019,297
62,Northern Ireland,2020,318
63,Northern Ireland,2021,325
64,Northern Ireland,2022,318
65,UK identifiable expenditure,2018,10772
66,UK identifiable expenditure,2019,11485
67,UK identifiable expenditure,2020,12416
68,UK identifiable expenditure,2021,13393
69,UK identifiable expenditure,2022,13440
70,Outside the UK,2018,5
71,Outside the UK,2019,5
72,Outside the UK,2020,4
73,Outside the UK,2021,11
74,Outside the UK,2022,34
75,Total identifiable expenditure,2018,10777
76,Total identifiable expenditure,2019,11491
77,Total identifiable expenditure,2020,12420
78,Total identifiable expenditure,2021,13404
79,Total identifiable expenditure,2022,13473
80,Non-identifiable expenditure ,2018,283
81,Non-identifiable expenditure ,2019,328
82,Non-identifiable expenditure ,2020,535
83,Non-identifiable expenditure ,2021,343
84,Non-identifiable expenditure ,2022,248
85,Total Expenditure on Services,2018,11060
86,Total Expenditure on Services,2019,11819
87,Total Expenditure on Services,2020,12955
88,Total Expenditure on Services,2021,13746
89,Total Expenditure on Services,2022,13721
