,Region,Year,Table A.1  Total identifiable expenditure on services,"Table A.2  Total UK identifiable expenditure on services, per head ",Table A.3  Real terms (1): Total identifiable expenditure on services,Table A.4  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1)
0,North East,2014,24454.0,9367.0,26004.0,9961.0,225.0,219.0,6.0,-,2,1181,1448.0,314,160.0,220,205,550.0,331.0,436,5675,303.0,3478,11375,,,6509.0,2493.0,17945.0
1,North East,2015,24808.0,9473.0,26046.0,9946.0,228.0,224.0,4.0,-,2,1200,1321.0,187,174.0,164,185,612.0,364.0,496,5771,319.0,3480,11628,,,6374.0,2434.0,18435.0
2,North East,2016,25308.0,9643.0,26360.0,10043.0,215.0,211.0,4.0,-,1,1240,1495.0,190,195.0,149,178,782.0,319.0,486,6039,279.0,3426,11808,,,6378.0,2430.0,18929.0
3,North East,2017,25481.0,9664.0,25965.0,9848.0,212.0,207.0,4.0,-,2,1283,1585.0,241,157.0,161,203,823.0,307.0,394,6065,293.0,3507,11833,,,6369.0,2416.0,19111.0
4,North East,2018,25931.0,9805.0,25931.0,9805.0,232.0,228.0,4.0,-,1,1321,1628.0,241,176.0,171,193,847.0,299.0,420,6231,265.0,3536,11998,,,6332.0,2394.0,19599.0
5,North West,2014,64820.0,9125.0,68929.0,9703.0,574.0,557.0,17.0,-,5,3251,,644,386.0,501,332,,2499.0,784,14661,676.0,9217,29523,,,,,47495.0
6,North West,2015,66284.0,9292.0,69591.0,9756.0,564.0,554.0,10.0,-,4,3215,,511,407.0,346,313,,2596.0,758,15395,765.0,9082,30353,,,,,49027.0
7,North West,2016,67591.0,9420.0,70401.0,9812.0,545.0,535.0,10.0,-,6,3124,,595,419.0,260,303,,2597.0,626,16045,746.0,9045,30608,,,,,50426.0
8,North West,2017,68233.0,9445.0,69528.0,9625.0,498.0,486.0,12.0,-,9,3218,,643,397.0,270,369,,2642.0,725,16449,740.0,9027,30626,,,,,51143.0
9,North West,2018,71185.0,9807.0,71185.0,9807.0,556.0,545.0,11.0,-,8,3314,,623,430.0,317,344,,3269.0,745,16969,776.0,9063,30937,,,,,52852.0
10,Yorkshire and The Humber,2014,45474.0,8519.0,48357.0,9059.0,407.0,394.0,13.0,-,4,2216,3023.0,440,300.0,409,366,1508.0,629.0,634,10264,574.0,6980,20743,,,11888.0,2227.0,33586.0
11,Yorkshire and The Humber,2015,46719.0,8716.0,49050.0,9151.0,358.0,350.0,8.0,-,3,2215,3024.0,464,324.0,309,355,1572.0,638.0,696,10817,612.0,7016,21340,,,11721.0,2187.0,34998.0
12,Yorkshire and The Humber,2016,47635.0,8837.0,49615.0,9205.0,354.0,346.0,8.0,-,3,2172,3388.0,424,342.0,262,324,2037.0,718.0,728,11111,551.0,6928,21682,,,11774.0,2184.0,35861.0
13,Yorkshire and The Humber,2017,47999.0,8847.0,48911.0,9015.0,363.0,354.0,9.0,-,3,2254,3168.0,423,305.0,257,410,1773.0,638.0,848,11308,562.0,7068,21786,,,11856.0,2185.0,36144.0
