,Region,Year,Table A.11  Identifiable expenditure on health
0,North East,2019,6472
1,North East,2020,6958
2,North East,2021,9202
3,North East,2022,8955
4,North East,2023,8754
5,North West,2019,17931
6,North West,2020,19234
7,North West,2021,25668
8,North West,2022,25300
9,North West,2023,24763
10,Yorkshire and The Humber,2019,12051
11,Yorkshire and The Humber,2020,12924
12,Yorkshire and The Humber,2021,17286
13,Yorkshire and The Humber,2022,16819
14,Yorkshire and The Humber,2023,16499
15,East Midlands,2019,9754
16,East Midlands,2020,10690
17,East Midlands,2021,14466
18,East Midlands,2022,13962
19,East Midlands,2023,13753
20,West Midlands,2019,13225
21,West Midlands,2020,14138
22,West Midlands,2021,19060
23,West Midlands,2022,18707
24,West Midlands,2023,18293
25,East,2019,12683
26,East,2020,13538
27,East,2021,18494
28,East,2022,18150
29,East,2023,17507
30,London,2019,24569
31,London,2020,26521
32,London,2021,34186
33,London,2022,33471
34,London,2023,33041
35,South East,2019,18517
36,South East,2020,19869
37,South East,2021,27294
38,South East,2022,26760
39,South East,2023,25704
40,South West,2019,11850
41,South West,2020,12811
42,South West,2021,17277
43,South West,2022,17095
44,South West,2023,16673
45,England,2019,127051
46,England,2020,136682
47,England,2021,182932
48,England,2022,179219
49,England,2023,174986
50,Scotland,2019,13022
51,Scotland,2020,13702
52,Scotland,2021,18114
53,Scotland,2022,19035
54,Scotland,2023,16885
55,Wales,2019,7537
56,Wales,2020,8025
57,Wales,2021,10215
58,Wales,2022,10697
59,Wales,2023,10449
60,Northern Ireland,2019,4582
61,Northern Ireland,2020,4941
62,Northern Ireland,2021,6605
63,Northern Ireland,2022,6523
64,Northern Ireland,2023,6181
65,UK identifiable expenditure,2019,152193
66,UK identifiable expenditure,2020,163350
67,UK identifiable expenditure,2021,217867
68,UK identifiable expenditure,2022,215474
69,UK identifiable expenditure,2023,208502
70,Outside the UK,2019,724
71,Outside the UK,2020,789
72,Outside the UK,2021,700
73,Outside the UK,2022,762
74,Outside the UK,2023,953
75,Total identifiable expenditure,2019,152917
76,Total identifiable expenditure,2020,164140
77,Total identifiable expenditure,2021,218567
78,Total identifiable expenditure,2022,216237
79,Total identifiable expenditure,2023,209456
80,Non-identifiable expenditure ,2019,-
81,Non-identifiable expenditure ,2020,-
82,Non-identifiable expenditure ,2021,-
83,Non-identifiable expenditure ,2022,-
84,Non-identifiable expenditure ,2023,-
85,Total Expenditure on Services,2019,152917
86,Total Expenditure on Services,2020,164140
87,Total Expenditure on Services,2021,218567
88,Total Expenditure on Services,2022,216237
89,Total Expenditure on Services,2023,209456
90,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2019,
91,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2020,
92,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2021,
93,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2022,
94,(1) Higher expenditure seen in 2020-21 and 2021-22 reflects the response to the Covid-19 pandemic.,2023,
