,Region,Year,"Table A.12  Identifiable expenditure on recreation, culture and religion"
0,North East,2019,252
1,North East,2020,306
2,North East,2021,332
3,North East,2022,343
4,North East,2023,367
5,North West,2019,730
6,North West,2020,779
7,North West,2021,898
8,North West,2022,994
9,North West,2023,1015
10,Yorkshire and The Humber,2019,546
11,Yorkshire and The Humber,2020,645
12,Yorkshire and The Humber,2021,700
13,Yorkshire and The Humber,2022,706
14,Yorkshire and The Humber,2023,739
15,East Midlands,2019,419
16,East Midlands,2020,442
17,East Midlands,2021,546
18,East Midlands,2022,507
19,East Midlands,2023,476
20,West Midlands,2019,512
21,West Midlands,2020,523
22,West Midlands,2021,687
23,West Midlands,2022,803
24,West Midlands,2023,989
25,East,2019,517
26,East,2020,534
27,East,2021,613
28,East,2022,584
29,East,2023,585
30,London,2019,1106
31,London,2020,1271
32,London,2021,1714
33,London,2022,1328
34,London,2023,1344
35,South East,2019,796
36,South East,2020,773
37,South East,2021,975
38,South East,2022,924
39,South East,2023,898
40,South West,2019,481
41,South West,2020,472
42,South West,2021,638
43,South West,2022,617
44,South West,2023,564
45,England,2019,5360
46,England,2020,5746
47,England,2021,7104
48,England,2022,6805
49,England,2023,6976
50,Scotland,2019,1071
51,Scotland,2020,999
52,Scotland,2021,1221
53,Scotland,2022,1239
54,Scotland,2023,1169
55,Wales,2019,522
56,Wales,2020,529
57,Wales,2021,656
58,Wales,2022,630
59,Wales,2023,609
60,Northern Ireland,2019,499
61,Northern Ireland,2020,499
62,Northern Ireland,2021,488
63,Northern Ireland,2022,466
64,Northern Ireland,2023,476
65,UK identifiable expenditure,2019,7452
66,UK identifiable expenditure,2020,7773
67,UK identifiable expenditure,2021,9470
68,UK identifiable expenditure,2022,9140
69,UK identifiable expenditure,2023,9230
70,Outside the UK,2019,253
71,Outside the UK,2020,303
72,Outside the UK,2021,57
73,Outside the UK,2022,103
74,Outside the UK,2023,265
75,Total identifiable expenditure,2019,7705
76,Total identifiable expenditure,2020,8076
77,Total identifiable expenditure,2021,9527
78,Total identifiable expenditure,2022,9243
79,Total identifiable expenditure,2023,9495
80,Non-identifiable expenditure ,2019,3683
81,Non-identifiable expenditure ,2020,4443
82,Non-identifiable expenditure ,2021,3242
83,Non-identifiable expenditure ,2022,3683
84,Non-identifiable expenditure ,2023,4956
85,Total Expenditure on Services,2019,11388
86,Total Expenditure on Services,2020,12518
87,Total Expenditure on Services,2021,12769
88,Total Expenditure on Services,2022,12927
89,Total Expenditure on Services,2023,14451
