,Region,Year,Table A.13  Identifiable expenditure on education
0,North East,2019,3492
1,North East,2020,3521
2,North East,2021,3686
3,North East,2022,3870
4,North East,2023,4249
5,North West,2019,9100
6,North West,2020,9454
7,North West,2021,9860
8,North West,2022,10402
9,North West,2023,11301
10,Yorkshire and The Humber,2019,7135
11,Yorkshire and The Humber,2020,7276
12,Yorkshire and The Humber,2021,7516
13,Yorkshire and The Humber,2022,7916
14,Yorkshire and The Humber,2023,8568
15,East Midlands,2019,5954
16,East Midlands,2020,6192
17,East Midlands,2021,6464
18,East Midlands,2022,6808
19,East Midlands,2023,7405
20,West Midlands,2019,7806
21,West Midlands,2020,8058
22,West Midlands,2021,8383
23,West Midlands,2022,8789
24,West Midlands,2023,9516
25,East,2019,7730
26,East,2020,8043
27,East,2021,8339
28,East,2022,8832
29,East,2023,9648
30,London,2019,13230
31,London,2020,13258
32,London,2021,13793
33,London,2022,14282
34,London,2023,15353
35,South East,2019,11282
36,South East,2020,11508
37,South East,2021,12041
38,South East,2022,12907
39,South East,2023,13906
40,South West,2019,6612
41,South West,2020,6777
42,South West,2021,7057
43,South West,2022,7458
44,South West,2023,8177
45,England,2019,72341
46,England,2020,74088
47,England,2021,77139
48,England,2022,81264
49,England,2023,88124
50,Scotland,2019,8648
51,Scotland,2020,9258
52,Scotland,2021,10066
53,Scotland,2022,10295
54,Scotland,2023,10049
55,Wales,2019,4285
56,Wales,2020,4386
57,Wales,2021,4986
58,Wales,2022,5219
59,Wales,2023,5236
60,Northern Ireland,2019,2777
61,Northern Ireland,2020,2889
62,Northern Ireland,2021,3335
63,Northern Ireland,2022,3350
64,Northern Ireland,2023,3427
65,UK identifiable expenditure,2019,88051
66,UK identifiable expenditure,2020,90622
67,UK identifiable expenditure,2021,95526
68,UK identifiable expenditure,2022,100129
69,UK identifiable expenditure,2023,106835
70,Outside the UK,2019,-
71,Outside the UK,2020,-
72,Outside the UK,2021,-
73,Outside the UK,2022,-
74,Outside the UK,2023,-
75,Total identifiable expenditure,2019,88051
76,Total identifiable expenditure,2020,90622
77,Total identifiable expenditure,2021,95526
78,Total identifiable expenditure,2022,100129
79,Total identifiable expenditure,2023,106835
80,Non-identifiable expenditure ,2019,-
81,Non-identifiable expenditure ,2020,-
82,Non-identifiable expenditure ,2021,-
83,Non-identifiable expenditure ,2022,-
84,Non-identifiable expenditure ,2023,-
85,Total Expenditure on Services,2019,88051
86,Total Expenditure on Services,2020,90622
87,Total Expenditure on Services,2021,95526
88,Total Expenditure on Services,2022,100129
89,Total Expenditure on Services,2023,106835
