,Region,Year,Table A.14  Identifiable expenditure on social protection
0,North East,2019,12223
1,North East,2020,12237
2,North East,2021,12961
3,North East,2022,12964
4,North East,2023,14087
5,North West,2019,31624
6,North West,2020,31797
7,North West,2021,34018
8,North West,2022,34153
9,North West,2023,37017
10,Yorkshire and The Humber,2019,22355
11,Yorkshire and The Humber,2020,22315
12,Yorkshire and The Humber,2021,24025
13,Yorkshire and The Humber,2022,24010
14,Yorkshire and The Humber,2023,26086
15,East Midlands,2019,18922
16,East Midlands,2020,18868
17,East Midlands,2021,20334
18,East Midlands,2022,20394
19,East Midlands,2023,22206
20,West Midlands,2019,24145
21,West Midlands,2020,24183
22,West Midlands,2021,26125
23,West Midlands,2022,26185
24,West Midlands,2023,28424
25,East,2019,23312
26,East,2020,23454
27,East,2021,25439
28,East,2022,25459
29,East,2023,27625
30,London,2019,32019
31,London,2020,32760
32,London,2021,37344
33,London,2022,36759
34,London,2023,39718
35,South East,2019,33561
36,South East,2020,33596
37,South East,2021,36685
38,South East,2022,36793
39,South East,2023,39878
40,South West,2019,23088
41,South West,2020,23096
42,South West,2021,24892
43,South West,2022,25118
44,South West,2023,27160
45,England,2019,221250
46,England,2020,222306
47,England,2021,241822
48,England,2022,241834
49,England,2023,262201
50,Scotland,2019,23844
51,Scotland,2020,23755
52,Scotland,2021,25662
53,Scotland,2022,25902
54,Scotland,2023,28583
55,Wales,2019,14901
56,Wales,2020,14942
57,Wales,2021,16293
58,Wales,2022,16474
59,Wales,2023,17601
60,Northern Ireland,2019,9441
61,Northern Ireland,2020,9463
62,Northern Ireland,2021,9909
63,Northern Ireland,2022,10033
64,Northern Ireland,2023,10658
65,UK identifiable expenditure,2019,269437
66,UK identifiable expenditure,2020,270466
67,UK identifiable expenditure,2021,293687
68,UK identifiable expenditure,2022,294243
69,UK identifiable expenditure,2023,319044
70,Outside the UK,2019,5025
71,Outside the UK,2020,5001
72,Outside the UK,2021,5113
73,Outside the UK,2022,5231
74,Outside the UK,2023,5452
75,Total identifiable expenditure,2019,274461
76,Total identifiable expenditure,2020,275467
77,Total identifiable expenditure,2021,298800
78,Total identifiable expenditure,2022,299473
79,Total identifiable expenditure,2023,324495
80,Non-identifiable expenditure,2019,350
81,Non-identifiable expenditure,2020,335
82,Non-identifiable expenditure,2021,516
83,Non-identifiable expenditure,2022,589
84,Non-identifiable expenditure,2023,656
85,Total Expenditure on Services,2019,274811
86,Total Expenditure on Services,2020,275801
87,Total Expenditure on Services,2021,299316
88,Total Expenditure on Services,2022,300062
89,Total Expenditure on Services,2023,325152
