,Region,Year,Table A.2b  Real terms (1): Total UK identifiable expenditure on services per head (2)
0,North East,2019,11525
1,North East,2020,11597
2,North East,2021,14228
3,North East,2022,12896
4,North East,2023,12938
5,North West,2019,11283
6,North West,2020,11358
7,North West,2021,14236
8,North West,2022,12916
9,North West,2023,12845
10,Yorkshire and The Humber,2019,10450
11,Yorkshire and The Humber,2020,10525
12,Yorkshire and The Humber,2021,13325
13,Yorkshire and The Humber,2022,11820
14,Yorkshire and The Humber,2023,11855
15,East Midlands,2019,9773
16,East Midlands,2020,9920
17,East Midlands,2021,12710
18,East Midlands,2022,11151
19,East Midlands,2023,11225
20,West Midlands,2019,10654
21,West Midlands,2020,10737
22,West Midlands,2021,13554
23,West Midlands,2022,12227
24,West Midlands,2023,12182
25,East,2019,9916
26,East,2020,10105
27,East,2021,13139
28,East,2022,11374
29,East,2023,11309
30,London,2019,12042
31,London,2020,12339
32,London,2021,16476
33,London,2022,14625
34,London,2023,14486
35,South East,2019,9878
36,South East,2020,9971
37,South East,2021,12986
38,South East,2022,11338
39,South East,2023,11244
40,South West,2019,10116
41,South West,2020,10271
42,South West,2021,13197
43,South West,2022,11539
44,South West,2023,11492
45,England,2019,10638
46,England,2020,10778
47,England,2021,13864
48,England,2022,12278
49,England,2023,12227
50,Scotland,2019,12748
51,Scotland,2020,12881
52,Scotland,2021,15638
53,Scotland,2022,14760
54,Scotland,2023,14456
55,Wales,2019,12348
56,Wales,2020,12406
57,Wales,2021,15304
58,Wales,2022,14221
59,Wales,2023,13967
60,Northern Ireland,2019,13193
61,Northern Ireland,2020,13371
62,Northern Ireland,2021,16142
63,Northern Ireland,2022,14972
64,Northern Ireland,2023,14453
65,UK identifiable expenditure,2019,10963
66,UK identifiable expenditure,2020,11100
67,UK identifiable expenditure,2021,14141
68,UK identifiable expenditure,2022,12648
69,UK identifiable expenditure,2023,12549
70,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023).,2019,
71,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023).,2020,
72,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023).,2021,
73,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023).,2022,
74,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023).,2023,
75,"(2) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2019,
76,"(2) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2020,
77,"(2) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2021,
78,"(2) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2022,
79,"(2) Per head figures for England, Wales and Northern Ireland calculated using latest mid-year population estimates consistent with Census 2021. Scotland figures for 2022-23 based on Census day 2022. Earlier years for Scotland are based on 2011 Census mid-year estimates. See Annex within CRA 2023 release for details.",2023,
