,Region,Year,Table A.3  Real terms (1): Total identifiable expenditure on services
0,North East,2019,30304
1,North East,2020,30578
2,North East,2021,37525
3,North East,2022,34142
4,North East,2023,34712
5,North West,2019,82549
6,North West,2020,83630
7,North West,2021,105069
8,North West,2022,95887
9,North West,2023,96545
10,Yorkshire and The Humber,2019,56890
11,Yorkshire and The Humber,2020,57518
12,Yorkshire and The Humber,2021,72868
13,Yorkshire and The Humber,2022,64802
14,Yorkshire and The Humber,2023,65693
15,East Midlands,2019,47059
16,East Midlands,2020,48055
17,East Midlands,2021,61712
18,East Midlands,2022,54434
19,East Midlands,2023,55393
20,West Midlands,2019,62746
21,West Midlands,2020,63573
22,West Midlands,2021,80403
23,West Midlands,2022,72829
24,West Midlands,2023,73359
25,East,2019,61851
26,East,2020,63399
27,East,2021,82746
28,East,2022,72218
29,East,2023,72359
30,London,2019,106371
31,London,2020,109687
32,London,2021,146092
33,London,2022,128766
34,London,2023,128438
35,South East,2019,90391
36,South East,2020,91669
37,South East,2021,119796
38,South East,2022,105397
39,South East,2023,105467
40,South West,2019,56748
41,South West,2020,57957
42,South West,2021,74721
43,South West,2022,65921
44,South West,2023,66249
45,England,2019,594908
46,England,2020,606066
47,England,2021,780931
48,England,2022,694397
49,England,2023,698215
50,Scotland,2019,69326
51,Scotland,2020,70375
52,Scotland,2021,85478
53,Scotland,2022,80886
54,Scotland,2023,78589
55,Wales,2019,38081
56,Wales,2020,38306
57,Wales,2021,47512
58,Wales,2022,44166
59,Wales,2023,43739
60,Northern Ireland,2019,24885
61,Northern Ireland,2020,25384
62,Northern Ireland,2021,30679
63,Northern Ireland,2022,28517
64,Northern Ireland,2023,27612
65,UK identifiable expenditure,2019,727199
66,UK identifiable expenditure,2020,740131
67,UK identifiable expenditure,2021,944599
68,UK identifiable expenditure,2022,847965
69,UK identifiable expenditure,2023,848155
70,Outside UK,2019,34253
71,Outside UK,2020,31545
72,Outside UK,2021,28868
73,Outside UK,2022,23594
74,Outside UK,2023,25137
75,Total identifiable expenditure,2019,761452
76,Total identifiable expenditure,2020,771676
77,Total identifiable expenditure,2021,973467
78,Total identifiable expenditure,2022,871560
79,Total identifiable expenditure,2023,873293
80,Non-identifiable expenditure,2019,121670
81,Non-identifiable expenditure,2020,120142
82,Non-identifiable expenditure,2021,107044
83,Non-identifiable expenditure,2022,150822
84,Non-identifiable expenditure,2023,203850
85,Total Expenditure on Services,2019,883122
86,Total Expenditure on Services,2020,891818
87,Total Expenditure on Services,2021,1080511
88,Total Expenditure on Services,2022,1022381
89,Total Expenditure on Services,2023,1077142
90,Accounting adjustments,2019,96738
91,Accounting adjustments,2020,99171
92,Accounting adjustments,2021,90864
93,Accounting adjustments,2022,92072
94,Accounting adjustments,2023,74283
95,Total Managed Expenditure,2019,979860
96,Total Managed Expenditure,2020,990989
97,Total Managed Expenditure,2021,1171375
98,Total Managed Expenditure,2022,1114454
99,Total Managed Expenditure,2023,1151425
100,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023). ,2019,
101,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023). ,2020,
102,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023). ,2021,
103,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023). ,2022,
104,(1) Real terms figures are the nominal figures adjusted to 2022-23 price levels using GDP deflators from the Office for National Statistics (released 29 September 2023). ,2023,
