,Region,Year,Table A.4a  Real terms (1): Total current and capital identifiable expenditure
0,North East,2014,-
1,North East,2015,-
2,North East,2016,-
3,North East,2017,-
4,North East,2018,-
5,North West,2014,-
6,North West,2015,-
7,North West,2016,-
8,North West,2017,-
9,North West,2018,-
10,Yorkshire and The Humber,2014,-
11,Yorkshire and The Humber,2015,-
12,Yorkshire and The Humber,2016,-
13,Yorkshire and The Humber,2017,-
14,Yorkshire and The Humber,2018,-
15,East Midlands,2014,-
16,East Midlands,2015,-
17,East Midlands,2016,-
18,East Midlands,2017,-
19,East Midlands,2018,-
20,West Midlands,2014,-
21,West Midlands,2015,-
22,West Midlands,2016,-
23,West Midlands,2017,-
24,West Midlands,2018,-
25,East,2014,-
26,East,2015,-
27,East,2016,-
28,East,2017,-
29,East,2018,-
30,London,2014,-
31,London,2015,-
32,London,2016,-
33,London,2017,-
34,London,2018,-
35,South East,2014,-
36,South East,2015,-
37,South East,2016,-
38,South East,2017,-
39,South East,2018,-
40,South West,2014,-
41,South West,2015,-
42,South West,2016,-
43,South West,2017,-
44,South West,2018,-
45,England,2014,-
46,England,2015,-
47,England,2016,-
48,England,2017,-
49,England,2018,-
50,Scotland,2014,-
51,Scotland,2015,-
52,Scotland,2016,-
53,Scotland,2017,-
54,Scotland,2018,-
55,Wales,2014,-
56,Wales,2015,-
57,Wales,2016,-
58,Wales,2017,-
59,Wales,2018,-
60,Northern Ireland,2014,-
61,Northern Ireland,2015,-
62,Northern Ireland,2016,-
63,Northern Ireland,2017,-
64,Northern Ireland,2018,-
65,UK identifiable expenditure,2014,-
66,UK identifiable expenditure,2015,-
67,UK identifiable expenditure,2016,-
68,UK identifiable expenditure,2017,-
69,UK identifiable expenditure,2018,-
70,Outside the UK,2014,-
71,Outside the UK,2015,-
72,Outside the UK,2016,-
73,Outside the UK,2017,-
74,Outside the UK,2018,-
75,Total identifiable expenditure,2014,-
76,Total identifiable expenditure,2015,-
77,Total identifiable expenditure,2016,-
78,Total identifiable expenditure,2017,-
79,Total identifiable expenditure,2018,-
80,Non-identifiable expenditure,2014,40108
81,Non-identifiable expenditure,2015,37418
82,Non-identifiable expenditure,2016,38006
83,Non-identifiable expenditure,2017,40153
84,Non-identifiable expenditure,2018,44798
85,Total Expenditure on Services,2014,40108
86,Total Expenditure on Services,2015,37418
87,Total Expenditure on Services,2016,38006
88,Total Expenditure on Services,2017,40153
89,Total Expenditure on Services,2018,44798
