,Region,Year,Table A.5  Identifiable expenditure on general public services
0,North East,2019,272
1,North East,2020,299
2,North East,2021,316
3,North East,2022,427
4,North East,2023,308
5,North West,2019,626
6,North West,2020,647
7,North West,2021,899
8,North West,2022,904
9,North West,2023,838
10,Yorkshire and The Humber,2019,389
11,Yorkshire and The Humber,2020,480
12,Yorkshire and The Humber,2021,581
13,Yorkshire and The Humber,2022,595
14,Yorkshire and The Humber,2023,616
15,East Midlands,2019,369
16,East Midlands,2020,478
17,East Midlands,2021,565
18,East Midlands,2022,593
19,East Midlands,2023,599
20,West Midlands,2019,592
21,West Midlands,2020,736
22,West Midlands,2021,979
23,West Midlands,2022,834
24,West Midlands,2023,727
25,East,2019,634
26,East,2020,695
27,East,2021,1103
28,East,2022,865
29,East,2023,811
30,London,2019,678
31,London,2020,1006
32,London,2021,1357
33,London,2022,1501
34,London,2023,1213
35,South East,2019,1094
36,South East,2020,1009
37,South East,2021,1367
38,South East,2022,1252
39,South East,2023,1246
40,South West,2019,541
41,South West,2020,529
42,South West,2021,789
43,South West,2022,767
44,South West,2023,768
45,England,2019,5196
46,England,2020,5879
47,England,2021,7956
48,England,2022,7739
49,England,2023,7125
50,Scotland,2019,1195
51,Scotland,2020,1662
52,Scotland,2021,1500
53,Scotland,2022,1739
54,Scotland,2023,1946
55,Wales,2019,539
56,Wales,2020,578
57,Wales,2021,631
58,Wales,2022,941
59,Wales,2023,633
60,Northern Ireland,2019,396
61,Northern Ireland,2020,431
62,Northern Ireland,2021,807
63,Northern Ireland,2022,602
64,Northern Ireland,2023,524
65,UK identifiable expenditure,2019,7327
66,UK identifiable expenditure,2020,8551
67,UK identifiable expenditure,2021,10894
68,UK identifiable expenditure,2022,11022
69,UK identifiable expenditure,2023,10228
70,Outside the UK,2019,10809
71,Outside the UK,2020,10563
72,Outside the UK,2021,10302
73,Outside the UK,2022,14948
74,Outside the UK,2023,15648
75,Total identifiable expenditure,2019,18136
76,Total identifiable expenditure,2020,19113
77,Total identifiable expenditure,2021,21197
78,Total identifiable expenditure,2022,25969
79,Total identifiable expenditure,2023,25876
80,Non-identifiable expenditure,2019,63357
81,Non-identifiable expenditure,2020,61819
82,Non-identifiable expenditure,2021,50485
83,Non-identifiable expenditure,2022,84723
84,Non-identifiable expenditure,2023,139928
85,Total Expenditure on Services,2019,81493
86,Total Expenditure on Services,2020,80932
87,Total Expenditure on Services,2021,71681
88,Total Expenditure on Services,2022,110692
89,Total Expenditure on Services,2023,165804
