,Region,Year,Table A.5b  Identifiable expenditure on general public services (of which: international services)
0,North East,2019,2
1,North East,2020,2
2,North East,2021,2
3,North East,2022,2
4,North East,2023,2
5,North West,2019,7
6,North West,2020,7
7,North West,2021,6
8,North West,2022,7
9,North West,2023,6
10,Yorkshire and The Humber,2019,5
11,Yorkshire and The Humber,2020,5
12,Yorkshire and The Humber,2021,4
13,Yorkshire and The Humber,2022,5
14,Yorkshire and The Humber,2023,5
15,East Midlands,2019,5
16,East Midlands,2020,5
17,East Midlands,2021,4
18,East Midlands,2022,5
19,East Midlands,2023,4
20,West Midlands,2019,6
21,West Midlands,2020,6
22,West Midlands,2021,5
23,West Midlands,2022,6
24,West Midlands,2023,5
25,East,2019,6
26,East,2020,6
27,East,2021,5
28,East,2022,6
29,East,2023,5
30,London,2019,8
31,London,2020,8
32,London,2021,7
33,London,2022,8
34,London,2023,8
35,South East,2019,9
36,South East,2020,9
37,South East,2021,7
38,South East,2022,9
39,South East,2023,8
40,South West,2019,5
41,South West,2020,5
42,South West,2021,5
43,South West,2022,5
44,South West,2023,5
45,England,2019,52
46,England,2020,53
47,England,2021,45
48,England,2022,53
49,England,2023,48
50,Scotland,2019,6
51,Scotland,2020,6
52,Scotland,2021,5
53,Scotland,2022,10
54,Scotland,2023,6
55,Wales,2019,3
56,Wales,2020,3
57,Wales,2021,2
58,Wales,2022,3
59,Wales,2023,3
60,Northern Ireland,2019,2
61,Northern Ireland,2020,2
62,Northern Ireland,2021,2
63,Northern Ireland,2022,2
64,Northern Ireland,2023,2
65,UK identifiable expenditure,2019,63
66,UK identifiable expenditure,2020,63
67,UK identifiable expenditure,2021,54
68,UK identifiable expenditure,2022,68
69,UK identifiable expenditure,2023,58
70,Outside the UK,2019,10456
71,Outside the UK,2020,10196
72,Outside the UK,2021,9665
73,Outside the UK,2022,6575
74,Outside the UK,2023,5949
75,Total identifiable expenditure,2019,10520
76,Total identifiable expenditure,2020,10259
77,Total identifiable expenditure,2021,9720
78,Total identifiable expenditure,2022,6642
79,Total identifiable expenditure,2023,6007
80,Non-identifiable expenditure,2019,1347
81,Non-identifiable expenditure,2020,1444
82,Non-identifiable expenditure,2021,1497
83,Non-identifiable expenditure,2022,1719
84,Non-identifiable expenditure,2023,2471
85,Total Expenditure on Services,2019,11867
86,Total Expenditure on Services,2020,11703
87,Total Expenditure on Services,2021,11217
88,Total Expenditure on Services,2022,8362
89,Total Expenditure on Services,2023,8478
