,Region,Year,Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest)
0,North East,2019,-
1,North East,2020,-
2,North East,2021,-
3,North East,2022,-
4,North East,2023,-
5,North West,2019,-
6,North West,2020,-
7,North West,2021,-
8,North West,2022,-
9,North West,2023,-
10,Yorkshire and The Humber,2019,-
11,Yorkshire and The Humber,2020,-
12,Yorkshire and The Humber,2021,-
13,Yorkshire and The Humber,2022,-
14,Yorkshire and The Humber,2023,-
15,East Midlands,2019,-
16,East Midlands,2020,-
17,East Midlands,2021,-
18,East Midlands,2022,-
19,East Midlands,2023,-
20,West Midlands,2019,-
21,West Midlands,2020,-
22,West Midlands,2021,-
23,West Midlands,2022,-
24,West Midlands,2023,-
25,East,2019,-
26,East,2020,-
27,East,2021,-
28,East,2022,-
29,East,2023,-
30,London,2019,-
31,London,2020,-
32,London,2021,-
33,London,2022,-
34,London,2023,-
35,South East,2019,-
36,South East,2020,-
37,South East,2021,-
38,South East,2022,-
39,South East,2023,-
40,South West,2019,-
41,South West,2020,-
42,South West,2021,-
43,South West,2022,-
44,South West,2023,-
45,England,2019,-
46,England,2020,-
47,England,2021,-
48,England,2022,-
49,England,2023,-
50,Scotland,2019,-
51,Scotland,2020,-
52,Scotland,2021,-
53,Scotland,2022,-
54,Scotland,2023,-
55,Wales,2019,-
56,Wales,2020,-
57,Wales,2021,-
58,Wales,2022,-
59,Wales,2023,-
60,Northern Ireland,2019,-
61,Northern Ireland,2020,-
62,Northern Ireland,2021,-
63,Northern Ireland,2022,-
64,Northern Ireland,2023,-
65,UK identifiable expenditure,2019,-
66,UK identifiable expenditure,2020,-
67,UK identifiable expenditure,2021,-
68,UK identifiable expenditure,2022,-
69,UK identifiable expenditure,2023,-
70,Outside the UK,2019,-
71,Outside the UK,2020,-
72,Outside the UK,2021,-
73,Outside the UK,2022,-
74,Outside the UK,2023,-
75,Total identifiable expenditure,2019,-
76,Total identifiable expenditure,2020,-
77,Total identifiable expenditure,2021,-
78,Total identifiable expenditure,2022,-
79,Total identifiable expenditure,2023,-
80,Non-identifiable expenditure,2019,56906
81,Non-identifiable expenditure,2020,54830
82,Non-identifiable expenditure,2021,42371
83,Non-identifiable expenditure,2022,74534
84,Non-identifiable expenditure,2023,130303
85,Total Expenditure on Services,2019,56906
86,Total Expenditure on Services,2020,54830
87,Total Expenditure on Services,2021,42371
88,Total Expenditure on Services,2022,74534
89,Total Expenditure on Services,2023,130303
