,Region,Year,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development)
0,North East,2019,320
1,North East,2020,411
2,North East,2021,4583
3,North East,2022,1111
4,North East,2023,2301
5,North West,2019,996
6,North West,2020,1140
7,North West,2021,14495
8,North West,2022,3649
9,North West,2023,6531
10,Yorkshire and The Humber,2019,577
11,Yorkshire and The Humber,2020,887
12,Yorkshire and The Humber,2021,10268
13,Yorkshire and The Humber,2022,2489
14,Yorkshire and The Humber,2023,4698
15,East Midlands,2019,601
16,East Midlands,2020,828
17,East Midlands,2021,9133
18,East Midlands,2022,2095
19,East Midlands,2023,4091
20,West Midlands,2019,875
21,West Midlands,2020,1062
22,West Midlands,2021,11313
23,West Midlands,2022,2919
24,West Midlands,2023,5321
25,East,2019,1072
26,East,2020,1831
27,East,2021,13768
28,East,2022,3794
29,East,2023,5912
30,London,2019,2256
31,London,2020,3531
32,London,2021,23928
33,London,2022,7763
34,London,2023,10213
35,South East,2019,2530
36,South East,2020,2788
37,South East,2021,19177
38,South East,2022,5490
39,South East,2023,8807
40,South West,2019,827
41,South West,2020,1197
42,South West,2021,11754
43,South West,2022,2688
44,South West,2023,4741
45,England,2019,10056
46,England,2020,13675
47,England,2021,118420
48,England,2022,31996
49,England,2023,52614
50,Scotland,2019,1531
51,Scotland,2020,1750
52,Scotland,2021,11186
53,Scotland,2022,3907
54,Scotland,2023,5684
55,Wales,2019,644
56,Wales,2020,678
57,Wales,2021,6340
58,Wales,2022,1436
59,Wales,2023,2840
60,Northern Ireland,2019,358
61,Northern Ireland,2020,704
62,Northern Ireland,2021,3442
63,Northern Ireland,2022,1177
64,Northern Ireland,2023,1692
65,UK identifiable expenditure,2019,12589
66,UK identifiable expenditure,2020,16807
67,UK identifiable expenditure,2021,139388
68,UK identifiable expenditure,2022,38516
69,UK identifiable expenditure,2023,62831
70,Outside the UK,2019,17
71,Outside the UK,2020,25
72,Outside the UK,2021,16
73,Outside the UK,2022,37
74,Outside the UK,2023,36
75,Total identifiable expenditure,2019,12606
76,Total identifiable expenditure,2020,16832
77,Total identifiable expenditure,2021,139404
78,Total identifiable expenditure,2022,38554
79,Total identifiable expenditure,2023,62867
80,Non-identifiable expenditure,2019,1460
81,Non-identifiable expenditure,2020,1316
82,Non-identifiable expenditure,2021,1771
83,Non-identifiable expenditure,2022,2918
84,Non-identifiable expenditure,2023,1800
85,Total Expenditure on Services,2019,14066
86,Total Expenditure on Services,2020,18148
87,Total Expenditure on Services,2021,141174
88,Total Expenditure on Services,2022,41472
89,Total Expenditure on Services,2023,64667
90,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2019,
91,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2020,
92,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2021,
93,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2022,
94,(1) Higher expenditure seen from 2020-21 reflects the response to the Covid-19 pandemic and measures taken in response to increases in cost of living.,2023,
95,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2019,
96,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2020,
97,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2021,
98,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2022,
99,(2) Negative capital expenditure in 2021-22 reflects the revaluation of the up-front costs of guaranteeing covid-related loans that were made in 2020-21. This is consistent with the treatment that will be followed in the National Accounts.,2023,
