,Region,Year,Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology)
0,North East,2019,265
1,North East,2020,241
2,North East,2021,253
3,North East,2022,225
4,North East,2023,233
5,North West,2019,469
6,North West,2020,489
7,North West,2021,513
8,North West,2022,605
9,North West,2023,530
10,Yorkshire and The Humber,2019,358
11,Yorkshire and The Humber,2020,494
12,Yorkshire and The Humber,2021,452
13,Yorkshire and The Humber,2022,504
14,Yorkshire and The Humber,2023,377
15,East Midlands,2019,282
16,East Midlands,2020,319
17,East Midlands,2021,342
18,East Midlands,2022,351
19,East Midlands,2023,394
20,West Midlands,2019,615
21,West Midlands,2020,639
22,West Midlands,2021,651
23,West Midlands,2022,670
24,West Midlands,2023,511
25,East,2019,560
26,East,2020,607
27,East,2021,603
28,East,2022,467
29,East,2023,725
30,London,2019,1069
31,London,2020,1075
32,London,2021,1239
33,London,2022,1136
34,London,2023,1316
35,South East,2019,1012
36,South East,2020,1064
37,South East,2021,1108
38,South East,2022,1126
39,South East,2023,1417
40,South West,2019,393
41,South West,2020,418
42,South West,2021,486
43,South West,2022,507
44,South West,2023,417
45,England,2019,5024
46,England,2020,5347
47,England,2021,5646
48,England,2022,5591
49,England,2023,5920
50,Scotland,2019,346
51,Scotland,2020,360
52,Scotland,2021,604
53,Scotland,2022,603
54,Scotland,2023,537
55,Wales,2019,156
56,Wales,2020,148
57,Wales,2021,222
58,Wales,2022,249
59,Wales,2023,226
60,Northern Ireland,2019,68
61,Northern Ireland,2020,84
62,Northern Ireland,2021,99
63,Northern Ireland,2022,118
64,Northern Ireland,2023,187
65,UK identifiable expenditure,2019,5594
66,UK identifiable expenditure,2020,5938
67,UK identifiable expenditure,2021,6571
68,UK identifiable expenditure,2022,6561
69,UK identifiable expenditure,2023,6870
70,Outside the UK,2019,20
71,Outside the UK,2020,21
72,Outside the UK,2021,26
73,Outside the UK,2022,15
74,Outside the UK,2023,291
75,Total identifiable expenditure,2019,5614
76,Total identifiable expenditure,2020,5959
77,Total identifiable expenditure,2021,6597
78,Total identifiable expenditure,2022,6576
79,Total identifiable expenditure,2023,7161
80,Non-identifiable expenditure ,2019,1
81,Non-identifiable expenditure ,2020,1
82,Non-identifiable expenditure ,2021,1
83,Non-identifiable expenditure ,2022,1
84,Non-identifiable expenditure ,2023,1
85,Total Expenditure on Services,2019,5616
86,Total Expenditure on Services,2020,5961
87,Total Expenditure on Services,2021,6599
88,Total Expenditure on Services,2022,6578
89,Total Expenditure on Services,2023,7162
