,Region,Year,Table A.9  Identifiable expenditure on environment protection
0,North East,2019,300
1,North East,2020,293
2,North East,2021,344
3,North East,2022,393
4,North East,2023,386
5,North West,2019,2594
6,North West,2020,2809
7,North West,2021,3001
8,North West,2022,3225
9,North West,2023,3098
10,Yorkshire and The Humber,2019,622
11,Yorkshire and The Humber,2020,673
12,Yorkshire and The Humber,2021,770
13,Yorkshire and The Humber,2022,852
14,Yorkshire and The Humber,2023,788
15,East Midlands,2019,491
16,East Midlands,2020,515
17,East Midlands,2021,595
18,East Midlands,2022,677
19,East Midlands,2023,667
20,West Midlands,2019,571
21,West Midlands,2020,580
22,West Midlands,2021,678
23,West Midlands,2022,722
24,West Midlands,2023,684
25,East,2019,944
26,East,2020,1002
27,East,2021,1072
28,East,2022,1160
29,East,2023,1114
30,London,2019,1128
31,London,2020,1152
32,London,2021,1319
33,London,2022,1397
34,London,2023,1585
35,South East,2019,1090
36,South East,2020,1113
37,South East,2021,1228
38,South East,2022,1372
39,South East,2023,1499
40,South West,2019,877
41,South West,2020,943
42,South West,2021,963
43,South West,2022,1057
44,South West,2023,1047
45,England,2019,8618
46,England,2020,9079
47,England,2021,9971
48,England,2022,10855
49,England,2023,10868
50,Scotland,2019,1283
51,Scotland,2020,1459
52,Scotland,2021,1441
53,Scotland,2022,1464
54,Scotland,2023,1501
55,Wales,2019,616
56,Wales,2020,650
57,Wales,2021,686
58,Wales,2022,749
59,Wales,2023,753
60,Northern Ireland,2019,255
61,Northern Ireland,2020,297
62,Northern Ireland,2021,318
63,Northern Ireland,2022,325
64,Northern Ireland,2023,318
65,UK identifiable expenditure,2019,10772
66,UK identifiable expenditure,2020,11485
67,UK identifiable expenditure,2021,12416
68,UK identifiable expenditure,2022,13393
69,UK identifiable expenditure,2023,13440
70,Outside the UK,2019,5
71,Outside the UK,2020,5
72,Outside the UK,2021,4
73,Outside the UK,2022,11
74,Outside the UK,2023,34
75,Total identifiable expenditure,2019,10777
76,Total identifiable expenditure,2020,11491
77,Total identifiable expenditure,2021,12420
78,Total identifiable expenditure,2022,13404
79,Total identifiable expenditure,2023,13473
80,Non-identifiable expenditure ,2019,283
81,Non-identifiable expenditure ,2020,328
82,Non-identifiable expenditure ,2021,535
83,Non-identifiable expenditure ,2022,343
84,Non-identifiable expenditure ,2023,248
85,Total Expenditure on Services,2019,11060
86,Total Expenditure on Services,2020,11819
87,Total Expenditure on Services,2021,12955
88,Total Expenditure on Services,2022,13746
89,Total Expenditure on Services,2023,13721
