,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) annual growth rates, percentage"
0,North East,2000,2.7
1,North East,2001,4.3
2,North East,2002,4.1
3,North East,2003,3.5
4,North East,2004,5.4
5,North East,2005,1.2
6,North East,2006,2.9
7,North East,2007,0.1
8,North East,2008,-1.6
9,North East,2009,-4.4
10,North East,2010,2.9
11,North East,2011,2.5
12,North East,2012,2.1
13,North East,2013,-0.2
14,North East,2014,2.1
15,North East,2015,3.3
16,North East,2016,-0.1
17,North East,2017,2.3
18,North East,2018,1.1
19,North East,2019,1.8
20,North East,2020,-12.6
21,North East,2021,9.8
22,North East,2022,4.6
23,North West,2000,2.2
24,North West,2001,3.6
25,North West,2002,2.3
26,North West,2003,3.2
27,North West,2004,3.4
28,North West,2005,2.3
29,North West,2006,3.1
30,North West,2007,1.7
31,North West,2008,-1.4
32,North West,2009,-4.2
33,North West,2010,3.4
34,North West,2011,0.8
35,North West,2012,1.9
36,North West,2013,1.7
37,North West,2014,3.0
38,North West,2015,2.6
39,North West,2016,1.6
40,North West,2017,3.2
41,North West,2018,0.9
42,North West,2019,2.1
43,North West,2020,-9.4
44,North West,2021,9.9
45,North West,2022,4.7
46,Yorkshire and The Humber,2000,3.1
47,Yorkshire and The Humber,2001,3.3
48,Yorkshire and The Humber,2002,2.9
49,Yorkshire and The Humber,2003,4.1
50,Yorkshire and The Humber,2004,3.1
51,Yorkshire and The Humber,2005,1.6
52,Yorkshire and The Humber,2006,2.2
53,Yorkshire and The Humber,2007,2.9
54,Yorkshire and The Humber,2008,-2.9
55,Yorkshire and The Humber,2009,-5.3
56,Yorkshire and The Humber,2010,1.5
57,Yorkshire and The Humber,2011,2.4
58,Yorkshire and The Humber,2012,1.5
59,Yorkshire and The Humber,2013,1.1
60,Yorkshire and The Humber,2014,2.1
61,Yorkshire and The Humber,2015,3.1
62,Yorkshire and The Humber,2016,1.4
63,Yorkshire and The Humber,2017,2.9
64,Yorkshire and The Humber,2018,1.3
65,Yorkshire and The Humber,2019,0.8
66,Yorkshire and The Humber,2020,-10.8
67,Yorkshire and The Humber,2021,12.7
68,Yorkshire and The Humber,2022,3.9
69,East Midlands,2000,3.0
70,East Midlands,2001,2.5
71,East Midlands,2002,1.3
72,East Midlands,2003,3.0
73,East Midlands,2004,2.7
74,East Midlands,2005,2.3
75,East Midlands,2006,3.7
76,East Midlands,2007,0.6
77,East Midlands,2008,-0.4
78,East Midlands,2009,-6.0
79,East Midlands,2010,4.5
80,East Midlands,2011,2.3
81,East Midlands,2012,1.5
82,East Midlands,2013,2.5
83,East Midlands,2014,2.4
84,East Midlands,2015,1.3
85,East Midlands,2016,1.5
86,East Midlands,2017,1.7
87,East Midlands,2018,2.0
88,East Midlands,2019,1.0
89,East Midlands,2020,-9.6
90,East Midlands,2021,10.6
91,East Midlands,2022,1.8
92,West Midlands,2000,2.8
93,West Midlands,2001,2.5
94,West Midlands,2002,0.7
95,West Midlands,2003,2.4
96,West Midlands,2004,2.2
97,West Midlands,2005,1.2
98,West Midlands,2006,1.8
99,West Midlands,2007,0.4
100,West Midlands,2008,-0.5
101,West Midlands,2009,-6.5
102,West Midlands,2010,4.4
103,West Midlands,2011,3.9
104,West Midlands,2012,1.4
105,West Midlands,2013,2.3
