,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head"
0,North East,2000,18377
1,North East,2001,19190
2,North East,2002,19964
3,North East,2003,20658
4,North East,2004,21764
5,North East,2005,21962
6,North East,2006,22540
7,North East,2007,22476
8,North East,2008,22060
9,North East,2009,21029
10,North East,2010,21533
11,North East,2011,21988
12,North East,2012,22438
13,North East,2013,22360
14,North East,2014,22768
15,North East,2015,23505
16,North East,2016,23422
17,North East,2017,23915
18,North East,2018,24126
19,North East,2019,24500
20,North East,2020,21411
21,North East,2021,23419
22,North East,2022,24172
23,North West,2000,22352
24,North West,2001,23163
25,North West,2002,23655
26,North West,2003,24307
27,North West,2004,25050
28,North West,2005,25524
29,North West,2006,26206
30,North West,2007,26554
31,North West,2008,26073
32,North West,2009,24886
33,North West,2010,25619
34,North West,2011,25693
35,North West,2012,26093
36,North West,2013,26436
37,North West,2014,27087
38,North West,2015,27630
39,North West,2016,27885
40,North West,2017,28614
41,North West,2018,28706
42,North West,2019,29126
43,North West,2020,26323
44,North West,2021,28752
45,North West,2022,29748
46,Yorkshire and The Humber,2000,22074
47,Yorkshire and The Humber,2001,22726
48,Yorkshire and The Humber,2002,23265
49,Yorkshire and The Humber,2003,24088
50,Yorkshire and The Humber,2004,24657
51,Yorkshire and The Humber,2005,24821
52,Yorkshire and The Humber,2006,25253
53,Yorkshire and The Humber,2007,25833
54,Yorkshire and The Humber,2008,24924
55,Yorkshire and The Humber,2009,23483
56,Yorkshire and The Humber,2010,23688
57,Yorkshire and The Humber,2011,24108
58,Yorkshire and The Humber,2012,24347
59,Yorkshire and The Humber,2013,24519
60,Yorkshire and The Humber,2014,24927
61,Yorkshire and The Humber,2015,25602
62,Yorkshire and The Humber,2016,25802
63,Yorkshire and The Humber,2017,26446
64,Yorkshire and The Humber,2018,26722
65,Yorkshire and The Humber,2019,26845
66,Yorkshire and The Humber,2020,23933
67,Yorkshire and The Humber,2021,26896
68,Yorkshire and The Humber,2022,27649
69,East Midlands,2000,23082
70,East Midlands,2001,23548
71,East Midlands,2002,23670
72,East Midlands,2003,24184
73,East Midlands,2004,24633
74,East Midlands,2005,24988
75,East Midlands,2006,25690
76,East Midlands,2007,25614
77,East Midlands,2008,25310
78,East Midlands,2009,23635
79,East Midlands,2010,24514
80,East Midlands,2011,24918
