,Region,Year,Gross value added (Balanced) at current basic prices
0,North East,2000,30138
1,North East,2001,31390
2,North East,2002,33510
3,North East,2003,35433
4,North East,2004,38385
5,North East,2005,40202
6,North East,2006,42343
7,North East,2007,43213
8,North East,2008,44394
9,North East,2009,44178
10,North East,2010,44806
11,North East,2011,45596
12,North East,2012,46738
13,North East,2013,47418
14,North East,2014,48819
15,North East,2015,50550
16,North East,2016,51282
17,North East,2017,52688
18,North East,2018,53530
19,North East,2019,55926
20,North East,2020,52799
21,North East,2021,57334
22,North East,2022,63107
23,North West,2000,94663
24,North West,2001,100515
25,North West,2002,105185
26,North West,2003,110994
27,North West,2004,117216
28,North West,2005,123292
29,North West,2006,130331
30,North West,2007,135195
31,North West,2008,138380
32,North West,2009,137556
33,North West,2010,140447
34,North West,2011,141431
35,North West,2012,145755
36,North West,2013,150842
37,North West,2014,156757
38,North West,2015,162842
39,North West,2016,168574
40,North West,2017,176776
41,North West,2018,181259
42,North West,2019,189804
43,North West,2020,185450
44,North West,2021,199671
45,North West,2022,219707
46,Yorkshire and The Humber,2000,66862
47,Yorkshire and The Humber,2001,70274
48,Yorkshire and The Humber,2002,74231
49,Yorkshire and The Humber,2003,79287
50,Yorkshire and The Humber,2004,83764
51,Yorkshire and The Humber,2005,87994
52,Yorkshire and The Humber,2006,92371
53,Yorkshire and The Humber,2007,97637
54,Yorkshire and The Humber,2008,98981
55,Yorkshire and The Humber,2009,97147
56,Yorkshire and The Humber,2010,97817
57,Yorkshire and The Humber,2011,99395
58,Yorkshire and The Humber,2012,101772
59,Yorkshire and The Humber,2013,104474
60,Yorkshire and The Humber,2014,107663
61,Yorkshire and The Humber,2015,112316
62,Yorkshire and The Humber,2016,114466
63,Yorkshire and The Humber,2017,120103
64,Yorkshire and The Humber,2018,123864
65,Yorkshire and The Humber,2019,128454
66,Yorkshire and The Humber,2020,123702
67,Yorkshire and The Humber,2021,137913
68,Yorkshire and The Humber,2022,151325
69,East Midlands,2000,57804
70,East Midlands,2001,60154
71,East Midlands,2002,62571
72,East Midlands,2003,65719
73,East Midlands,2004,68942
74,East Midlands,2005,72566
75,East Midlands,2006,76597
76,East Midlands,2007,80111
77,East Midlands,2008,83420
78,East Midlands,2009,81060
79,East Midlands,2010,83930
80,East Midlands,2011,85201
81,East Midlands,2012,88406
82,East Midlands,2013,92104
83,East Midlands,2014,95480
84,East Midlands,2015,98369
85,East Midlands,2016,100969
86,East Midlands,2017,104846
87,East Midlands,2018,109472
88,East Midlands,2019,113367
89,East Midlands,2020,110744
90,East Midlands,2021,119820
