,Region,Year,Other taxes on products
0,North East,2000,1972
1,North East,2001,1938
2,North East,2002,2007
3,North East,2003,2043
4,North East,2004,2137
5,North East,2005,2140
6,North East,2006,2223
7,North East,2007,2337
8,North East,2008,2300
9,North East,2009,2308
10,North East,2010,2448
11,North East,2011,2528
12,North East,2012,2610
13,North East,2013,2676
14,North East,2014,2783
15,North East,2015,2863
16,North East,2016,3016
17,North East,2017,3208
18,North East,2018,3321
19,North East,2019,3395
20,North East,2020,2920
21,North East,2021,3009
22,North East,2022,3068
23,North West,2000,5737
24,North West,2001,5639
25,North West,2002,5822
26,North West,2003,5966
27,North West,2004,6247
28,North West,2005,6257
29,North West,2006,6514
30,North West,2007,6791
31,North West,2008,6694
32,North West,2009,6788
33,North West,2010,7200
34,North West,2011,7516
35,North West,2012,7631
36,North West,2013,7897
37,North West,2014,8261
38,North West,2015,8432
39,North West,2016,8868
40,North West,2017,9119
41,North West,2018,9345
42,North West,2019,9519
43,North West,2020,8508
44,North West,2021,9300
45,North West,2022,9837
46,Yorkshire and The Humber,2000,4187
47,Yorkshire and The Humber,2001,4178
48,Yorkshire and The Humber,2002,4320
49,Yorkshire and The Humber,2003,4402
50,Yorkshire and The Humber,2004,4633
51,Yorkshire and The Humber,2005,4590
52,Yorkshire and The Humber,2006,4640
53,Yorkshire and The Humber,2007,4754
54,Yorkshire and The Humber,2008,4667
55,Yorkshire and The Humber,2009,4761
56,Yorkshire and The Humber,2010,5062
57,Yorkshire and The Humber,2011,5333
58,Yorkshire and The Humber,2012,5441
59,Yorkshire and The Humber,2013,5718
60,Yorkshire and The Humber,2014,6017
61,Yorkshire and The Humber,2015,6151
62,Yorkshire and The Humber,2016,6702
63,Yorkshire and The Humber,2017,6968
64,Yorkshire and The Humber,2018,7028
65,Yorkshire and The Humber,2019,7094
66,Yorkshire and The Humber,2020,6333
67,Yorkshire and The Humber,2021,7027
68,Yorkshire and The Humber,2022,7341
69,East Midlands,2000,3710
70,East Midlands,2001,3691
71,East Midlands,2002,3819
72,East Midlands,2003,3914
73,East Midlands,2004,4065
74,East Midlands,2005,4038
75,East Midlands,2006,4223
76,East Midlands,2007,4394
77,East Midlands,2008,4258
78,East Midlands,2009,4293
79,East Midlands,2010,4552
80,East Midlands,2011,4696
81,East Midlands,2012,4833
82,East Midlands,2013,5089
83,East Midlands,2014,5546
84,East Midlands,2015,5795
85,East Midlands,2016,6208
86,East Midlands,2017,6515
87,East Midlands,2018,6754
88,East Midlands,2019,6807
89,East Midlands,2020,6105
90,East Midlands,2021,6634
91,East Midlands,2022,6859
92,West Midlands,2000,4501
93,West Midlands,2001,4516
94,West Midlands,2002,4641
95,West Midlands,2003,4693
96,West Midlands,2004,4832
97,West Midlands,2005,4867
98,West Midlands,2006,5240
99,West Midlands,2007,5491
100,West Midlands,2008,5359
101,West Midlands,2009,5419
102,West Midlands,2010,5674
103,West Midlands,2011,5925
104,West Midlands,2012,6039
105,West Midlands,2013,6148
106,West Midlands,2014,6479
107,West Midlands,2015,6624
108,West Midlands,2016,7053
109,West Midlands,2017,7356
110,West Midlands,2018,7420
111,West Midlands,2019,7419
112,West Midlands,2020,6524
113,West Midlands,2021,7369
114,West Midlands,2022,7675
115,East,2000,4846
116,East,2001,4856
117,East,2002,4997
118,East,2003,5099
119,East,2004,5464
120,East,2005,5567
121,East,2006,5880
122,East,2007,6244
123,East,2008,5944
124,East,2009,6020
125,East,2010,6524
126,East,2011,6666
127,East,2012,6740
128,East,2013,6963
129,East,2014,7548
130,East,2015,7783
131,East,2016,8464
132,East,2017,8915
