,Region,Year,Gross domestic product (GDP) at current market prices
0,United Kingdom,2017,2082482
1,United Kingdom,2018,2152304
2,United Kingdom,2019,2233921
3,United Kingdom,2020,2104288
4,United Kingdom,2021,2284079
5,United Kingdom,2022,2506170
6,England,2017,1789758
7,England,2018,1846878
8,England,2019,1918193
9,England,2020,1812695
10,England,2021,1969953
11,England,2022,2161593
12,North East,2017,60817
13,North East,2018,62132
14,North East,2019,64599
15,North East,2020,60217
16,North East,2021,65438
17,North East,2022,71763
18,Tees Valley and Durham,2017,24972
19,Tees Valley and Durham,2018,25856
20,Tees Valley and Durham,2019,26636
21,Tees Valley and Durham,2020,25776
22,Tees Valley and Durham,2021,27696
23,Tees Valley and Durham,2022,30082
24,Hartlepool and Stockton-on-Tees,2017,7080
25,Hartlepool and Stockton-on-Tees,2018,7162
26,Hartlepool and Stockton-on-Tees,2019,7476
27,Hartlepool and Stockton-on-Tees,2020,7357
28,Hartlepool and Stockton-on-Tees,2021,7807
29,Hartlepool and Stockton-on-Tees,2022,8486
30,South Teesside,2017,5295
31,South Teesside,2018,5603
32,South Teesside,2019,5667
33,South Teesside,2020,5307
34,South Teesside,2021,5771
35,South Teesside,2022,6324
36,Darlington,2017,2878
37,Darlington,2018,2855
38,Darlington,2019,2829
39,Darlington,2020,2584
40,Darlington,2021,2854
41,Darlington,2022,3036
42,Durham CC,2017,9719
43,Durham CC,2018,10236
44,Durham CC,2019,10664
45,Durham CC,2020,10529
46,Durham CC,2021,11265
47,Durham CC,2022,12236
48,"Northumberland, and Tyne and Wear",2017,35845
49,"Northumberland, and Tyne and Wear",2018,36277
50,"Northumberland, and Tyne and Wear",2019,37963
51,"Northumberland, and Tyne and Wear",2020,34441
52,"Northumberland, and Tyne and Wear",2021,37742
53,"Northumberland, and Tyne and Wear",2022,41681
54,Northumberland,2017,6007
55,Northumberland,2018,6119
56,Northumberland,2019,6458
57,Northumberland,2020,6011
58,Northumberland,2021,6486
59,Northumberland,2022,7349
60,Tyneside,2017,22085
61,Tyneside,2018,22423
62,Tyneside,2019,23368
63,Tyneside,2020,21268
64,Tyneside,2021,23764
65,Tyneside,2022,26116
66,Sunderland,2017,7754
67,Sunderland,2018,7734
68,Sunderland,2019,8137
69,Sunderland,2020,7162
70,Sunderland,2021,7492
71,Sunderland,2022,8216
72,North West,2017,200353
73,North West,2018,205332
74,North West,2019,214459
75,North West,2020,207214
76,North West,2021,224940
77,North West,2022,247199
78,Cumbria,2017,13449
79,Cumbria,2018,13482
80,Cumbria,2019,14162
81,Cumbria,2020,12895
82,Cumbria,2021,13937
83,Cumbria,2022,15087
84,West Cumbria,2017,5610
85,West Cumbria,2018,5653
86,West Cumbria,2019,5798
87,West Cumbria,2020,5376
88,West Cumbria,2021,5679
89,West Cumbria,2022,5998
90,East Cumbria,2017,7839
91,East Cumbria,2018,7829
92,East Cumbria,2019,8364
93,East Cumbria,2020,7519
94,East Cumbria,2021,8258
95,East Cumbria,2022,9089
96,Greater Manchester,2017,78049
97,Greater Manchester,2018,81081
98,Greater Manchester,2019,84377
99,Greater Manchester,2020,83399
100,Greater Manchester,2021,89954
101,Greater Manchester,2022,99714
102,Manchester,2017,24563
103,Manchester,2018,25372
104,Manchester,2019,27236
105,Manchester,2020,26342
106,Manchester,2021,29301
107,Manchester,2022,33648
108,Greater Manchester South West,2017,17355
109,Greater Manchester South West,2018,18446
110,Greater Manchester South West,2019,19103
111,Greater Manchester South West,2020,19334
112,Greater Manchester South West,2021,20954
113,Greater Manchester South West,2022,22916
114,Greater Manchester South East,2017,11352
115,Greater Manchester South East,2018,11717
116,Greater Manchester South East,2019,11854
117,Greater Manchester South East,2020,11897
118,Greater Manchester South East,2021,12475
119,Greater Manchester South East,2022,13735
120,Greater Manchester North West,2017,12439
121,Greater Manchester North West,2018,12870
122,Greater Manchester North West,2019,12880
123,Greater Manchester North West,2020,13058
124,Greater Manchester North West,2021,13855
125,Greater Manchester North West,2022,14940
126,Greater Manchester North East,2017,12341
127,Greater Manchester North East,2018,12676
128,Greater Manchester North East,2019,13303
129,Greater Manchester North East,2020,12768
130,Greater Manchester North East,2021,13369
131,Greater Manchester North East,2022,14475
132,Lancashire,2017,37354
133,Lancashire,2018,37814
134,Lancashire,2019,39165
135,Lancashire,2020,37432
