,Region,Year,Gross domestic product (GDP) per head at current market prices
0,United Kingdom,2017,31552
1,United Kingdom,2018,32447
2,United Kingdom,2019,33502
3,United Kingdom,2020,31503
4,United Kingdom,2021,34068
5,United Kingdom,2022,37076
6,England,2017,32179
7,England,2018,33024
8,England,2019,34113
9,England,2020,32182
10,England,2021,34833
11,England,2022,37852
12,North East,2017,23179
13,North East,2018,23630
14,North East,2019,24500
15,North East,2020,22832
16,North East,2021,24717
17,North East,2022,26747
18,Tees Valley and Durham,2017,21009
19,Tees Valley and Durham,2018,21724
20,Tees Valley and Durham,2019,22324
21,Tees Valley and Durham,2020,21594
22,Tees Valley and Durham,2021,23084
23,Tees Valley and Durham,2022,24721
24,Hartlepool and Stockton-on-Tees,2017,24467
25,Hartlepool and Stockton-on-Tees,2018,24713
26,Hartlepool and Stockton-on-Tees,2019,25846
27,Hartlepool and Stockton-on-Tees,2020,25493
28,Hartlepool and Stockton-on-Tees,2021,26956
29,Hartlepool and Stockton-on-Tees,2022,28882
30,South Teesside,2017,19129
31,South Teesside,2018,20203
32,South Teesside,2019,20325
33,South Teesside,2020,19018
34,South Teesside,2021,20570
35,South Teesside,2022,22153
36,Darlington,2017,27017
37,Darlington,2018,26832
38,Darlington,2019,26554
39,Darlington,2020,24184
40,Darlington,2021,26372
41,Darlington,2022,27730
42,Durham CC,2017,18838
43,Durham CC,2018,19812
44,Durham CC,2019,20565
45,Durham CC,2020,20278
46,Durham CC,2021,21603
47,Durham CC,2022,23169
48,"Northumberland, and Tyne and Wear",2017,24976
49,"Northumberland, and Tyne and Wear",2018,25206
50,"Northumberland, and Tyne and Wear",2019,26300
51,"Northumberland, and Tyne and Wear",2020,23855
52,"Northumberland, and Tyne and Wear",2021,26070
53,"Northumberland, and Tyne and Wear",2022,28429
54,Northumberland,2017,19030
55,Northumberland,2018,19356
56,Northumberland,2019,20306
57,Northumberland,2020,18874
58,Northumberland,2021,20173
59,Northumberland,2022,22656
60,Tyneside,2017,26145
61,Tyneside,2018,26420
62,Tyneside,2019,27454
63,Tyneside,2020,24971
64,Tyneside,2021,27900
65,Tyneside,2022,30211
66,Sunderland,2017,28214
67,Sunderland,2018,28192
68,Sunderland,2019,29667
69,Sunderland,2020,26179
70,Sunderland,2021,27304
71,Sunderland,2022,29623
72,North West,2017,27537
73,North West,2018,28066
74,North West,2019,29126
75,North West,2020,28076
76,North West,2021,30299
77,North West,2022,32889
78,Cumbria,2017,26968
79,Cumbria,2018,27021
80,Cumbria,2019,28371
81,Cumbria,2020,25870
82,Cumbria,2021,27833
83,Cumbria,2022,29992
84,West Cumbria,2017,24178
85,West Cumbria,2018,24396
86,West Cumbria,2019,25069
87,West Cumbria,2020,23317
88,West Cumbria,2021,24592
89,West Cumbria,2022,25930
90,East Cumbria,2017,29396
91,East Cumbria,2018,29298
92,East Cumbria,2019,31222
93,East Cumbria,2020,28068
94,East Cumbria,2021,30607
95,East Cumbria,2022,33450
96,Greater Manchester,2017,27832
97,Greater Manchester,2018,28713
98,Greater Manchester,2019,29627
99,Greater Manchester,2020,29200
100,Greater Manchester,2021,31348
101,Greater Manchester,2022,34246
102,Manchester,2017,45744
103,Manchester,2018,46927
104,Manchester,2019,49888
105,Manchester,2020,48127
106,Manchester,2021,53214
107,Manchester,2022,59136
108,Greater Manchester South West,2017,35418
109,Greater Manchester South West,2018,37276
110,Greater Manchester South West,2019,38226
111,Greater Manchester South West,2020,38512
112,Greater Manchester South West,2021,41375
113,Greater Manchester South West,2022,44553
114,Greater Manchester South East,2017,21933
115,Greater Manchester South East,2018,22530
116,Greater Manchester South East,2019,22660
117,Greater Manchester South East,2020,22687
118,Greater Manchester South East,2021,23694
119,Greater Manchester South East,2022,25921
120,Greater Manchester North West,2017,20319
121,Greater Manchester North West,2018,20910
122,Greater Manchester North West,2019,20732
123,Greater Manchester North West,2020,20942
124,Greater Manchester North West,2021,22134
125,Greater Manchester North West,2022,23602
126,Greater Manchester North East,2017,19058
127,Greater Manchester North East,2018,19418
128,Greater Manchester North East,2019,20221
129,Greater Manchester North East,2020,19380
130,Greater Manchester North East,2021,20256
131,Greater Manchester North East,2022,21750
132,Lancashire,2017,24955
133,Lancashire,2018,25153
134,Lancashire,2019,25871
135,Lancashire,2020,24622
136,Lancashire,2021,26959
137,Lancashire,2022,29119
138,Blackburn with Darwen,2017,22605
139,Blackburn with Darwen,2018,22927
140,Blackburn with Darwen,2019,23410
141,Blackburn with Darwen,2020,22763
142,Blackburn with Darwen,2021,25280
143,Blackburn with Darwen,2022,28019
144,Blackpool,2017,20415
145,Blackpool,2018,21324
146,Blackpool,2019,22927
147,Blackpool,2020,21483
148,Blackpool,2021,22815
149,Blackpool,2022,25725
150,Lancaster and Wyre,2017,20708
151,Lancaster and Wyre,2018,21082
152,Lancaster and Wyre,2019,21993
153,Lancaster and Wyre,2020,20993
