,Region,Year,Gross value added (Balanced) at current basic prices
0,United Kingdom,2017,1856764
1,United Kingdom,2018,1920289
2,United Kingdom,2019,1995708
3,United Kingdom,2020,1897957
4,United Kingdom,2021,2046636
5,United Kingdom,2022,2246047
6,England,2017,1598480
7,England,2018,1650168
8,England,2019,1716439
9,England,2020,1637936
10,England,2021,1768787
11,England,2022,1940267
12,North East,2017,52688
13,North East,2018,53530
14,North East,2019,55926
15,North East,2020,52799
16,North East,2021,57334
17,North East,2022,63107
18,Tees Valley and Durham,2017,21428
19,Tees Valley and Durham,2018,22174
20,Tees Valley and Durham,2019,22918
21,Tees Valley and Durham,2020,22586
22,Tees Valley and Durham,2021,24211
23,Tees Valley and Durham,2022,26381
24,Hartlepool and Stockton-on-Tees,2017,6209
25,Hartlepool and Stockton-on-Tees,2018,6254
26,Hartlepool and Stockton-on-Tees,2019,6569
27,Hartlepool and Stockton-on-Tees,2020,6569
28,Hartlepool and Stockton-on-Tees,2021,6937
29,Hartlepool and Stockton-on-Tees,2022,7534
30,South Teesside,2017,4473
31,South Teesside,2018,4752
32,South Teesside,2019,4804
33,South Teesside,2020,4570
34,South Teesside,2021,4970
35,South Teesside,2022,5481
36,Darlington,2017,2555
37,Darlington,2018,2522
38,Darlington,2019,2495
39,Darlington,2020,2301
40,Darlington,2021,2546
41,Darlington,2022,2712
42,Durham CC,2017,8190
43,Durham CC,2018,8646
44,Durham CC,2019,9050
45,Durham CC,2020,9145
46,Durham CC,2021,9758
47,Durham CC,2022,10654
48,"Northumberland, and Tyne and Wear",2017,31260
49,"Northumberland, and Tyne and Wear",2018,31357
50,"Northumberland, and Tyne and Wear",2019,33009
51,"Northumberland, and Tyne and Wear",2020,30213
52,"Northumberland, and Tyne and Wear",2021,33123
53,"Northumberland, and Tyne and Wear",2022,36727
54,Northumberland,2017,4993
55,Northumberland,2018,5034
56,Northumberland,2019,5357
57,Northumberland,2020,5097
58,Northumberland,2021,5488
59,Northumberland,2022,6300
60,Tyneside,2017,19380
61,Tyneside,2018,19532
62,Tyneside,2019,20449
63,Tyneside,2020,18804
64,Tyneside,2021,21064
65,Tyneside,2022,23196
66,Sunderland,2017,6888
67,Sunderland,2018,6791
68,Sunderland,2019,7203
69,Sunderland,2020,6312
70,Sunderland,2021,6571
71,Sunderland,2022,7231
72,North West,2017,176776
73,North West,2018,181259
74,North West,2019,189804
75,North West,2020,185450
76,North West,2021,199671
77,North West,2022,219707
78,Cumbria,2017,11527
79,Cumbria,2018,11775
80,Cumbria,2019,12415
81,Cumbria,2020,11432
